省份编码,省份,年份,公共电视节目套数(套),付费电视节目套数(套),全年公共电视节目播出时间(小时),全年制作电视节目时间(小时),全年电视剧播出部数(万部),全年电视剧播出集数(万集),进口电视剧播出部数(部),进口电视剧播出集数(万集),全年动画电视播出小时数(小时),进口动画播出小时数(小时)
110000,北京市,2019,26,,,,0.0528,,,,7477,185
110000,北京市,2018,26,,,,0.0429,,,,7495,154
110000,北京市,2017,26,,,,0.0407,,,,7318.5,160
110000,北京市,2016,26,,,,0.0447,,,,7320,13
110000,北京市,2015,26,,,,0.0483,,,,7604.3333333333,477
110000,北京市,2014,26,,,,0.0505,,2,,6995,1860
110000,北京市,2013,26,,,,0.0455,,2,,5603,105
110000,北京市,2012,26,,125444,236221,0.0494,,34,,5545,80
110000,北京市,2011,25,11,113232.75,100138.05,0.0479,1.4954,22,0.0592,3105,460
110000,北京市,2010,25,11,107764.7,84255,0.0812,2.4076,1,0.003,,
110000,北京市,2009,25,11,107731.7,68039,0.0613,2.1409,1,0.002,,
110000,北京市,2008,24,11,104354.7,83973,0.053,1.3909,9,0.0247,,
110000,北京市,2007,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,22,,,,0.1295,,3,,6326,
120000,天津市,2018,23,,,,0.1277,,2,,5515,270
120000,天津市,2017,23,,,,0.3307,,2,,5223.4,324
120000,天津市,2016,24,,,,0.2612,,,,3588.9,1.42
120000,天津市,2015,24,,,,0.2844,,,,2434.2666666667,1.4166666667
120000,天津市,2014,24,,,,0.2752,,,,2813.3166666667,720.45
120000,天津市,2013,24,,,,0.3309,,40,,2972.5,503.416666666667
120000,天津市,2012,32,,178101,24600,0.345,,740,,3364,502
120000,天津市,2011,31,5,182508.6,22025.1,0.3124,5.2355,6,0.015,3803.73333333333,203.833333333333
120000,天津市,2010,28,5,151736.466666667,21818,0.22,4.5231,,0.0,,
120000,天津市,2009,27,4,149510.066666667,20270,0.1426,3.9403,10,0.051,,
120000,天津市,2008,30,4,159267.3,19252,0.1556,4.729,13,0.0785,,
120000,天津市,2007,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,218,,,,1.1191,,,,10303,216
130000,河北省,2018,184,,,,1.0242,,,,8005,521
130000,河北省,2017,180,,,,1.2238,,1,,6233.54,468
130000,河北省,2016,178,,,,1.3289,,14,,5510.33,401
130000,河北省,2015,178,,,,1.3049,,21,,4894.4166666667,392.4166666667
130000,河北省,2014,178,,,,1.3127,,25,,6888.5833333333,1316.4166666667
130000,河北省,2013,178,,,,1.314,,87,,7867.9,1269.41666666667
130000,河北省,2012,178,,781442,152266,1.4361,,144,,7436,542
130000,河北省,2011,178,,755339.95,139401.733333333,1.399,39.3324,169,0.7333,7761.83333333333,93
130000,河北省,2010,177,,742069.016666667,131228,1.3834,39.7004,226,0.9999,,
130000,河北省,2009,177,,739944.633333333,131961,1.4184,39.5218,273,1.1395,,
130000,河北省,2008,177,,700775.6,124914,1.3292,36.081,298,1.2483,,
130000,河北省,2007,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,146,,,,0.6797,,41,,12656,
140000,山西省,2018,146,,,,0.881,,51,,11444,
140000,山西省,2017,149,,,,0.8372,,46,,10707.3,
140000,山西省,2016,117,,,,0.6192,,40,,9235.7,2
140000,山西省,2015,116,,,,0.5758,,40,,9839.3333333333,400.5
140000,山西省,2014,116,,,,0.5932,,46,,9804.8333333333,62
140000,山西省,2013,116,,,,0.5989,,42,,7976.58333333333,172
140000,山西省,2012,115,,476371,92036,0.6255,,44,,8382,312
140000,山西省,2011,114,6,472147.866666667,93217.7666666667,0.5758,14.7213,23,0.0816,6156.41666666667,52
140000,山西省,2010,113,6,469202.95,94932,0.5458,14.6971,25,0.1048,,
140000,山西省,2009,112,6,459670.866666667,100988,0.5528,14.5099,43,0.1351,,
140000,山西省,2008,112,6,454928.2,101953,0.5369,13.2119,42,0.125,,
140000,山西省,2007,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,118,,,,0.8585,,,,12409,
150000,内蒙古自治区,2018,119,,,,0.908,,6,,7943,66
150000,内蒙古自治区,2017,118,,,,0.9171,,49,,7480.34,71
150000,内蒙古自治区,2016,119,,,,1.0144,,20,,7405.17,73
150000,内蒙古自治区,2015,120,,,,1.1881,,11,,7285.0833333333,75
150000,内蒙古自治区,2014,121,,,,1.2694,,46,,8578,75
150000,内蒙古自治区,2013,120,,,,1.2324,,65,,11229.9666666667,85
150000,内蒙古自治区,2012,120,,642864,66795,1.2416,,62,,13304,109
150000,内蒙古自治区,2011,119,,633247.333333333,67448.25,1.2504,29.6283,192,0.2246,7664.93333333333,113.5
150000,内蒙古自治区,2010,125,,631881.4,64697,1.3024,30.2297,286,0.4913,,
150000,内蒙古自治区,2009,125,,615727.116666667,65686,1.2539,29.3052,294,0.4812,,
150000,内蒙古自治区,2008,119,,585556.683333333,62828,1.0572,25.0989,346,0.4676,,
150000,内蒙古自治区,2007,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,
210000,辽宁省,2019,130,,,,0.8255,,97,,8431,20
210000,辽宁省,2018,125,,,,0.8823,,104,,7085,30
210000,辽宁省,2017,122,,,,0.8911,,119,,8208.98,168.93
210000,辽宁省,2016,118,,,,0.876,,179,,5782.17,208.9
