省份编码,省份,年份,中、短波转播发射台数(座),中波发射机数(部),短波发射机数(部),调频转播发射台数(座),调频发射机数(部),电视转播发射台数(座),电视发射机数(部),微波实有站数(座)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,,,,,,,,
110000,北京市,2016,1,5,,19,31,,38,8
110000,北京市,2015,1,5,,,26,,31,8
110000,北京市,2014,1,5,,17,25,15,31,10
110000,北京市,2013,1,5,,17,25,15,31,10
110000,北京市,2012,5,24,,15,25,15,31,14
110000,北京市,2011,1,10,,15,25,15,31,16
110000,北京市,2010,1,10,,15,25,15,31,6
110000,北京市,2009,,,,,,,,
110000,北京市,2008,,,,,,,,
110000,北京市,2007,,,,,,,,
110000,北京市,2006,,,,,,,,
110000,北京市,2005,,,,,,,,
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,,,,,,,,
120000,天津市,2016,3,21,,26,38,,36,18
120000,天津市,2015,3,21,,,39,,31,18
120000,天津市,2014,5,23,1,14,39,11,31,16
120000,天津市,2013,5,24,1,14,38,11,34,16
120000,天津市,2012,31,49,1,14,38,11,34,16
120000,天津市,2011,5,24,1,14,35,11,34,16
120000,天津市,2010,4,23,,14,35,12,35,16
120000,天津市,2009,,,,,,,,
120000,天津市,2008,,,,,,,,
120000,天津市,2007,,,,,,,,
120000,天津市,2006,,,,,,,,
120000,天津市,2005,,,,,,,,
120000,天津市,2004,,,,,,,,
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,,,,,,,,
130000,河北省,2018,,,,,,,,
130000,河北省,2017,,,,,,,,
130000,河北省,2016,31,49,,411,291,,460,32
130000,河北省,2015,31,49,,,290,,451,32
130000,河北省,2014,31,49,,159,290,253,443,32
130000,河北省,2013,31,49,,159,286,253,441,32
130000,河北省,2012,15,40,,160,276,253,441,32
130000,河北省,2011,31,49,,155,267,252,440,32
130000,河北省,2010,31,49,,152,261,251,440,32
130000,河北省,2009,,,,,,,,
130000,河北省,2008,,,,,,,,
130000,河北省,2007,,,,,,,,
130000,河北省,2006,,,,,,,,
130000,河北省,2005,,,,,,,,
130000,河北省,2004,,,,,,,,
130000,河北省,2003,,,,,,,,
130000,河北省,2002,,,,,,,,
130000,河北省,2001,,,,,,,,
130000,河北省,2000,,,,,,,,
140000,山西省,2019,,,,,,,,
140000,山西省,2018,,,,,,,,
140000,山西省,2017,,,,,,,,
140000,山西省,2016,13,38,,201,215,,326,84
140000,山西省,2015,14,37,,,211,,325,84
140000,山西省,2014,15,40,,119,212,180,388,82
140000,山西省,2013,15,40,,119,209,180,387,82
140000,山西省,2012,57,194,,119,208,265,484,81
140000,山西省,2011,15,39,,119,208,434,659,82
140000,山西省,2010,15,30,,116,190,439,732,82
140000,山西省,2009,,,,,,,,
140000,山西省,2008,,,,,,,,
140000,山西省,2007,,,,,,,,
140000,山西省,2006,,,,,,,,
140000,山西省,2005,,,,,,,,
140000,山西省,2004,,,,,,,,
140000,山西省,2003,,,,,,,,
