省份编码,省份,年份,录音制品出版种数(种),录音制品出版数量(万盒),新版录音制品出版种数(种),新版录音制品出版数量(万盒),录音制品发行数量(万盒),录音带出版出版种数(种),录音带出版数量(万盒),新版录音带出版种数(种),新版录音带出版数量(万盒),激光唱盘出版出版种数(种),激光唱盘出版数量(万盒),新版激光唱盘出版种数(种),新版激光唱盘出版数量(万盒),高密度激光唱盘及其他出版种数(种),高密度激光唱盘及其他出版数量(万盒),新版高密度激光唱盘及其他出版种数(种),新版高密度激光唱盘及其他出版数量(万盒)
110000,北京市,2019,165,72.7365,,,,,,,,,,,,,,,
110000,北京市,2018,229,104.2731,,,,,,,,,,,,,,,
110000,北京市,2017,234,126.842,,,,,,,,,,,,,,,
110000,北京市,2016,168,40.55,,,,,,,,,,,,,,,
110000,北京市,2015,137,104.2532,,,,,,,,,,,,,,,
110000,北京市,2014,301,252.55,,,26.54,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,,,
110000,北京市,2012,,,,,,,,,,,,,,,,,
110000,北京市,2011,4391,17890.96,2286,1857.4,15754.76,1541,15424.57,438,690.35,1744,1511.62,1244,799.99,1106,954.77,604,367.06
110000,北京市,2010,203,91.8,192,84.9,139.08,104,38.1,103,37.1,74,45.3,64,39.4,25,8.4,25,8.4
110000,北京市,2009,340,251.38,340,251.38,130.97,188,80.25,188,80.25,141,168.83,141,168.83,11,2.3,11,2.3
110000,北京市,2008,279,152.74,262,146.94,382.41,187,89.71,187,89.71,90,62.83,73,57.03,2,0.2,2,0.2
110000,北京市,2007,,,,,,236,357.13,,,93,50.1,,,5,10.02,,
110000,北京市,2006,,,,,,303,180.17,,,70,90.5,,,1,0.1,,
110000,北京市,2005,,,,,,248,155.29,,,123,39.64,,,,,,
110000,北京市,2004,,,,,,146,342.47,,,46,50.2,,,2,8.0,,
110000,北京市,2003,,,,,,61,90.55,,,95,59.7,,,,,,
110000,北京市,2002,,,,,,182,580.7,,,111,188.7,,,,,,
110000,北京市,2001,,,,,,96,81.32,,,16,9.4,,,,,,
110000,北京市,2000,,,,,,211,136.34,,,43,65.18,,,,,,
120000,天津市,2019,17,6.1756,,,,,,,,,,,,,,,
120000,天津市,2018,22,20.9932,,,,,,,,,,,,,,,
120000,天津市,2017,45,24.132,,,,,,,,,,,,,,,
120000,天津市,2016,69,48.8,,,,,,,,,,,,,,,
120000,天津市,2015,50,51.52,,,,,,,,,,,,,,,
120000,天津市,2014,37,9.17,,,6.72,,,,,,,,,,,,
120000,天津市,2013,,,,,,,,,,,,,,,,,
120000,天津市,2012,,,,,,,,,,,,,,,,,
120000,天津市,2011,62,34.42,57,29.34,136.27,11,4.2,11,4.2,49,28.82,44,23.74,2,1.4,2,1.4
120000,天津市,2010,76,22.9,72,15.9,25.22,6,5.0,6,5.0,70,17.9,66,10.9,,,,
120000,天津市,2009,139,175.57,126,77.65,156.39,19,116.63,9,22.81,120,58.94,117,54.84,,,,
120000,天津市,2008,105,165.55,102,157.95,247.71,36,126.35,36,126.35,69,39.2,66,31.6,,,,
120000,天津市,2007,,,,,,16,6.18,,,130,87.7,,,9,1.21,,
120000,天津市,2006,,,,,,47,128.47,,,96,107.8,,,,,,
120000,天津市,2005,,,,,,95,83.91,,,48,39.3,,,,,,
120000,天津市,2004,,,,,,89,155.38,,,59,68.9,,,,,,
120000,天津市,2003,,,,,,112,210.12,,,59,61.3,,,,,,
120000,天津市,2002,,,,,,147,448.1,,,25,11.0,,,,,,
120000,天津市,2001,,,,,,103,489.55,,,18,14.79,,,,,,
120000,天津市,2000,,,,,,27,490.76,,,78,21.61,,,,,,
130000,河北省,2019,47,383.235,,,,,,,,,,,,,,,
130000,河北省,2018,51,258.2326,,,,,,,,,,,,,,,
130000,河北省,2017,67,248.9307,,,,,,,,,,,,,,,
130000,河北省,2016,131,587.59,,,,,,,,,,,,,,,
130000,河北省,2015,77,403.9514,,,,,,,,,,,,,,,
130000,河北省,2014,69,363.74,,,508.55,,,,,,,,,,,,
130000,河北省,2013,,,,,,,,,,,,,,,,,
130000,河北省,2012,,,,,,,,,,,,,,,,,
130000,河北省,2011,39,441.32,39,441.32,550.5,38,440.12,38,440.12,1,1.2,1,1.2,,,,
130000,河北省,2010,93,780.97,92,760.97,831.71,92,780.87,91,760.87,1,0.1,1,0.1,,,,
130000,河北省,2009,104,354.73,104,354.73,772.32,54,303.31,54,303.31,50,51.42,50,51.42,,,,
130000,河北省,2008,90,455.37,90,455.37,497.29,55,401.14,55,401.14,35,54.23,35,54.23,,,,
130000,河北省,2007,,,,,,4,0.78,,,22,20.62,,,,,,
130000,河北省,2006,,,,,,66,270.9,,,30,14.58,,,,,,
130000,河北省,2005,,,,,,95,165.46,,,44,20.46,,,1,0.1,,
130000,河北省,2004,,,,,,32,139.11,,,40,39.9,,,,,,
130000,河北省,2003,,,,,,67,218.43,,,37,38.8,,,,,,
130000,河北省,2002,,,,,,42,61.6,,,103,135.8,,,,,,
130000,河北省,2001,,,,,,27,65.28,,,87,35.39,,,,,,
130000,河北省,2000,,,,,,38,70.4,,,75,34.4,,,7,0.7,,
140000,山西省,2019,44,39.8,,,,,,,,,,,,,,,
140000,山西省,2018,67,80.31,,,,,,,,,,,,,,,
140000,山西省,2017,57,59.0,,,,,,,,,,,,,,,
140000,山西省,2016,168,331.3,,,,,,,,,,,,,,,
140000,山西省,2015,94,148.05,,,,,,,,,,,,,,,
140000,山西省,2014,83,20.55,,,285.01,,,,,,,,,,,,
140000,山西省,2013,,,,,,,,,,,,,,,,,
140000,山西省,2012,,,,,,,,,,,,,,,,,
140000,山西省,2011,15,2.07,15,2.07,63.83,11,0.67,11,0.67,2,0.8,2,0.8,2,0.6,2,0.6
140000,山西省,2010,23,44.76,23,44.76,44.56,9,3.35,9,3.35,14,41.41,14,41.41,,,,
140000,山西省,2009,29,34.9,29,34.9,34.2,12,6.3,12,6.3,17,28.6,17,28.6,,,,
140000,山西省,2008,37,14.07,37,14.07,24.37,26,11.22,26,11.22,11,2.85,11,2.85,,,,
140000,山西省,2007,,,,,,16,24.42,,,,,,,,,,
140000,山西省,2006,,,,,,17,38.13,,,2,0.12,,,,,,
140000,山西省,2005,,,,,,45,47.93,,,3,0.95,,,,,,
140000,山西省,2004,,,,,,45,67.26,,,13,17.02,,,,,,
140000,山西省,2003,,,,,,41,59.53,,,2,2.0,,,,,,
140000,山西省,2002,,,,,,53,24.7,,,5,1.9,,,,,,
140000,山西省,2001,,,,,,18,11.42,,,2,0.4,,,,,,
140000,山西省,2000,,,,,,31,27.88,,,,,,,,,,
150000,内蒙古自治区,2019,14,2.95,,,,,,,,,,,,,,,
150000,内蒙古自治区,2018,23,3.48,,,,,,,,,,,,,,,
150000,内蒙古自治区,2017,41,15.175,,,,,,,,,,,,,,,
150000,内蒙古自治区,2016,37,9.72,,,,,,,,,,,,,,,
150000,内蒙古自治区,2015,45,14.49,,,,,,,,,,,,,,,
150000,内蒙古自治区,2014,27,10.85,,,10.0,,,,,,,,,,,,
150000,内蒙古自治区,2013,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2012,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2011,33,9.98,33,9.98,26.23,,,,,33,9.98,33,9.98,,,,
150000,内蒙古自治区,2010,33,10.75,32,10.55,17.44,,,,,31,10.5,30,10.3,2,0.25,2,0.25
