省份编码,省份,年份,电子出版物品出版种数(种),电子出版物出版数量(万张),新版电子出版物品出版种数(种),新版电子出版物出版数量(万张),只读光盘品出版种数(种),只读光盘出版数量(万张),新版只读光盘品出版种数(种),新版只读光盘出版数量(万张),高密度只读光盘品出版种数(种),高密度只读光盘出版数量(万张),新版高密度只读光盘品出版种数(种),新版高密度只读光盘出版数量(万张),交互式光盘及其他品出版种数(种),交互式光盘及其他出版数量(万张),新版交互式光盘及其他品出版种数(种),新版交互式光盘及其他出版数量(万张)
110000,北京市,2019,28,48.3302,,,,,,,,,,,,,,
110000,北京市,2018,141,44.652,,,,,,,,,,,,,,
110000,北京市,2017,79,30.0007,,,,,,,,,,,,,,
110000,北京市,2016,51,46.82,,,,,,,,,,,,,,
110000,北京市,2015,54,29.326,,,,,,,,,,,,,,
110000,北京市,2014,92,27.92,,,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,,
110000,北京市,2012,87,44.01,,,,,,,,,,,,,,
110000,北京市,2011,146,263.87,146,263.87,100,78.7,100,78.7,15,1.77,15,1.77,31,183.4,31,183.4
110000,北京市,2010,,,,,,,,,,,,,,,,
110000,北京市,2009,,,,,,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,
120000,天津市,2019,32,8.753,,,,,,,,,,,,,,
120000,天津市,2018,54,24.6605,,,,,,,,,,,,,,
120000,天津市,2017,97,37.34,,,,,,,,,,,,,,
120000,天津市,2016,51,15.74,,,,,,,,,,,,,,
120000,天津市,2015,42,13.63,,,,,,,,,,,,,,
120000,天津市,2014,82,25.5,,,,,,,,,,,,,,
120000,天津市,2013,,,,,,,,,,,,,,,,
120000,天津市,2012,186,93.14,,,,,,,,,,,,,,
120000,天津市,2011,95,39.05,78,33.35,53,16.45,45,13.95,12,8.4,9,7.4,30,14.2,24,12.0
120000,天津市,2010,,,,,,,,,,,,,,,,
120000,天津市,2009,,,,,,,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,
130000,河北省,2019,104,159.8588,,,,,,,,,,,,,,
130000,河北省,2018,104,151.5689,,,,,,,,,,,,,,
130000,河北省,2017,102,116.2545,,,,,,,,,,,,,,
130000,河北省,2016,129,138.54,,,,,,,,,,,,,,
130000,河北省,2015,,,,,,,,,,,,,,,,
130000,河北省,2014,79,164.48,,,,,,,,,,,,,,
130000,河北省,2013,,,,,,,,,,,,,,,,
130000,河北省,2012,47,79.4,,,,,,,,,,,,,,
130000,河北省,2011,21,15.34,21,15.34,19,12.34,19,12.34,1,2.0,1,2.0,1,1.0,1,1.0
130000,河北省,2010,,,,,,,,,,,,,,,,
130000,河北省,2009,,,,,,,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,,
140000,山西省,2019,61,3.21,,,,,,,,,,,,,,
140000,山西省,2018,48,2.62,,,,,,,,,,,,,,
140000,山西省,2017,59,11.8235,,,,,,,,,,,,,,
140000,山西省,2016,49,18.23,,,,,,,,,,,,,,
140000,山西省,2015,156,11.5,,,,,,,,,,,,,,
140000,山西省,2014,266,32.33,,,,,,,,,,,,,,
140000,山西省,2013,,,,,,,,,,,,,,,,
140000,山西省,2012,194,21.45,,,,,,,,,,,,,,
140000,山西省,2011,33,4.24,33,4.24,32,4.14,32,4.14,1,0.1,1,0.1,,,,
140000,山西省,2010,,,,,,,,,,,,,,,,
140000,山西省,2009,,,,,,,,,,,,,,,,
140000,山西省,2008,,,,,,,,,,,,,,,,
140000,山西省,2007,,,,,,,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,88,40.3294999999999,,,,,,,,,,,,,,
150000,内蒙古自治区,2018,38,14.5485,,,,,,,,,,,,,,
150000,内蒙古自治区,2017,35,14.3971,,,,,,,,,,,,,,
150000,内蒙古自治区,2016,22,7.96,,,,,,,,,,,,,,
150000,内蒙古自治区,2015,4,0.355,,,,,,,,,,,,,,
150000,内蒙古自治区,2014,10,0.95,,,,,,,,,,,,,,
150000,内蒙古自治区,2013,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2012,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2011,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2010,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2009,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,,,,,,,
