省份编码,省份,年份,出版印刷企业数(个),出版印刷企业工业销售产值(万元),出版印刷企业黑白印刷产量(万令),出版印刷企业彩色印刷产量(万对开色令),出版印刷企业装订产量(万令),出版印刷企业用纸量(万令),出版印刷企业用纸量(万吨)
110000,北京市,2019,808,,1801.8,13439,2671.4,3634.7,
110000,北京市,2018,723,,2025.28,13796.18,2829.39,3859.71,
110000,北京市,2017,780,,2008.66,14631.08,2802.59,3934.99,
110000,北京市,2016,780,,2085.11,16292.82,3309.61,4232.13,
110000,北京市,2015,817,,2100.01,15393.2,3158.66,4239.72,
110000,北京市,2014,794,1269704.2988,2471.6031286,17818.472327,3316.4677,5115.43284466,
110000,北京市,2013,768,1136034.87,2830.0962733,16744.4827702,3192.890405,5831.4563279,
110000,北京市,2012,796,1058827.32591916,3020.9,15955.78,3144.66,5665.38,
110000,北京市,2011,775,1015549.654001,2553.533673,12298.4931001,2730.5929975,3240.5200388,54.0179617
110000,北京市,2010,838,943182.5,2461.3577003,10810.0224558,2835.5306408,3613.5366019,73.2427036
110000,北京市,2009,,,,,,,
110000,北京市,2008,,,,,,,
110000,北京市,2007,,,,,,,
110000,北京市,2006,,,,,,,
110000,北京市,2005,,,,,,,
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,201,,378.2,2457.4,325.3,927.9,
120000,天津市,2018,201,,317.03,2048.31,217.94,984.34,
120000,天津市,2017,152,,2595.19,3636.75,201.26,3731.81,
120000,天津市,2016,118,,2683.72,3574.11,199.7,3727.18,
120000,天津市,2015,120,,2702.77,65371.53,240.36,3855.48,
120000,天津市,2014,124,199679.92,2648.0215452,74796.11736,182.934098,3844.1341092,
120000,天津市,2013,126,189837.66,3151.6652,75734.15673,3763.7148,20525.94385556,
120000,天津市,2012,122,134910.57215558,2374.297088,3550.499064,150.356817,2341.901993,
120000,天津市,2011,127,154900.69,202.4146658,2908.6174662,179.3237021,338.6066649,10.5026329
120000,天津市,2010,127,141553.95,193.882523,2851.15599,182.4941,303.149081,10.033445
120000,天津市,2009,,,,,,,
120000,天津市,2008,,,,,,,
120000,天津市,2007,,,,,,,
120000,天津市,2006,,,,,,,
120000,天津市,2005,,,,,,,
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,676,,2664.2,3760.1,4970.5,3591.1,
130000,河北省,2018,791,,2452.38,3927.59,4601.9,3874.94,
130000,河北省,2017,681,,2102.64,3627.85,3959.49,3319.57,
130000,河北省,2016,781,,1797.78,3234.94,3369.12,2825.35,
130000,河北省,2015,731,,1463.85,2720.37,2746.34,2474.86,
130000,河北省,2014,773,747515.178906897,1487.2920552607,3601.8026137446,3005.8441828086,4023.1678406745,
130000,河北省,2013,773,750446.778880208,1420.38690173021,3349.29495592812,3000.15875659818,4038.37641921198,
130000,河北省,2012,586,724624.815389112,1687.37243073268,2816.79073958591,2253.49306053855,3159.61431907515,
130000,河北省,2011,588,702305.7,1775.14077389524,2532.85357495238,2091.25163627143,2039.35544093333,24.4817171714286
130000,河北省,2010,631,800135.295368116,1213.82421639,2190.29170547011,2352.52260504401,2304.01507311311,25.6369732074906
130000,河北省,2009,,,,,,,
130000,河北省,2008,,,,,,,
130000,河北省,2007,,,,,,,
130000,河北省,2006,,,,,,,
130000,河北省,2005,,,,,,,
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,153,,210.3,1496.3,318.0,613.2,
140000,山西省,2018,160,,259.37,1501,294.17,584.75,
140000,山西省,2017,166,,282.0,1988.25,324.24,621.15,
140000,山西省,2016,175,,274.85,2065.22,325.16,634.97,
140000,山西省,2015,166,,298.0,2076.14,314.71,637.6,
140000,山西省,2014,167,170124.550223684,316.9610713026,1766.7898896645,297.6856676184,630.9638145132,
140000,山西省,2013,168,161867.36,292.647823304348,1968.61638156522,300.674536695652,591.213878608696,
140000,山西省,2012,179,152669.74805358,345.4799950004,1920.5782630001,312.907335,659.006529,
140000,山西省,2011,185,165344.701491,316.0609007,2086.132721,277.317065,288.1120296,11.984064
140000,山西省,2010,179,152450.38125,309.0421188,1893.39857,226.83933855,502.0351389,16.568638875
140000,山西省,2009,,,,,,,
140000,山西省,2008,,,,,,,
140000,山西省,2007,,,,,,,
140000,山西省,2006,,,,,,,
140000,山西省,2005,,,,,,,
140000,山西省,2004,,,,,,,
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,194,,157.3,911.3,165.2,369.8,
150000,内蒙古自治区,2018,194,,236.02,1469.08,289.03,561.79,
150000,内蒙古自治区,2017,101,,121.48,504.78,110.68,281.3,
150000,内蒙古自治区,2016,99,,123.64,510.47,114.39,286.96,
150000,内蒙古自治区,2015,134,,123.72,529.95,116.92,299.47,
150000,内蒙古自治区,2014,86,62908.86,89.948395,519.957805,76.1937,216.9939352,
150000,内蒙古自治区,2013,87,48788.1,84.1911,493.5718,82.2988,214.7136,
150000,内蒙古自治区,2012,95,43816.001,71.3499,374.7938,88.7005,212.231595,
150000,内蒙古自治区,2011,93,38690.94,98.10903,311.7297,94.4608,85.80013,5.3752
150000,内蒙古自治区,2010,93,40386.89,79.48948,258.78358,75.0355,66.8499,3.990875
150000,内蒙古自治区,2009,,,,,,,
150000,内蒙古自治区,2008,,,,,,,
150000,内蒙古自治区,2007,,,,,,,
150000,内蒙古自治区,2006,,,,,,,
150000,内蒙古自治区,2005,,,,,,,
150000,内蒙古自治区,2004,,,,,,,
150000,内蒙古自治区,2003,,,,,,,
150000,内蒙古自治区,2002,,,,,,,
150000,内蒙古自治区,2001,,,,,,,
150000,内蒙古自治区,2000,,,,,,,
210000,辽宁省,2019,157,,501.8,2547.1,664.8,1069.7,
210000,辽宁省,2018,157,,1296.91,2337.86,675.33,1865.14,
210000,辽宁省,2017,165,,1792.3,2493.85,1074.47,2446.56,
210000,辽宁省,2016,166,,1866.12,2574.91,1097.65,2506.14,
210000,辽宁省,2015,220,,1928.26,2910.32,1071.55,645.43,
210000,辽宁省,2014,221,266153.0101,2216.7344905,3251.3144328,916.2311415,662.6551169,
210000,辽宁省,2013,215,238404.265112782,2043.41701278196,2979.33833903008,818.187052428571,466.010656330827,
210000,辽宁省,2012,215,221938.065953854,2037.78132314516,2768.10301766129,757.724089112903,431.347498387097,
210000,辽宁省,2011,172,182383.8782,1696.66510001,2421.55926,879.03346,345.0977725,13.9527668
210000,辽宁省,2010,204,211992.110344828,1689.38223062069,2405.59925103448,970.33968,291.13751862069,13.4498275862069
210000,辽宁省,2009,,,,,,,
210000,辽宁省,2008,,,,,,,
210000,辽宁省,2007,,,,,,,
210000,辽宁省,2006,,,,,,,
210000,辽宁省,2005,,,,,,,
210000,辽宁省,2004,,,,,,,
210000,辽宁省,2003,,,,,,,
210000,辽宁省,2002,,,,,,,
210000,辽宁省,2001,,,,,,,
210000,辽宁省,2000,,,,,,,
220000,吉林省,2019,211,,676.4,2182.6,460.6,1323.6,
220000,吉林省,2018,207,,712.03,2150.72,444.43,1345.14,
220000,吉林省,2017,212,,774.33,2597.21,432.9,1484.0,
220000,吉林省,2016,213,,914.9,2751.06,475.06,1603.22,
220000,吉林省,2015,210,,996.21,2709.8,445.16,1249.86,
220000,吉林省,2014,213,270278.296,1193.8429688,2134.13261425,410.5355905,1188.0109242,
220000,吉林省,2013,212,303623.3,1346.7822434,2402.871258,465.219293,1266.1173568,
220000,吉林省,2012,246,327966.650281478,1434.26790275362,2601.90797437681,543.781884771014,1272.38955633333,
220000,吉林省,2011,250,359635.7892948,1415.171585,2525.230655,540.527237248,534.615449,9.626218
