省份编码,省份,年份,有线广播电视传输干线网络总长(万公里),有线广播电视用户数(万户),数字电视用户数(万户),付费电视用户数(万户),农村有线广播电视用户数(万户),有线广播电视用户数占家庭总户数的比重(%)(%),农村有线广播电视用户数占家庭总户数的比重(%)(%)
110000,北京市,2019,21.2,598.9,593.5,106.2,91.4,109.126886372349,90.2048533639115
110000,北京市,2018,24.7,594.6,571.5,116.5,89.7,109.48,87.6
110000,北京市,2017,20.12,586.83,546.85,67.27,87.66,109.04,85.12
110000,北京市,2016,23.8,580.42,529.15,76.4,85.02,109.66,81.83
110000,北京市,2015,23.32,569.1302,506.6786,61.3406,79.0652,108.8827625789,73.6861136999
110000,北京市,2014,18.2862,551.5652,469.1494,216.4854,75.8303,106.8510654785,68.5626582278
110000,北京市,2013,21.9699,636.9126,513.6017,11.423,105.2816,125.056469664245,93.2520814880425
110000,北京市,2012,16.9041,498.6002,378.8317,0.939,70.5078,100.544504940512,60.8875647668394
110000,北京市,2011,16.3887,475.9163,345.4763,0.1235,66.4302,95.9702157693083,57.3663212435233
110000,北京市,2010,14.8933,448.1234,276.7899,0.0521,64.633,91.6782733224223,55.4313893653516
110000,北京市,2009,,,,,,,
110000,北京市,2008,,,,,,,
110000,北京市,2007,,,,,,,
110000,北京市,2006,,,,,,,
110000,北京市,2005,,,,,,,
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,0.4,356.0,351.1,126.1,49.6,89.7748695060141,40.0
120000,天津市,2018,0.4,352.9,348.0,121.6,56.0,91.62,45.61
120000,天津市,2017,0.38,358.37,341.53,122.89,57.61,96.7,46.49
120000,天津市,2016,0.68,358.45,335.05,76.95,33.33,96.73,27.07
120000,天津市,2015,0.6693,344.4367,318.569,66.2,25.8677,97.9884076475,20.8675442517
120000,天津市,2014,0.647423,312.682,283.8603,19.9874,28.8217,88.9545489201,23.3447053087
120000,天津市,2013,0.686061,292.2912,255.7069,18.7357,36.5843,83.2169456781688,29.6950487012987
120000,天津市,2012,0.6731,277.94,241.59,18.9848,36.35,80.3712914232838,29.447504860661
120000,天津市,2011,0.663763,290.71,227.61,21.9,25.4126,84.8087070778265,20.3799701669687
120000,天津市,2010,0.650013,262.1881,212.9094,23.2864,39.9954,77.9833865837503,33.4918517513647
120000,天津市,2009,,,,,,,
120000,天津市,2008,,,,,,,
120000,天津市,2007,,,,,,,
120000,天津市,2006,,,,,,,
120000,天津市,2005,,,,,,,
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,13.8,695.8,570.8,192.0,163.3,26.4726646122378,13.9729833215327
130000,河北省,2018,8.0,734.6,653.2,187.3,166.9,30.4,10.74
130000,河北省,2017,11.0,850.99,628.42,242.5,161.18,35.68,10.52
130000,河北省,2016,20.43,857.22,755.59,110.73,272.4,36.23,17.41
130000,河北省,2015,18.086486,922.4669,821.9507,115.305,260.7435,39.1897278699,15.9489325387
130000,河北省,2014,17.357849,914.4043,750.2878,78.4429,296.9841,39.3128072777,18.5368233112
130000,河北省,2013,17.56452,865.8229,687.2904,61.6243,282.8299,37.7297299794126,17.8990632463747
130000,河北省,2012,16.931511,792.6073,582.9341,13.2317,266.5584,35.0784098801419,16.9334019584064
130000,河北省,2011,15.60423,719.6004,456.4316,6.5442,269.7111,32.6449128697507,17.70260260868
130000,河北省,2010,13.439229,670.3827,382.3531,7.9929,251.3966,31.1312599583479,16.7607532787084
130000,河北省,2009,,,,,,,
130000,河北省,2008,,,,,,,
130000,河北省,2007,,,,,,,
130000,河北省,2006,,,,,,,
130000,河北省,2005,,,,,,,
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,7.2,372.5,300.5,88.1,104.3,28.8365648910866,22.5065878300338
140000,山西省,2018,7.0,382.0,311.8,65.9,112.3,29.34,23.3
140000,山西省,2017,6.04,443.05,346.79,50.94,107.47,33.92,21.73
140000,山西省,2016,10.79,455.96,358.83,20.57,133.29,35.14,25.7
