年份,城镇困难户(5%)居民家庭人均消费现金支出,城镇困难户(5%)居民家庭人均食品消费现金支出,城镇困难户(5%)居民家庭人均粮食消费现金支出,城镇困难户(5%)居民家庭人均肉禽及其制品消费现金支出,城镇困难户(5%)居民家庭人均蛋类消费现金支出,城镇困难户(5%)居民家庭人均水产品消费现金支出,城镇困难户(5%)居民家庭人均奶及奶制品消费现金支出,城镇困难户(5%)居民家庭人均衣着消费现金支出,城镇困难户(5%)居民家庭人均服装消费现金支出,城镇困难户(5%)居民家庭人均居住消费现金支出,城镇困难户(5%)居民家庭人均住房消费现金支出,城镇困难户(5%)居民家庭人均家庭设备及用品消费现金支出,城镇困难户(5%)居民家庭人均耐用消费品消费现金支出,城镇困难户(5%)居民家庭人均交通通信消费现金支出,城镇困难户(5%)居民家庭人均文教娱乐消费现金支出,城镇困难户(5%)居民家庭人均文化娱乐用品消费现金支出,城镇困难户(5%)居民家庭人均医疗保健消费现金支出,城镇困难户(5%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,6366.78,2979.29,358.68,699.27,76.97,145.05,110.11,589.78,408.08,759.62,140.84,333.1,91.7,495.33,613.94,117.98,466.51,129.21
2011,5575.56,2618.87,340.75,630.09,75.71,126.46,95.06,489.51,336.21,675.67,122.4,261.48,65.92,397.55,541.46,98.97,449.89,141.12
2010,4715.33,2231.48,282.28,492.96,62.33,113.59,76.94,417.26,284.69,591.88,99.03,223.35,60.67,359.23,424.1,81.12,359.98,108.07
2009,4256.81,2041.55,254.36,458.41,61.14,99.05,77.62,376.6,249.96,515.7,60.83,173.77,42.57,310.28,390.56,68.3,343.96,104.39
2008,3862.72,1889.87,244.41,451.74,58.44,93.39,74.21,309.97,205.78,489.27,63.34,146.62,35.74,265.44,378.33,50.61,293.11,90.11
2007,3447.68,1672.36,214.67,387.21,53.15,81.19,62.29,288.5,191.61,415.66,49.49,130.58,34.09,243.21,366.54,49.56,250.27,80.55
2006,2953.27,1387.7,213.36,301.25,44.61,64.23,46.52,225.02,148.17,391.51,53.9,121.23,34.61,205.6,332.64,43.9,213.39,76.18
2005,2656.41,1290.09,213.48,296.26,46.06,57.83,39.44,189.78,125.16,338.74,44.02,90.39,25.59,180.86,293.17,33.48,206.52,66.86
2004,2441.12,1248.87,213.83,284.7,46.24,56.16,35.11,169.55,109.67,280.44,28.6,76.02,16.94,157.13,297.91,31.71,158.63,52.56
2003,2237.27,1087.2,166.58,248.75,42.17,50.72,29.61,157.02,98.68,286.93,53.49,76.85,17.32,137.67,293.0,31.11,144.97,53.62
2002,2079.52,988.19,164.13,229.71,40.24,46.35,23.05,152.38,95.07,261.45,57.43,71.49,18.66,126.34,280.53,29.12,150.74,48.39
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
