年份,金融交易资金运用_净金融投资,金融交易资金运用_资金运用,金融交易资金运用_资金来源,金融交易资金运用_通货,金融交易资金运用_存款,金融交易资金运用_贷款,金融交易资金运用_证券,金融交易资金运用_证券投资基金份额,金融交易资金运用_证券公司客户保证金,金融交易资金运用_保险准备金,金融交易资金运用_未贴现的银行承兑汇票,金融交易资金运用_金融机构往来,金融交易资金运用_准备金,金融交易资金运用_库存现金,金融交易资金运用_中央银行贷款,金融交易资金运用_其他(净),金融交易资金运用_直接投资,金融交易资金运用_其他对外债权债务,金融交易资金运用_国际储备资产,金融交易资金运用_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,0.0,357702.080739442,,2562.8155087571,105615.054455219,127181.491411481,,18783.9999999993,-1228.86999999995,23226.0018329299,-12685.7089010466,9643.4228881755,-9609.72447923526,-515.748386691314,9591.9023460204,-59066.8933562018,19849.9071479089,7984.76605048384,1249.84015281377,-10601.2964909353
2017,,633238.0,,2342.0,145489.0,178597.0,,21754.0,-4598.0,21065.0,10762.0,29013.0,10528.0,-148.0,24731.0,66081.0,18239.0,1916.0,6179.0,-14982.0
2016,,731159.594680311,,5087.3471519984,175304.311455428,155173.123181438,177188.340645573,11754.0,-6226.711328,17936.3997432601,-39062.1114098432,15377.9834656113,26572.0943835884,-74.2145374050744,38685.8086690056,156974.513781366,25755.9921489305,14974.6498694919,-29469.3558141022,-14792.8527594584
2015,-0.028521192492917,591661.283062701,,2957.089227,161082.81103954,143292.748460473,130934.341968717,23630.0,11200.512892,15415.9860426655,-21137.0599387358,-18627.8826834838,-17512.8835653248,-208.1919543362,-1037.708779,170771.95821041,26466.7951957364,-2435.23805051954,-21390.4919214396,-11741.5030810006
2014,,539423.0,,1688.0,135698.0,142212.0,64366.0,15328.0,8169.0,14248.0,-2396.0,34188.0,20834.0,742.0,15665.0,59777.0,22529.0,7738.0,7181.0,-8544.0
2013,,517059.553368801,,3915.3975501005,156840.995456367,148307.574969473,39584.3616351662,1352.15,-310.409313,14001.1494870959,15511.3108240948,14366.7768019253,14302.3222683364,441.636629972239,412.7375579815,54654.9075865412,20443.2735550132,11417.4146723235,26605.9559718521,-4788.00228444219
2012,,454004.0,,3910.0,132275.0,121940.0,45940.0,5198.0,-685.0,14274.0,20998.0,5304.0,23150.0,971.0,476.0,51780.0,19851.0,7569.0,6069.0,-5014.0
2011,,381272.0,,6162.0,116442.0,97009.0,21540.0,2282.0,-6511.0,7348.0,20542.0,8480.0,36154.0,1072.0,-727.0,26753.0,17435.0,4495.0,25057.0,-2259.0
2010,0.49820193873893,430416.470529004,,6507.436967,130662.156761,97226.5845625244,39547.66860346,-1566.3,-2372.86666666667,6304.872357,46692.0,3321.67825529144,33260.799686,713.992937,469.058602,19394.86243352,16600.9408975675,5760.4877615501,31934.3734470527,-4040.016075295
2009,,332691.0,,4046.0,132763.0,107875.0,29778.0,-1206.0,6272.0,8791.0,,1782.0,11507.0,416.0,-1589.0,-643.0,8340.0,319.0,27216.0,-2975.0
2008,,235310.0,,4112.0,79792.0,54112.0,29997.0,3336.0,-5340.0,8577.0,,-3921.0,21100.0,50.0,-485.0,1529.0,13987.0,1159.0,29119.0,-1814.0
2007,,230180.0,,3303.0,54412.0,40978.0,39422.0,5437.0,8986.0,6567.0,,-2183.0,20713.0,384.0,-8714.0,5251.0,10978.0,10385.0,32618.0,1159.0
2006,,174525.0,,3041.0,50806.0,33452.0,26207.0,1191.0,3416.0,4607.0,,-2300.0,11214.0,113.0,-1629.0,4028.0,7647.0,12377.0,19692.0,-1027.0
2005,,133792.323423269,,2563.6927052205,43295.5547192104,24207.7477104951,22966.613282,,,4394.1236463,,3379.96289262466,2483.6065423085,376.8070546346,-1582.885026106,2351.5215068243,7407.952467223,6601.360331071,16958.129672,-1373.439017159
2004,,110311.962107687,,1722.3107334903,32189.4273043886,25239.6056326523,14878.4212807939,,,3647.9591857,,568.994336541,4353.8839661521,76.0694171943,-1171.2799824229,2937.783079054,4696.383451648,2067.57402264,17080.335552,2135.12870296658
2003,,106511.071482,,2468.43715079915,36661.5113945852,28506.4334946917,10317.750786721,,,3193.6146,,1748.4150529822,3896.822555227,329.7187912972,1019.9771659108,891.4767124585,3883.93631265,2361.12317532,9686.001987,1376.73979809064
2002,,73868.8538279289,,1589.442408212,28104.2962562526,19916.5894209768,7462.0861065916,,,2635.081944,,1185.944277,1800.7833357439,141.6311700703,-635.5498209901,-271.9668161609,4289.66980368,795.56016069,6249.7193562,549.77667067728
2001,,48791.73,,1036.16,19350.81,11643.34,4751.29,,,1219.88,,-1312.67,2082.65,-52.13,288.24,1025.33,4231.65,778.41,3917.01,-450.16
2000,,,,,,,,,,,,,,,,,,,,
