省份编码,省份,年份,固定资产投资价格指数(上年=100),建筑安装工程固定资产投资价格指数(上年=100),设备工器具购置固定资产投资价格指数(上年=100),其他费用固定资产投资价格指数(上年=100)
140000,山西省,2014,99.59,99.48,99.65,100.2
140000,山西省,2013,100.45,100.81,99.0,100.68
140000,山西省,2012,101.19,101.99,98.9,100.73
140000,山西省,2011,105.5,107.78,101.08,101.67
140000,山西省,2010,103.65,105.52,100.25,100.87
140000,山西省,2009,98.1,97.9,97.6,100.5
140000,山西省,2008,113.27,120.0,102.55,101.45
140000,山西省,2007,104.1,106.0,100.6,102.4
140000,山西省,2006,101.5,101.2,101.8,102.6
140000,山西省,2005,102.99,102.74,104.26,102.52
140000,山西省,2004,105.21,106.49,102.53,101.95
140000,山西省,2003,102.92,103.94,99.48,102.29
140000,山西省,2002,100.5,101.2,97.8,101.2
140000,山西省,2001,101.7,102.9,98.1,99.9
140000,山西省,2000,101.8,103.5,98.5,98.0
150000,内蒙古自治区,2019,101.7245,101.4342,100.5682,104.9274
150000,内蒙古自治区,2018,103.61,104.63,100.95,100.79
150000,内蒙古自治区,2017,103.4,104.45,100.61,101.35
150000,内蒙古自治区,2016,99.51,99.64,98.87,100.63
150000,内蒙古自治区,2015,98.02,97.32,99.33,100.56
150000,内蒙古自治区,2014,99.82,99.78,99.65,100.87
150000,内蒙古自治区,2013,99.58,99.63,99.0,100.78
150000,内蒙古自治区,2012,101.6,101.01,103.12,102.15
150000,内蒙古自治区,2011,106.3,108.08,101.85,103.72
150000,内蒙古自治区,2010,105.35,107.25,100.1,103.02
150000,内蒙古自治区,2009,98.5,98.1,98.0,102.4
150000,内蒙古自治区,2008,108.12,110.61,100.98,106.2
150000,内蒙古自治区,2007,103.8,104.6,100.3,105.2
150000,内蒙古自治区,2006,103.3,104.1,100.7,103.9
150000,内蒙古自治区,2005,103.69,104.5,101.18,103.37
150000,内蒙古自治区,2004,105.0,105.89,104.13,101.39
150000,内蒙古自治区,2003,102.6,103.7,100.2,100.5
150000,内蒙古自治区,2002,101.0,101.5,99.7,100.4
150000,内蒙古自治区,2001,100.8,101.2,99.8,100.4
150000,内蒙古自治区,2000,101.9,103.9,98.0,98.7
210000,辽宁省,2019,103.0977,101.696,100.5592,109.5887
210000,辽宁省,2018,103.47,104.4,100.79,101.15
210000,辽宁省,2017,104.02,105.31,100.26,101.13
210000,辽宁省,2016,99.21,99.14,98.79,100.86
210000,辽宁省,2015,97.93,97.04,99.29,101.1
210000,辽宁省,2014,99.66,99.32,99.59,101.67
210000,辽宁省,2013,100.02,99.87,99.2,102.18
210000,辽宁省,2012,100.96,101.19,99.3,103.2
210000,辽宁省,2011,106.6,109.06,101.62,104.03
210000,辽宁省,2010,103.33,104.22,100.31,104.75
210000,辽宁省,2009,97.0,95.4,98.6,101.0
210000,辽宁省,2008,109.11,113.26,100.98,105.15
210000,辽宁省,2007,104.3,106.1,100.2,104.2
210000,辽宁省,2006,102.1,102.8,100.8,101.5
210000,辽宁省,2005,102.79,103.73,101.69,100.87
210000,辽宁省,2004,104.81,107.52,99.93,102.02
210000,辽宁省,2003,102.53,104.77,97.7,101.19
210000,辽宁省,2002,100.7,101.0,99.3,101.7
210000,辽宁省,2001,100.4,100.4,99.6,101.4
210000,辽宁省,2000,101.1,101.9,98.5,99.8
220000,吉林省,2019,102.5955,102.3974,100.712,105.6049
220000,吉林省,2018,104.62,107.78,100.8,100.88
220000,吉林省,2017,104.71,107.44,100.63,100.49
220000,吉林省,2016,98.72,98.56,98.71,100.0
220000,吉林省,2015,97.58,96.32,99.28,100.1
220000,吉林省,2014,100.21,100.4,99.73,100.63
220000,吉林省,2013,99.97,100.36,99.08,100.6
220000,吉林省,2012,100.36,100.76,98.98,102.39
220000,吉林省,2011,105.6,108.38,100.88,104.15
220000,吉林省,2010,102.44,103.2,99.9,104.84
220000,吉林省,2009,99.4,99.6,98.1,101.7
220000,吉林省,2008,107.27,110.65,100.43,105.14
220000,吉林省,2007,103.9,105.2,99.9,105.9
220000,吉林省,2006,102.2,103.0,100.5,102.0
220000,吉林省,2005,101.96,102.52,100.14,102.99
220000,吉林省,2004,104.1,105.6,101.1,102.9
220000,吉林省,2003,101.09,102.32,98.05,101.33
220000,吉林省,2002,101.2,101.9,98.6,103.2
220000,吉林省,2001,101.1,102.6,98.5,100.2
220000,吉林省,2000,102.0,103.2,99.4,100.1
230000,黑龙江省,2019,100.8388,100.555,100.2653,103.4059
230000,黑龙江省,2018,103.28,104.36,100.83,100.37
230000,黑龙江省,2017,103.4,104.47,100.43,101.15
230000,黑龙江省,2016,99.35,99.35,98.98,100.72
230000,黑龙江省,2015,98.98,98.65,99.18,101.94
230000,黑龙江省,2014,99.97,99.89,99.73,101.4
230000,黑龙江省,2013,100.14,100.36,98.68,101.77
230000,黑龙江省,2012,100.81,100.99,99.28,102.84
230000,黑龙江省,2011,107.5,109.87,101.05,107.18
230000,黑龙江省,2010,105.22,106.73,100.35,107.56
230000,黑龙江省,2009,97.6,94.8,97.8,112.0
230000,黑龙江省,2008,108.97,111.94,100.61,110.91
230000,黑龙江省,2007,104.5,105.5,99.9,109.1
230000,黑龙江省,2006,102.1,102.2,101.3,103.4
230000,黑龙江省,2005,102.2,102.19,101.83,102.91
230000,黑龙江省,2004,104.98,106.27,100.47,101.97
230000,黑龙江省,2003,102.34,102.69,100.8,102.99
230000,黑龙江省,2002,100.2,101.1,96.9,101.5
230000,黑龙江省,2001,100.1,100.6,98.6,100.2
230000,黑龙江省,2000,101.5,103.1,97.3,100.7
310000,上海市,2019,101.419,102.3021,100.5257,100.5198
310000,上海市,2018,105.64,109.17,100.78,101.01
310000,上海市,2017,106.72,110.87,100.15,100.85
310000,上海市,2016,99.58,99.25,99.72,100.24
310000,上海市,2015,97.02,94.87,99.83,100.57
310000,上海市,2014,100.47,100.3,99.45,101.51
310000,上海市,2013,100.16,99.78,98.45,102.19
310000,上海市,2012,99.44,98.65,98.64,101.64
310000,上海市,2011,106.5,110.58,99.65,102.73
310000,上海市,2010,103.75,106.12,98.63,102.42
310000,上海市,2009,97.0,94.8,96.1,102.2
310000,上海市,2008,107.91,112.1,99.53,105.36
310000,上海市,2007,103.5,104.6,99.4,104.1
310000,上海市,2006,100.1,100.1,97.3,102.0
310000,上海市,2005,100.84,100.92,97.4,103.21
310000,上海市,2004,106.7,110.59,99.36,104.73
310000,上海市,2003,102.43,105.23,97.49,101.37
310000,上海市,2002,100.3,101.9,96.7,100.3
310000,上海市,2001,100.7,102.4,96.5,101.3
310000,上海市,2000,100.0,101.5,97.0,99.9
320000,江苏省,2019,101.3293,102.3127,99.3546,100.7927
320000,江苏省,2018,106.03,109.64,100.68,102.27
320000,江苏省,2017,107.59,112.88,100.64,102.12
320000,江苏省,2016,98.79,98.29,98.71,102.09
320000,江苏省,2015,96.18,93.38,99.53,101.8
320000,江苏省,2014,101.09,101.7,99.62,101.94
320000,江苏省,2013,100.45,100.79,98.76,103.04
320000,江苏省,2012,98.63,97.93,98.21,102.16
320000,江苏省,2011,106.8,110.41,101.21,105.18
320000,江苏省,2010,105.1,106.9,101.65,105.57
320000,江苏省,2009,97.7,97.0,96.2,103.4
320000,江苏省,2008,110.04,115.92,100.6,106.59
320000,江苏省,2007,104.9,107.8,99.7,104.5
320000,江苏省,2006,101.2,100.8,100.8,103.5
320000,江苏省,2005,100.87,99.64,100.45,106.49
320000,江苏省,2004,109.36,114.1,100.5,107.46
320000,江苏省,2003,104.27,107.67,97.6,103.55
320000,江苏省,2002,101.7,102.4,99.6,103.2
320000,江苏省,2001,100.8,101.0,99.7,102.6
320000,江苏省,2000,101.1,102.3,97.8,102.6
330000,浙江省,2019,102.1193,102.7696,99.9798,101.8622
330000,浙江省,2018,105.69,108.8,100.7,101.88
330000,浙江省,2017,105.84,109.3,100.72,101.23
330000,浙江省,2016,99.46,99.26,98.85,100.46
330000,浙江省,2015,97.43,95.38,99.23,100.85
330000,浙江省,2014,100.58,100.33,99.51,102.03
330000,浙江省,2013,99.97,99.45,98.68,102.28
330000,浙江省,2012,99.23,98.56,98.53,101.48
330000,浙江省,2011,107.5,111.43,101.58,103.12
330000,浙江省,2010,104.65,106.74,101.32,102.58
330000,浙江省,2009,96.7,94.6,96.2,102.5
330000,浙江省,2008,109.33,113.67,101.21,106.55
330000,浙江省,2007,104.4,105.6,100.5,105.2
330000,浙江省,2006,101.5,100.3,101.7,104.5
330000,浙江省,2005,100.33,99.33,100.33,103.08
330000,浙江省,2004,105.94,108.69,102.05,103.43
330000,浙江省,2003,103.48,106.07,98.16,101.73
330000,浙江省,2002,100.5,101.3,96.4,102.1
330000,浙江省,2001,100.4,101.2,97.6,101.1
330000,浙江省,2000,100.3,101.5,96.4,101.7
340000,安徽省,2019,102.2685,102.7395,100.1247,102.2848
340000,安徽省,2018,105.84,108.48,100.95,100.78
340000,安徽省,2017,107.4,109.88,100.61,100.81
340000,安徽省,2016,99.21,99.31,98.46,100.19
340000,安徽省,2015,96.87,95.45,99.31,100.78
340000,安徽省,2014,100.31,100.41,99.63,100.95
340000,安徽省,2013,100.15,100.31,98.97,101.2
340000,安徽省,2012,100.97,101.27,99.15,102.29
340000,安徽省,2011,108.1,110.99,101.93,103.96
340000,安徽省,2010,105.35,107.51,101.23,101.54
340000,安徽省,2009,96.0,94.4,97.1,101.1
340000,安徽省,2008,109.43,113.66,101.17,103.8
340000,安徽省,2007,105.4,107.4,100.4,103.7
340000,安徽省,2006,101.9,100.9,101.3,105.9
340000,安徽省,2005,101.04,100.98,100.33,102.26
340000,安徽省,2004,106.05,108.14,100.11,105.59
340000,安徽省,2003,103.5,105.78,98.3,101.1
340000,安徽省,2002,101.1,102.1,98.7,100.4
340000,安徽省,2001,99.5,99.6,98.8,100.5
340000,安徽省,2000,101.6,102.8,100.1,98.2
350000,福建省,2019,101.5265,102.0,100.9247,100.2124
350000,福建省,2018,104.86,106.7,100.81,100.43
350000,福建省,2017,105.58,107.58,100.85,101.09
350000,福建省,2016,99.98,99.82,99.98,100.67
350000,福建省,2015,98.32,97.63,99.48,100.14
350000,福建省,2014,100.36,100.44,99.7,100.69
350000,福建省,2013,100.07,100.03,98.93,101.17
350000,福建省,2012,100.3,100.58,98.88,100.74
350000,福建省,2011,106.2,109.43,100.78,102.5
350000,福建省,2010,103.31,104.9,99.8,102.38
350000,福建省,2009,98.0,97.4,96.4,101.0
350000,福建省,2008,105.91,108.48,99.99,104.9
350000,福建省,2007,105.9,107.1,99.6,109.2
350000,福建省,2006,102.0,102.4,99.6,103.7
350000,福建省,2005,100.74,101.13,97.6,102.77
350000,福建省,2004,103.38,106.66,96.78,101.25
350000,福建省,2003,101.42,104.16,95.39,101.16
350000,福建省,2002,99.7,100.5,96.2,103.0
350000,福建省,2001,99.5,100.2,96.9,101.4
350000,福建省,2000,100.2,102.4,94.9,98.8
360000,江西省,2019,102.4001,102.6068,99.4556,104.414
360000,江西省,2018,106.43,109.2,100.13,100.98
360000,江西省,2017,106.14,108.61,100.83,100.73
360000,江西省,2016,99.99,100.29,98.71,100.51
360000,江西省,2015,96.79,95.35,99.23,101.11
360000,江西省,2014,100.12,99.98,99.55,102.06
360000,江西省,2013,100.42,100.4,98.96,103.24
360000,江西省,2012,100.98,101.2,98.78,104.36
360000,江西省,2011,108.4,112.08,101.55,106.41
360000,江西省,2010,104.78,105.62,101.98,105.43
360000,江西省,2009,96.1,93.9,97.4,104.7
360000,江西省,2008,110.41,114.04,100.66,109.31
360000,江西省,2007,105.4,106.9,100.5,106.2
360000,江西省,2006,103.2,103.1,100.9,107.7
360000,江西省,2005,100.51,99.23,100.27,107.21
360000,江西省,2004,107.36,109.58,100.41,107.42
360000,江西省,2003,105.09,107.5,99.75,102.87
360000,江西省,2002,100.0,100.4,97.6,103.3
360000,江西省,2001,98.9,99.7,96.0,102.8
360000,江西省,2000,101.4,103.7,96.2,101.2
370000,山东省,2019,102.7853,102.9067,99.8863,106.3004
370000,山东省,2018,106.12,108.69,101.45,101.5
370000,山东省,2017,105.81,108.68,100.6,101.41
370000,山东省,2016,99.09,99.14,98.68,100.01
370000,山东省,2015,97.74,96.64,99.18,100.86
370000,山东省,2014,100.27,100.21,99.93,101.4
370000,山东省,2013,100.39,100.52,99.3,102.09
370000,山东省,2012,100.84,101.21,99.23,102.99
370000,山东省,2011,106.8,109.68,101.75,104.86
370000,山东省,2010,103.64,105.3,100.23,103.55
370000,山东省,2009,96.9,95.4,98.0,102.0
370000,山东省,2008,107.68,110.74,102.48,104.4
370000,山东省,2007,104.0,105.5,100.8,104.6
370000,山东省,2006,101.8,102.1,100.6,103.4
370000,山东省,2005,102.85,103.65,100.82,103.49
370000,山东省,2004,107.42,110.38,101.09,106.65
370000,山东省,2003,102.91,104.69,98.53,104.22
370000,山东省,2002,101.1,102.3,97.3,104.1
370000,山东省,2001,101.4,103.2,97.1,102.1
370000,山东省,2000,102.4,105.1,97.2,100.4
410000,河南省,2019,103.193,103.8081,100.3839,102.8019
410000,河南省,2018,105.38,107.36,101.45,100.99
410000,河南省,2017,107.39,110.87,100.75,100.82
410000,河南省,2016,99.16,99.13,98.61,100.71
410000,河南省,2015,97.63,96.51,99.04,100.46
410000,河南省,2014,99.95,100.08,99.36,100.71
410000,河南省,2013,99.9,99.75,99.67,101.18
410000,河南省,2012,101.0,101.39,99.65,101.94
410000,河南省,2011,107.4,110.13,102.34,102.99
410000,河南省,2010,103.46,104.92,100.52,101.25
410000,河南省,2009,96.4,94.6,98.8,102.5
410000,河南省,2008,108.96,112.14,102.46,103.31
410000,河南省,2007,104.6,106.3,101.4,101.9
410000,河南省,2006,101.6,101.5,101.5,101.7
410000,河南省,2005,101.42,101.29,101.52,101.93
410000,河南省,2004,110.12,113.6,103.87,102.48
410000,河南省,2003,103.8,105.8,99.18,102.11
410000,河南省,2002,98.7,99.5,95.9,100.2
410000,河南省,2001,100.4,101.5,97.3,101.2
410000,河南省,2000,102.9,105.0,99.0,100.4
420000,湖北省,2019,104.0111,104.3907,100.5276,105.6701
420000,湖北省,2018,106.56,108.78,101.1,102.29
420000,湖北省,2017,105.9,107.98,100.75,101.92
420000,湖北省,2016,100.07,100.24,99.05,100.67
420000,湖北省,2015,99.42,99.09,99.53,101.17
420000,湖北省,2014,100.95,101.06,99.45,102.61
420000,湖北省,2013,100.48,100.52,98.95,102.6
420000,湖北省,2012,101.78,102.08,99.7,103.26
420000,湖北省,2011,107.3,109.3,100.35,106.57
420000,湖北省,2010,104.66,105.89,99.78,106.09
420000,湖北省,2009,98.8,96.8,99.0,106.8
420000,湖北省,2008,109.37,112.16,102.74,108.2
420000,湖北省,2007,104.1,104.9,101.5,104.2
420000,湖北省,2006,101.8,101.2,102.0,103.6
420000,湖北省,2005,102.18,102.07,100.65,104.45
420000,湖北省,2004,105.96,109.21,99.6,104.69
420000,湖北省,2003,103.33,105.93,98.08,102.51
420000,湖北省,2002,99.8,100.6,97.1,101.2
420000,湖北省,2001,100.1,100.6,98.4,100.8
420000,湖北省,2000,101.7,103.0,98.9,101.4
430000,湖南省,2019,101.7305,101.5278,100.4492,104.6594
430000,湖南省,2018,104.77,105.76,100.71,102.59
430000,湖南省,2017,105.67,107.7,100.03,100.63
430000,湖南省,2016,100.44,100.65,99.36,100.67
430000,湖南省,2015,100.41,100.26,99.86,101.73
430000,湖南省,2014,101.54,101.49,100.01,103.43
430000,湖南省,2013,101.33,101.55,99.57,102.3
430000,湖南省,2012,101.69,102.15,99.63,102.02
430000,湖南省,2011,107.2,108.85,102.72,106.04
430000,湖南省,2010,103.95,104.82,101.67,102.98
430000,湖南省,2009,99.7,99.6,98.8,101.2
430000,湖南省,2008,109.85,112.3,104.72,105.06
430000,湖南省,2007,105.8,107.6,101.4,103.4
430000,湖南省,2006,103.1,103.4,100.4,105.2
430000,湖南省,2005,103.64,104.32,100.74,104.13
430000,湖南省,2004,105.52,107.87,99.11,103.39
430000,湖南省,2003,102.79,104.35,97.67,101.78
430000,湖南省,2002,100.3,100.9,99.0,98.6
430000,湖南省,2001,101.3,101.8,99.1,101.1
430000,湖南省,2000,102.3,103.3,99.0,101.4
440000,广东省,2019,104.2461,104.2588,100.324,106.3155
440000,广东省,2018,106.17,108.36,101.08,101.34
440000,广东省,2017,105.25,107.4,100.93,101.12
440000,广东省,2016,100.26,100.42,99.26,100.71
440000,广东省,2015,98.99,98.41,99.38,101.05
440000,广东省,2014,101.45,101.95,99.7,101.34
440000,广东省,2013,101.37,101.92,99.07,101.69
440000,广东省,2012,101.52,101.86,98.74,103.27
440000,广东省,2011,105.5,107.95,100.53,101.75
440000,广东省,2010,102.95,104.27,99.84,101.41
440000,广东省,2009,96.7,95.3,97.4,101.6
440000,广东省,2008,108.61,112.15,100.06,105.7
440000,广东省,2007,102.4,103.8,99.5,100.5
440000,广东省,2006,100.7,100.7,100.3,101.7
440000,广东省,2005,101.55,102.28,98.65,102.17
440000,广东省,2004,106.4,109.87,98.44,102.02
440000,广东省,2003,102.22,104.25,96.82,100.51
440000,广东省,2002,99.7,101.2,94.6,100.7
440000,广东省,2001,100.2,101.5,95.5,100.6
440000,广东省,2000,,,,
450000,广西壮族自治区,2019,102.3755,102.4355,100.6006,103.0657
450000,广西壮族自治区,2018,104.48,106.26,100.56,100.28
450000,广西壮族自治区,2017,104.35,106.2,100.76,100.02
450000,广西壮族自治区,2016,99.48,99.42,99.41,100.03
450000,广西壮族自治区,2015,98.78,98.04,99.82,100.44
450000,广西壮族自治区,2014,101.57,102.22,100.36,100.66
450000,广西壮族自治区,2013,100.05,99.92,99.55,101.33
450000,广西壮族自治区,2012,100.59,100.76,99.29,101.54
450000,广西壮族自治区,2011,106.2,108.65,101.01,103.91
450000,广西壮族自治区,2010,103.04,103.82,101.21,102.53
450000,广西壮族自治区,2009,97.9,96.8,98.4,100.8
450000,广西壮族自治区,2008,107.85,110.71,101.73,103.7
450000,广西壮族自治区,2007,102.3,103.0,101.0,101.1
450000,广西壮族自治区,2006,101.2,101.1,100.7,101.9
450000,广西壮族自治区,2005,101.35,101.32,100.82,102.01
450000,广西壮族自治区,2004,104.62,106.83,99.31,101.57
450000,广西壮族自治区,2003,101.79,103.46,96.85,100.25
450000,广西壮族自治区,2002,100.3,100.8,98.4,100.1
450000,广西壮族自治区,2001,102.0,103.6,97.7,100.0
450000,广西壮族自治区,2000,101.4,102.4,95.7,104.5
460000,海南省,2019,103.3282,103.8656,100.1247,102.9157
460000,海南省,2018,106.15,108.0,100.95,101.68
460000,海南省,2017,104.14,105.22,100.61,101.82
460000,海南省,2016,100.09,100.37,98.87,99.55
460000,海南省,2015,99.4,99.18,99.33,100.27
460000,海南省,2014,100.6,100.62,99.65,101.12
460000,海南省,2013,99.25,98.93,99.0,101.09
460000,海南省,2012,102.04,102.48,98.9,102.85
460000,海南省,2011,106.4,108.22,101.08,103.28
460000,海南省,2010,105.23,105.47,100.25,109.65
460000,海南省,2009,97.7,97.2,97.6,100.0
460000,海南省,2008,113.28,118.71,100.55,107.15
460000,海南省,2007,106.1,109.9,100.2,102.2
460000,海南省,2006,101.0,100.7,100.7,102.5
460000,海南省,2005,101.21,101.39,99.76,103.9
460000,海南省,2004,105.58,109.73,100.01,101.71
460000,海南省,2003,103.23,105.73,99.22,100.47
460000,海南省,2002,98.2,97.8,98.7,98.4
460000,海南省,2001,100.3,102.2,97.0,98.6
460000,海南省,2000,101.8,104.0,97.4,100.0
500000,重庆市,2019,103.389,103.4755,100.126,104.499
500000,重庆市,2018,104.99,106.34,100.97,100.53
500000,重庆市,2017,105.26,106.89,100.6,100.36
500000,重庆市,2016,98.87,98.5,98.82,100.56
500000,重庆市,2015,98.24,97.47,99.37,100.75
500000,重庆市,2014,100.32,100.4,99.7,100.36
500000,重庆市,2013,100.52,100.52,98.7,101.52
500000,重庆市,2012,101.8,102.13,99.08,101.86
500000,重庆市,2011,105.9,107.81,101.05,102.49
500000,重庆市,2010,102.1,102.69,99.57,101.86
500000,重庆市,2009,97.8,97.0,97.7,100.2
500000,重庆市,2008,110.2,113.69,100.63,106.59
500000,重庆市,2007,105.5,106.0,100.2,107.8
500000,重庆市,2006,101.7,101.1,100.7,104.3
500000,重庆市,2005,102.3,102.19,99.73,104.57
500000,重庆市,2004,105.08,106.99,98.83,102.72
500000,重庆市,2003,102.87,104.66,96.7,101.27
500000,重庆市,2002,100.7,101.9,96.2,100.4
500000,重庆市,2001,100.8,101.4,96.8,103.3
500000,重庆市,2000,102.5,103.1,97.0,108.7
510000,四川省,2019,101.5633,101.968,100.3,100.2391
510000,四川省,2018,106.36,108.98,101.03,103.69
510000,四川省,2017,107.66,112.31,101.25,100.25
510000,四川省,2016,99.8,100.07,98.93,99.79
510000,四川省,2015,97.86,96.44,99.7,100.22
510000,四川省,2014,100.54,100.55,99.9,101.06
510000,四川省,2013,100.38,100.21,99.48,101.61
510000,四川省,2012,101.03,101.64,99.23,100.91
510000,四川省,2011,105.2,107.13,101.9,102.47
510000,四川省,2010,102.48,103.22,100.83,101.85
510000,四川省,2009,98.3,97.1,98.8,101.4
510000,四川省,2008,112.52,118.79,101.78,104.43
510000,四川省,2007,104.7,106.4,101.0,103.4
510000,四川省,2006,102.9,103.4,101.4,103.0
510000,四川省,2005,103.86,105.25,99.81,103.49
510000,四川省,2004,106.75,110.13,99.52,101.74
510000,四川省,2003,102.23,103.8,97.65,101.77
510000,四川省,2002,100.5,102.0,96.1,99.9
510000,四川省,2001,101.5,103.9,94.7,100.8
510000,四川省,2000,100.9,103.4,93.6,100.3
520000,贵州省,2019,102.2519,102.048,100.3634,104.5183
520000,贵州省,2018,105.23,106.02,101.65,101.11
520000,贵州省,2017,106.1,107.26,100.7,100.73
520000,贵州省,2016,98.63,98.26,99.18,100.87
520000,贵州省,2015,98.39,98.07,99.5,99.44
520000,贵州省,2014,101.06,101.3,99.25,101.11
520000,贵州省,2013,100.94,101.45,99.2,100.09
520000,贵州省,2012,101.48,101.97,99.05,101.51
520000,贵州省,2011,105.4,107.52,100.93,102.58
520000,贵州省,2010,102.73,103.61,100.08,102.51
520000,贵州省,2009,100.5,102.0,97.5,99.3
520000,贵州省,2008,108.85,114.25,100.63,101.08
520000,贵州省,2007,103.5,105.4,100.2,100.9
520000,贵州省,2006,101.1,101.5,100.3,100.6
520000,贵州省,2005,101.35,101.78,100.47,100.94
520000,贵州省,2004,104.89,106.4,103.38,100.53
520000,贵州省,2003,102.28,103.85,98.74,99.9
520000,贵州省,2002,100.2,100.8,98.3,100.0
520000,贵州省,2001,100.4,101.2,98.6,100.0
520000,贵州省,2000,102.2,102.5,102.7,100.0
530000,云南省,2019,102.3174,102.6468,100.3538,100.8233
530000,云南省,2018,104.9,105.74,100.88,100.63
530000,云南省,2017,104.94,105.84,101.38,100.56
530000,云南省,2016,100.05,100.1,98.58,101.0
530000,云南省,2015,99.1,98.72,98.83,101.03
530000,云南省,2014,100.95,101.23,99.4,100.74
530000,云南省,2013,101.05,101.15,99.28,101.87
530000,云南省,2012,101.38,101.69,99.25,101.92
530000,云南省,2011,104.6,105.99,101.15,102.79
530000,云南省,2010,102.74,103.5,100.42,101.97
530000,云南省,2009,98.1,97.6,97.1,100.9
530000,云南省,2008,107.35,110.11,101.0,102.24
530000,云南省,2007,104.2,104.5,100.5,107.0
530000,云南省,2006,101.8,101.2,101.3,104.1
530000,云南省,2005,104.56,105.4,102.34,103.92
530000,云南省,2004,107.98,110.37,102.36,105.72
530000,云南省,2003,102.21,103.09,99.38,102.44
530000,云南省,2002,100.0,100.9,96.7,100.8
530000,云南省,2001,101.0,101.9,98.2,100.6
530000,云南省,2000,101.6,102.4,98.3,103.6
540000,西藏自治区,2019,,,,
540000,西藏自治区,2018,,,,
540000,西藏自治区,2017,,,,
540000,西藏自治区,2016,,,,
540000,西藏自治区,2015,,,,
540000,西藏自治区,2014,,,,
540000,西藏自治区,2013,,,,
540000,西藏自治区,2012,,,,
540000,西藏自治区,2011,,,,
540000,西藏自治区,2010,,,,
540000,西藏自治区,2009,,,,
540000,西藏自治区,2008,,,,
540000,西藏自治区,2007,,,,
540000,西藏自治区,2006,,,,
540000,西藏自治区,2005,,,,
540000,西藏自治区,2004,,,,
