年份,规模以上工业企业本年应交增值税,煤炭采选业规模以上工业企业本年应交增值税,石油和天然气开采业规模以上工业企业本年应交增值税,黑色金属矿采选业规模以上工业企业本年应交增值税,有色金属矿采选业规模以上工业企业本年应交增值税,非金属矿采选业规模以上工业企业本年应交增值税,其他矿采选业规模以上工业企业本年应交增值税,木材及竹材采运业规模以上工业企业本年应交增值税,食品加工业规模以上工业企业本年应交增值税,食品制造业规模以上工业企业本年应交增值税,饮料制造业规模以上工业企业本年应交增值税,烟草加工业规模以上工业企业本年应交增值税,纺织业规模以上工业企业本年应交增值税,服装及其他纤维制品制造业规模以上工业企业本年应交增值税,皮革、毛皮、羽绒及其制品业规模以上工业企业本年应交增值税,木材加工及竹、藤、棕、草制品业规模以上工业企业本年应交增值税,家具制造业规模以上工业企业本年应交增值税,造纸及纸制品业规模以上工业企业本年应交增值税,印刷业、记录媒介的复制规模以上工业企业本年应交增值税,文教体育用品制造业规模以上工业企业本年应交增值税,石油加工及炼焦业规模以上工业企业本年应交增值税,化学原料及化学制品制造业规模以上工业企业本年应交增值税,医药制造业规模以上工业企业本年应交增值税,化学纤维制造业规模以上工业企业本年应交增值税,橡胶制品业规模以上工业企业本年应交增值税,塑料制品业规模以上工业企业本年应交增值税,非金属矿物制造业规模以上工业企业本年应交增值税,黑色金属冶炼及压延加工业规模以上工业企业本年应交增值税,有色金属冶炼及压延加工业规模以上工业企业本年应交增值税,金属制品业规模以上工业企业本年应交增值税,普通机械制造业规模以上工业企业本年应交增值税,专用设备制造业规模以上工业企业本年应交增值税,交通运输设备制造业规模以上工业企业本年应交增值税,电气机械及器材制造业规模以上工业企业本年应交增值税,电子及通信设备制造业规模以上工业企业本年应交增值税,仪器仪表及文化办公用机械制造业规模以上工业企业本年应交增值税,其它制造业规模以上工业企业本年应交增值税,电力、蒸汽、热水的生产和供应业规模以上工业企业本年应交增值税,煤气生产和供应业规模以上工业企业本年应交增值税,自来水的生产和供应业规模以上工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,4476.01,148.91764,226.37615,10.62462,13.57489,18.3716,0.10217,1.63783,74.99252,77.41902,118.66157,211.16086,170.23249,70.64828,36.2686,22.81881,12.54379,85.54855,40.06848,15.2795,171.96335,268.335,150.14848,32.01868,33.59336,70.0415,202.86146,332.4698,83.49808,89.03979,158.44344,94.51797,306.58902,183.70054,193.90655,28.94504,29.83519,658.21105,9.32811,19.62867
2001,4018.09,122.73664,242.85826,8.47424,12.12147,17.17117,0.21098,2.08569,74.88889,71.30834,108.81167,177.01979,164.32875,66.47336,36.16503,21.799,11.61209,71.74298,36.57735,15.87351,150.39041,238.81273,132.71708,30.82566,30.84218,60.46194,178.60827,271.11282,82.41518,81.42777,133.98835,80.67656,235.70287,172.82487,217.93622,26.48519,31.95668,568.79595,8.22809,19.14571
2000,3685.2,98.10564,297.40804,7.08548,12.90383,16.43182,0.177,2.61329,70.25195,64.34311,108.05921,143.9546,158.41324,55.11492,26.39584,20.82874,9.89364,62.91215,31.01807,13.04897,118.36606,213.78365,115.43078,42.16344,26.97472,50.46167,172.57891,247.76176,82.30899,68.4966,122.96311,73.56626,202.49918,156.38859,179.68578,23.88548,27.2656,532.18899,6.81727,18.44332
