年份,规模以上工业企业产成品,煤炭采选业规模以上工业企业产成品,石油和天然气开采业规模以上工业企业产成品,黑色金属矿采选业规模以上工业企业产成品,有色金属矿采选业规模以上工业企业产成品,非金属矿采选业规模以上工业企业产成品,其他矿采选业规模以上工业企业产成品,木材及竹材采运业规模以上工业企业产成品,食品加工业规模以上工业企业产成品,食品制造业规模以上工业企业产成品,饮料制造业规模以上工业企业产成品,烟草加工业规模以上工业企业产成品,纺织业规模以上工业企业产成品,服装及其他纤维制品制造业规模以上工业企业产成品,皮革、毛皮、羽绒及其制品业规模以上工业企业产成品,木材加工及竹、藤、棕、草制品业规模以上工业企业产成品,家具制造业规模以上工业企业产成品,造纸及纸制品业规模以上工业企业产成品,印刷业、记录媒介的复制规模以上工业企业产成品,文教体育用品制造业规模以上工业企业产成品,石油加工及炼焦业规模以上工业企业产成品,化学原料及化学制品制造业规模以上工业企业产成品,医药制造业规模以上工业企业产成品,化学纤维制造业规模以上工业企业产成品,橡胶制品业规模以上工业企业产成品,塑料制品业规模以上工业企业产成品,非金属矿物制造业规模以上工业企业产成品,黑色金属冶炼及压延加工业规模以上工业企业产成品,有色金属冶炼及压延加工业规模以上工业企业产成品,金属制品业规模以上工业企业产成品,普通机械制造业规模以上工业企业产成品,专用设备制造业规模以上工业企业产成品,交通运输设备制造业规模以上工业企业产成品,电气机械及器材制造业规模以上工业企业产成品,电子及通信设备制造业规模以上工业企业产成品,仪器仪表及文化办公用机械制造业规模以上工业企业产成品,其它制造业规模以上工业企业产成品,电力、蒸汽、热水的生产和供应业规模以上工业企业产成品,煤气生产和供应业规模以上工业企业产成品,自来水的生产和供应业规模以上工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6944.33129,92.83379,38.30156,15.72214,21.63622,34.27036,0.96364,12.57868,264.68162,122.84557,157.47898,61.18428,575.98278,185.59605,101.60834,58.28682,32.79708,159.75842,50.83937,44.49214,152.80525,473.96955,228.86147,60.17614,107.64084,164.30649,419.83274,300.24659,154.04685,249.70548,469.37834,322.07215,536.33121,518.08299,535.20356,87.32519,82.7162,16.47666,6.03262,3.1633
2001,6635.00354,95.40419,43.23759,13.1869,25.06163,33.21495,0.19889,12.59078,244.63694,109.02691,151.7506,58.73074,616.55269,180.76674,104.03434,57.34715,33.23281,151.25885,46.16706,40.58335,154.67174,452.71862,207.88142,70.18659,109.79664,144.62501,407.6367,308.42333,163.95601,238.71269,420.62832,298.08631,468.27219,511.17363,462.63304,74.56437,75.86099,12.43275,5.03213,2.19212
2000,6293.16771,108.70961,34.35999,13.85083,24.11577,32.22308,0.20688,14.55668,226.91348,101.88426,151.24913,51.15408,553.66445,169.29274,95.92387,54.04872,31.08296,151.68327,44.49547,34.77874,169.79991,441.83594,189.95496,72.06576,107.60465,137.30145,375.0175,290.79513,141.93607,228.39187,401.54115,297.2712,425.42621,458.64915,457.09343,69.09914,71.66409,22.72291,8.64057,1.66619
