年份,规模以上工业亏损企业亏损总额,煤炭采选业规模以上工业亏损企业亏损总额,石油和天然气开采业规模以上工业亏损企业亏损总额,黑色金属矿采选业规模以上工业亏损企业亏损总额,有色金属矿采选业规模以上工业亏损企业亏损总额,非金属矿采选业规模以上工业亏损企业亏损总额,其他矿采选业规模以上工业亏损企业亏损总额,木材及竹材采运业规模以上工业亏损企业亏损总额,食品加工业规模以上工业亏损企业亏损总额,食品制造业规模以上工业亏损企业亏损总额,饮料制造业规模以上工业亏损企业亏损总额,烟草加工业规模以上工业亏损企业亏损总额,纺织业规模以上工业亏损企业亏损总额,服装及其他纤维制品制造业规模以上工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业规模以上工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业规模以上工业亏损企业亏损总额,家具制造业规模以上工业亏损企业亏损总额,造纸及纸制品业规模以上工业亏损企业亏损总额,印刷业、记录媒介的复制规模以上工业亏损企业亏损总额,文教体育用品制造业规模以上工业亏损企业亏损总额,石油加工及炼焦业规模以上工业亏损企业亏损总额,化学原料及化学制品制造业规模以上工业亏损企业亏损总额,医药制造业规模以上工业亏损企业亏损总额,化学纤维制造业规模以上工业亏损企业亏损总额,橡胶制品业规模以上工业亏损企业亏损总额,塑料制品业规模以上工业亏损企业亏损总额,非金属矿物制造业规模以上工业亏损企业亏损总额,黑色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,有色金属冶炼及压延加工业规模以上工业亏损企业亏损总额,金属制品业规模以上工业亏损企业亏损总额,普通机械制造业规模以上工业亏损企业亏损总额,专用设备制造业规模以上工业亏损企业亏损总额,交通运输设备制造业规模以上工业亏损企业亏损总额,电气机械及器材制造业规模以上工业亏损企业亏损总额,电子及通信设备制造业规模以上工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业规模以上工业亏损企业亏损总额,其它制造业规模以上工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业规模以上工业亏损企业亏损总额,煤气生产和供应业规模以上工业亏损企业亏损总额,自来水的生产和供应业规模以上工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1131.56552,12.13606,1.09107,2.07423,7.91253,6.17481,0.02332,2.11108,41.97946,35.54625,33.66487,5.97071,57.5447,16.23176,10.18552,11.62136,4.78467,23.64522,8.74578,5.72746,45.88878,96.12778,30.0642,17.33086,12.34748,23.08722,71.00791,26.17116,22.24036,29.97959,49.09316,40.25109,85.71509,49.7804,94.47924,12.63109,6.33768,99.58597,10.17861,15.37726
2001,1211.0197,17.66769,4.1409,1.43795,5.42326,4.6956,0.00016,2.71055,41.01195,29.1378,35.14369,16.8294,64.00319,16.51203,12.07993,9.77512,3.59251,27.78936,10.19221,5.8223,64.06608,130.99474,21.11332,20.14768,13.05802,20.35681,70.87094,32.27837,23.69879,27.53477,56.64156,46.54806,80.95857,61.54136,82.3921,10.14362,6.46711,103.02485,8.08682,11.99281
2000,1136.11552,34.19773,6.6193,1.97353,4.21153,5.82854,0.03176,3.59279,49.60861,30.35328,34.7799,7.40194,48.20014,13.64023,10.09958,11.23434,3.32782,23.77029,8.88277,4.73669,59.41011,93.58305,18.31859,10.34326,16.51662,18.35423,76.57577,43.23628,21.20154,32.93635,53.57439,43.18859,98.45642,52.11721,44.44509,10.03011,6.42263,100.55986,9.64707,10.5657
