年份,规模以上工业企业实收资本,煤炭采选业规模以上工业企业实收资本,石油和天然气开采业规模以上工业企业实收资本,黑色金属矿采选业规模以上工业企业实收资本,有色金属矿采选业规模以上工业企业实收资本,非金属矿采选业规模以上工业企业实收资本,其他矿采选业规模以上工业企业实收资本,木材及竹材采运业规模以上工业企业实收资本,食品加工业规模以上工业企业实收资本,食品制造业规模以上工业企业实收资本,饮料制造业规模以上工业企业实收资本,烟草加工业规模以上工业企业实收资本,纺织业规模以上工业企业实收资本,服装及其他纤维制品制造业规模以上工业企业实收资本,皮革、毛皮、羽绒及其制品业规模以上工业企业实收资本,木材加工及竹、藤、棕、草制品业规模以上工业企业实收资本,家具制造业规模以上工业企业实收资本,造纸及纸制品业规模以上工业企业实收资本,印刷业、记录媒介的复制规模以上工业企业实收资本,文教体育用品制造业规模以上工业企业实收资本,石油加工及炼焦业规模以上工业企业实收资本,化学原料及化学制品制造业规模以上工业企业实收资本,医药制造业规模以上工业企业实收资本,化学纤维制造业规模以上工业企业实收资本,橡胶制品业规模以上工业企业实收资本,塑料制品业规模以上工业企业实收资本,非金属矿物制造业规模以上工业企业实收资本,黑色金属冶炼及压延加工业规模以上工业企业实收资本,有色金属冶炼及压延加工业规模以上工业企业实收资本,金属制品业规模以上工业企业实收资本,普通机械制造业规模以上工业企业实收资本,专用设备制造业规模以上工业企业实收资本,交通运输设备制造业规模以上工业企业实收资本,电气机械及器材制造业规模以上工业企业实收资本,电子及通信设备制造业规模以上工业企业实收资本,仪器仪表及文化办公用机械制造业规模以上工业企业实收资本,其它制造业规模以上工业企业实收资本,电力、蒸汽、热水的生产和供应业规模以上工业企业实收资本,煤气生产和供应业规模以上工业企业实收资本,自来水的生产和供应业规模以上工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,39155.63171,1598.13372,1839.51308,147.65343,151.07555,229.77556,0.77366,96.16753,875.76633,660.16972,829.07408,341.84731,1720.84235,618.68487,326.26238,262.43561,145.76751,796.38655,366.97224,213.31545,1116.41963,2699.9285,1002.67759,460.65894,347.3145,859.06811,1976.41425,2381.06566,858.56902,922.95904,1404.9831,951.84104,2550.16307,1600.88831,2362.56305,356.78462,297.83206,4697.29245,303.65716,617.9076
2001,36217.11408,1223.77489,1857.72594,134.96002,140.3886,220.2838,0.48195,97.40157,798.88039,595.95814,772.59361,341.96483,1565.23,561.52853,292.86334,246.14101,129.83521,717.00245,347.98283,183.27488,1001.10708,2434.63865,808.30228,438.04631,312.38971,747.79208,1837.42323,2678.1138,822.63344,861.29164,1307.1047,871.71581,2330.33664,1480.48501,1984.41474,308.12803,259.53388,4487.68967,287.55464,572.71554
2000,32940.44668,1033.5562,1706.96271,128.91557,144.38142,191.83313,0.67359,99.48932,769.63209,544.14275,727.29398,330.46247,1460.83062,533.66161,262.32806,205.5749,119.65907,634.6433,299.09053,174.859,805.03551,2064.0566,682.33116,498.47015,295.37785,647.94161,1703.64572,2473.13132,797.4211,765.8101,1214.67916,771.98219,2013.67005,1382.20932,1715.73231,277.57458,234.26394,4251.23079,270.06451,550.39037
