年份,规模以上工业企业主营业务成本,煤炭采选业规模以上工业企业主营业务成本,石油和天然气开采业规模以上工业企业主营业务成本,黑色金属矿采选业规模以上工业企业主营业务成本,有色金属矿采选业规模以上工业企业主营业务成本,非金属矿采选业规模以上工业企业主营业务成本,其他矿采选业规模以上工业企业主营业务成本,木材及竹材采运业规模以上工业企业主营业务成本,食品加工业规模以上工业企业主营业务成本,食品制造业规模以上工业企业主营业务成本,饮料制造业规模以上工业企业主营业务成本,烟草加工业规模以上工业企业主营业务成本,纺织业规模以上工业企业主营业务成本,服装及其他纤维制品制造业规模以上工业企业主营业务成本,皮革、毛皮、羽绒及其制品业规模以上工业企业主营业务成本,木材加工及竹、藤、棕、草制品业规模以上工业企业主营业务成本,家具制造业规模以上工业企业主营业务成本,造纸及纸制品业规模以上工业企业主营业务成本,印刷业、记录媒介的复制规模以上工业企业主营业务成本,文教体育用品制造业规模以上工业企业主营业务成本,石油加工及炼焦业规模以上工业企业主营业务成本,化学原料及化学制品制造业规模以上工业企业主营业务成本,医药制造业规模以上工业企业主营业务成本,化学纤维制造业规模以上工业企业主营业务成本,橡胶制品业规模以上工业企业主营业务成本,塑料制品业规模以上工业企业主营业务成本,非金属矿物制造业规模以上工业企业主营业务成本,黑色金属冶炼及压延加工业规模以上工业企业主营业务成本,有色金属冶炼及压延加工业规模以上工业企业主营业务成本,金属制品业规模以上工业企业主营业务成本,普通机械制造业规模以上工业企业主营业务成本,专用设备制造业规模以上工业企业主营业务成本,交通运输设备制造业规模以上工业企业主营业务成本,电气机械及器材制造业规模以上工业企业主营业务成本,电子及通信设备制造业规模以上工业企业主营业务成本,仪器仪表及文化办公用机械制造业规模以上工业企业主营业务成本,其它制造业规模以上工业企业主营业务成本,电力、蒸汽、热水的生产和供应业规模以上工业企业主营业务成本,煤气生产和供应业规模以上工业企业主营业务成本,自来水的生产和供应业规模以上工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,90243.76,1357.26882,1370.93097,169.15403,331.42274,298.14978,1.24228,55.74282,4052.16284,1415.48992,1242.99378,806.01868,5416.71662,2365.14712,1500.35993,676.68528,420.0276,1647.26655,616.74617,631.70963,4336.06398,5759.92226,1465.07718,974.44063,788.38566,2045.15216,3510.01175,5537.64217,2251.79111,2654.01746,3249.82625,2143.95383,6590.41281,4739.42353,9503.77812,899.52595,982.83714,7661.19016,303.26892,270.22146
2001,77259.89,1054.20286,1336.73854,138.18068,299.68758,262.26175,2.71019,59.06977,3423.85225,1197.35418,1155.54034,742.78709,4672.26972,2086.30594,1277.46439,595.08966,346.50956,1428.47015,539.79937,555.02063,4186.30408,5040.1356,1229.84389,861.58061,665.68364,1757.47601,3020.09942,4855.22091,1988.31932,2260.54335,2622.70032,1771.23303,5138.29523,4167.71568,7713.41511,768.08918,848.95508,6526.89932,239.95438,243.51647
2000,68653.95,894.43899,1363.75669,116.99627,284.03836,243.65193,1.98571,66.12897,3097.71958,1056.24586,1096.3011,673.19762,4240.34823,1828.48438,1103.41642,537.96233,287.44773,1267.60069,461.3528,503.61751,4140.98034,4466.20472,1026.76319,1019.97565,613.35565,1552.20382,2730.5772,4193.61897,1787.49939,2030.21165,2298.07534,1644.55135,4298.46978,3685.6714,6210.19621,702.01849,760.28879,5733.80629,227.82791,231.94195
