年份,企业法人单位数,国有控股企业法人单位数,集体控股企业法人单位数,私人控股企业法人单位数,港、澳、台商控股企业法人单位数,外商控股企业法人单位数,其他企业法人单位数
2019,21091270.0,266434,172503,19811755.0,123562,92856,624160
2018,,,,,,,
2017,18097682.0,325800,249946,16204143.0,113103,111628,1093062
2016,14618448.0,310992,243393,12537206.0,103849,99987,1323021
2015,12593254.0,291263,253199,10677612.0,101730,99693,1169757
2014,10617154.0,263348,248221,9027688.0,98661,97793,881443
2013,8208273.0,220508,212585,7059996.0,83840,85896,545448
2012,8286654.0,278479,271295,6552049.0,101518,109103,974210
2011,7331200.0,261944,270139,5792102.0,95382,102989,808644
2010,6517670.0,249622,269565,5126438.0,89681,98412,683952
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
