年份,企业法人单位数,内资企业法人单位数,国有企业法人单位数,集体企业法人单位数,股份合作企业法人单位数,联营企业法人单位数,有限责任公司法人单位数,股份有限公司法人单位数,私营企业法人单位数,港、澳、台商投资企业法人单位数,外商投资企业单位法人单位数
2019,21091270.0,20840125.0,74547,103163,28333,5657,1546236,121544,18921928.0,133752,117393
2018,,,,,,,,,,,
2017,18097682.0,17830471.0,133223,155641,62350,16550,2368950,151259,14368860.0,130214,136997
2016,14618448.0,14378293.0,132373,141442,67654,20094,2532423,174881,10500697.0,117764,122391
2015,12593254.0,12355798.0,133631,144856,68593,21006,2219754,158864,8656494.0,115168,122288
2014,10617154.0,10385200.0,130216,147251,69767,21402,1848091,145986,7266188.0,112076,119878
2013,8208273.0,8005884.0,113254,130516,64680,19725,1494395,123370,5603917.0,96555,105834
2012,8286654.0,8043201.0,159644,183870,74697,13585,1090375,138698,5917718.0,112602,130851
2011,7331200.0,7101085.0,156323,187065,73159,13399,917113,128954,5254870.0,106013,124102
2010,6517670.0,6300453.0,153847,192341,71810,13032,773324,119175,4683851.0,99049,118168
2009,,,,,,,,,,,
2008,,,,,,,,,,,
2007,,,,,,,,,,,
2006,,,,,,,,,,,
2005,,,,,,,,,,,
2004,,,,,,,,,,,
2003,,,,,,,,,,,
2002,,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
