年份,限额以上研究与试验发展项目(课题)政府资金支出,限额以上研究与试验发展国家科技项目(课题)政府资金支出,限额以上研究与试验发展地方科技项目(课题)政府资金支出,限额以上研究与试验发展企业委托科技项目(课题)政府资金支出,限额以上研究与试验发展自选科技项目(课题)政府资金支出,限额以上研究与试验发展来自国外的科技项目(课题)政府资金支出,限额以上研究与试验发展其它科技项目(课题)政府资金支出,限额以上自然科学研究与试验发展项目(课题)政府资金支出,限额以上农业科学研究与试验发展项目(课题)政府资金支出,限额以上医药科学研究与试验发展项目(课题)政府资金支出,限额以上工程与技术科学研究与试验发展项目(课题)政府资金支出,限额以上人文与社会科学研究与试验发展项目(课题)政府资金支出,限额以上基础研究研究与试验发展项目(课题)政府资金支出,限额以上应用研究研究与试验发展项目(课题)政府资金支出,限额以上试验发展研究与试验发展项目(课题)政府资金支出,环境保护及污染防治限额以上研究与试验发展项目(课题)政府资金支出,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)政府资金支出,促进卫生事业的发展限额以上研究与试验发展项目(课题)政府资金支出,促进教育事业的发展限额以上研究与试验发展项目(课题)政府资金支出,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)政府资金支出,社会发展和社会服务限额以上研究与试验发展项目(课题)政府资金支出,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)政府资金支出,民用空间的探测及开发限额以上研究与试验发展项目(课题)政府资金支出,促进农林牧渔业发展限额以上研究与试验发展项目(课题)政府资金支出,促进工商业发展限额以上研究与试验发展项目(课题)政府资金支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7177461.29,5751312.82,727299.51,53693.49,167813.02,31271.26,446071.19,1258962.08,534648.22,369009.63,4820780.81,194060.55,1435582.49,2884045.74,2857833.06,241816.93,187728.64,326355.73,50680.25,147170.54,271487.34,213810.77,77194.05,587195.21,585985.84
2008,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,
