年份,限额以上研究与试验发展项目(课题)经费支出,限额以上研究与试验发展国家科技项目(课题)经费支出,限额以上研究与试验发展地方科技项目(课题)经费支出,限额以上研究与试验发展企业委托科技项目(课题)经费支出,限额以上研究与试验发展自选科技项目(课题)经费支出,限额以上研究与试验发展来自国外的科技项目(课题)经费支出,限额以上研究与试验发展其它科技项目(课题)经费支出,限额以上自然科学研究与试验发展项目(课题)经费支出,限额以上农业科学研究与试验发展项目(课题)经费支出,限额以上医药科学研究与试验发展项目(课题)经费支出,限额以上工程与技术科学研究与试验发展项目(课题)经费支出,限额以上人文与社会科学研究与试验发展项目(课题)经费支出,限额以上基础研究研究与试验发展项目(课题)经费支出,限额以上应用研究研究与试验发展项目(课题)经费支出,限额以上试验发展研究与试验发展项目(课题)经费支出,环境保护及污染防治限额以上研究与试验发展项目(课题)经费支出,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)经费支出,促进卫生事业的发展限额以上研究与试验发展项目(课题)经费支出,促进教育事业的发展限额以上研究与试验发展项目(课题)经费支出,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)经费支出,社会发展和社会服务限额以上研究与试验发展项目(课题)经费支出,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)经费支出,民用空间的探测及开发限额以上研究与试验发展项目(课题)经费支出,促进农林牧渔业发展限额以上研究与试验发展项目(课题)经费支出,促进工商业发展限额以上研究与试验发展项目(课题)经费支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,
2009,43936975.5937998,8318775.05510459,3499562.70780336,2687609.61331497,27156779.396511,966766.16226516,1307482.65880074,1573897.97,723774.5,691603.48,40631853.0537998,315846.59,1732099.29078462,4805014.24558575,37399862.0574294,1179620.87770868,2499033.0172668,621827.88,96483.62,1491620.56487045,2012462.99062059,247021.98,94328.23,782341.04799468,29296912.5631271
2008,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,
