年份,限额以上研究与试验发展项目(课题)数,限额以上研究与试验发展国家科技项目(课题)数,限额以上研究与试验发展地方科技项目(课题)数,限额以上研究与试验发展企业委托科技项目(课题)数,限额以上研究与试验发展自选科技项目(课题)数,限额以上研究与试验发展来自国外的科技项目(课题)数,限额以上研究与试验发展其它科技项目(课题)数,限额以上自然科学研究与试验发展项目(课题)数,限额以上农业科学研究与试验发展项目(课题)数,限额以上医药科学研究与试验发展项目(课题)数,限额以上工程与技术科学研究与试验发展项目(课题)数,限额以上人文与社会科学研究与试验发展项目(课题)数,限额以上基础研究研究与试验发展项目(课题)数,限额以上应用研究研究与试验发展项目(课题)数,限额以上试验发展研究与试验发展项目(课题)数,环境保护及污染防治限额以上研究与试验发展项目(课题)数,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)数,促进卫生事业的发展限额以上研究与试验发展项目(课题)数,促进教育事业的发展限额以上研究与试验发展项目(课题)数,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)数,社会发展和社会服务限额以上研究与试验发展项目(课题)数,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)数,民用空间的探测及开发限额以上研究与试验发展项目(课题)数,促进农林牧渔业发展限额以上研究与试验发展项目(课题)数,促进工商业发展限额以上研究与试验发展项目(课题)数
2019,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,
2009,701841.0,172014.0,186459.0,113760.0,207059.0,6065.0,16484.0,82913.0,40016.0,80959.0,334704.0,163249.0,219182.0,276923.0,205736.0,22292.0,27761.0,70932.0,68922.0,26093.0,81617.0,8815.0,2435.0,46476.0,199945.0
2008,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,
