年份,限额以上研究与试验发展项目(课题)研究人员全时当量,限额以上研究与试验发展国家科技项目(课题)研究人员全时当量,限额以上研究与试验发展地方科技项目(课题)研究人员全时当量,限额以上研究与试验发展企业委托科技项目(课题)研究人员全时当量,限额以上研究与试验发展自选科技项目(课题)研究人员全时当量,限额以上研究与试验发展来自国外的科技项目(课题)研究人员全时当量,限额以上研究与试验发展其它科技项目(课题)研究人员全时当量,限额以上自然科学研究与试验发展项目(课题)研究人员全时当量,限额以上农业科学研究与试验发展项目(课题)研究人员全时当量,限额以上医药科学研究与试验发展项目(课题)研究人员全时当量,限额以上工程与技术科学研究与试验发展项目(课题)研究人员全时当量,限额以上人文与社会科学研究与试验发展项目(课题)研究人员全时当量,限额以上基础研究研究与试验发展项目(课题)研究人员全时当量,限额以上应用研究研究与试验发展项目(课题)研究人员全时当量,限额以上试验发展研究与试验发展项目(课题)研究人员全时当量,环境保护及污染防治限额以上研究与试验发展项目(课题)研究人员全时当量,促进能源的生产、分配和合理利用限额以上研究与试验发展项目(课题)研究人员全时当量,促进卫生事业的发展限额以上研究与试验发展项目(课题)研究人员全时当量,促进教育事业的发展限额以上研究与试验发展项目(课题)研究人员全时当量,基础设施以及城市和农村规划限额以上研究与试验发展项目(课题)研究人员全时当量,社会发展和社会服务限额以上研究与试验发展项目(课题)研究人员全时当量,地球和大气层的探索与利用限额以上研究与试验发展项目(课题)研究人员全时当量,民用空间的探测及开发限额以上研究与试验发展项目(课题)研究人员全时当量,促进农林牧渔业发展限额以上研究与试验发展项目(课题)研究人员全时当量,促进工商业发展限额以上研究与试验发展项目(课题)研究人员全时当量
2019,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,
2009,497958.33916201,197956.64451587,99758.31892771,55764.14097449,121605.43766957,4893.47927411,17980.31780026,56964.9,31323.59015127,57815.40285196,300929.6767656,50924.76939318,112028.94199152,179524.8597258,206404.53744469,15476.69362263,23307.56256988,51312.44393946,20492.05917521,15992.58118422,36031.70695177,6914.9031073,1990.00938544,34988.39520033,140418.15655561
2008,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,
