年份,外商及港澳台商投资工业企业主营业务成本,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务成本,石油和天然气开采业外商及港澳台商投资工业企业主营业务成本,黑色金属矿采选业外商及港澳台商投资工业企业主营业务成本,有色金属矿采选业外商及港澳台商投资工业企业主营业务成本,非金属矿采选业外商及港澳台商投资工业企业主营业务成本,开采辅助活动外商及港澳台商投资工业企业主营业务成本,其他采矿业外商及港澳台商投资工业企业主营业务成本,农副食品加工业外商及港澳台商投资工业企业主营业务成本,食品制造业外商及港澳台商投资工业企业主营业务成本,酒、饮料和精制茶制造业外商及港澳台商投资工业企业主营业务成本,烟草制品业外商及港澳台商投资工业企业主营业务成本,纺织业外商及港澳台商投资工业企业主营业务成本,纺织服装、服饰业外商及港澳台商投资工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务成本,家具制造业外商及港澳台商投资工业企业主营业务成本,造纸和纸制品业外商及港澳台商投资工业企业主营业务成本,印刷和记录媒介复制业外商及港澳台商投资工业企业主营业务成本,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业主营业务成本,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业主营业务成本,化学原料和化学制品制造业外商及港澳台商投资工业企业主营业务成本,医药制造业外商及港澳台商投资工业企业主营业务成本,化学纤维制造业外商及港澳台商投资工业企业主营业务成本,橡胶和塑料制品业外商及港澳台商投资工业企业主营业务成本,非金属矿物制品业外商及港澳台商投资工业企业主营业务成本,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务成本,有色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务成本,金属制品业外商及港澳台商投资工业企业主营业务成本,通用设备制造业外商及港澳台商投资工业企业主营业务成本,专用设备制造业外商及港澳台商投资工业企业主营业务成本,汽车制造业外商及港澳台商投资工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业主营业务成本,电气机械和器材制造业外商及港澳台商投资工业企业主营业务成本,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业主营业务成本,仪器仪表制造业外商及港澳台商投资工业企业主营业务成本,其他制造业外商及港澳台商投资工业企业主营业务成本,废弃资源综合利用业外商及港澳台商投资工业企业主营业务成本,金属制品、机械和设备修理业外商及港澳台商投资工业企业主营业务成本,电力、热力生产和供应业外商及港澳台商投资工业企业主营业务成本,燃气生产和供应业外商及港澳台商投资工业企业主营业务成本,水的生产和供应业外商及港澳台商投资工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,208242.52,409.4,253.67,173.18,71.58,56.87,58.19,,8131.2,3752.27,2725.26,5.01,4210.92,4583.99,3718.62,714.43,1476.97,3190.75,923.07,3935.87,3073.96,14452.69,3144.78,1327.82,5392.13,4035.74,6333.41,5309.64,4925.29,9058.5,5182.05,31509.45,1865.48,13126.76,53256.03,2196.93,463.76,407.35,386.53,2369.65,1792.74,240.55
2016,211127.92,299.61,275.63,234.21,64.87,82.88,88.91,,8890.14,4305.15,2937.57,4.03,4933.93,5311.25,4103.46,876.41,1561.9,3035.37,1048.24,4186.52,2555.99,15037.27,3380.68,1604.04,5458.16,4391.54,5941.45,5357.72,5322.54,8833.49,4994.22,29799.23,2407.22,14573.47,51779.39,2135.67,494.19,345.19,517.74,1957.54,1777.87,223.2
2015,208266.54,986.52,313.94,581.13,75.72,91.24,95.29,0.0,8996.38,4158.57,3010.67,3.68,4903.86,5309.4,4176.01,884.41,1525.13,2974.52,1005.07,4180.27,2826.98,14865.77,3265.88,1733.42,5433.86,4427.05,5380.13,4791.6,5358.74,8900.7,5116.84,26470.83,2777.17,14278.36,52242.43,1967.18,495.45,346.28,313.57,1965.15,1842.74,194.59
2014,215004.2,1573.54,349.46,252.18,108.75,93.05,99.87,0.0,9318.41,4270.64,2985.99,1.13,5333.33,5351.59,4101.97,928.59,1512.26,2970.76,1006.42,4277.75,4201.51,16068.86,3170.84,1895.61,5786.21,4599.84,6703.59,4952.61,5689.99,9389.66,5364.69,25184.63,2827.28,14720.67,52811.06,1967.08,472.31,335.84,242.58,2229.09,1677.13,177.43
2013,207255.74,1499.48,415.03,226.43,111.32,89.96,96.24,0.0,9643.52,4119.99,2856.28,1.12,5205.96,5102.79,3901.44,862.84,1463.71,2842.51,990.18,3826.23,3956.92,14954.52,2875.47,1918.36,5952.97,4456.01,7703.46,4785.03,5443.31,9036.11,5178.47,22539.47,2682.58,14025.99,51450.17,1876.52,441.12,505.81,227.33,2435.37,1393.59,162.16
2012,189558.5,1189.39353,298.4863,206.09799,81.65166,77.62626,86.24972,,9161.15898,3527.66511,2667.37651,0.92343,4845.84399,4802.43606,3670.35756,807.54586,1304.56216,2839.54598,786.1855,3170.25392,4062.64016,13315.67851,2554.23837,1680.6823,5609.76709,4214.80579,7408.21388,4228.04823,5112.46108,8251.73987,4890.53094,18797.2533,2806.21302,12898.43938,47727.46838,1667.74324,416.4464,482.82746,232.29992,2430.43443,1106.84327,140.36579
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
