年份,外商及港澳台商投资工业企业流动资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动资产合计,石油和天然气开采业外商及港澳台商投资工业企业流动资产合计,黑色金属矿采选业外商及港澳台商投资工业企业流动资产合计,有色金属矿采选业外商及港澳台商投资工业企业流动资产合计,非金属矿采选业外商及港澳台商投资工业企业流动资产合计,开采辅助活动外商及港澳台商投资工业企业流动资产合计,其他采矿业外商及港澳台商投资工业企业流动资产合计,农副食品加工业外商及港澳台商投资工业企业流动资产合计,食品制造业外商及港澳台商投资工业企业流动资产合计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业流动资产合计,烟草制品业外商及港澳台商投资工业企业流动资产合计,纺织业外商及港澳台商投资工业企业流动资产合计,纺织服装、服饰业外商及港澳台商投资工业企业流动资产合计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业流动资产合计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动资产合计,家具制造业外商及港澳台商投资工业企业流动资产合计,造纸和纸制品业外商及港澳台商投资工业企业流动资产合计,印刷和记录媒介复制业外商及港澳台商投资工业企业流动资产合计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业流动资产合计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业流动资产合计,化学原料和化学制品制造业外商及港澳台商投资工业企业流动资产合计,医药制造业外商及港澳台商投资工业企业流动资产合计,化学纤维制造业外商及港澳台商投资工业企业流动资产合计,橡胶和塑料制品业外商及港澳台商投资工业企业流动资产合计,非金属矿物制品业外商及港澳台商投资工业企业流动资产合计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业流动资产合计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业流动资产合计,金属制品业外商及港澳台商投资工业企业流动资产合计,通用设备制造业外商及港澳台商投资工业企业流动资产合计,专用设备制造业外商及港澳台商投资工业企业流动资产合计,汽车制造业外商及港澳台商投资工业企业流动资产合计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业流动资产合计,电气机械和器材制造业外商及港澳台商投资工业企业流动资产合计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业流动资产合计,仪器仪表制造业外商及港澳台商投资工业企业流动资产合计,其他制造业外商及港澳台商投资工业企业流动资产合计,废弃资源综合利用业外商及港澳台商投资工业企业流动资产合计,金属制品、机械和设备修理业外商及港澳台商投资工业企业流动资产合计,电力、热力生产和供应业外商及港澳台商投资工业企业流动资产合计,燃气生产和供应业外商及港澳台商投资工业企业流动资产合计,水的生产和供应业外商及港澳台商投资工业企业流动资产合计
2019,135590.51,1093,238.77,86.28,72.11,48.21,48.13,,3600.68,3035.2,1574.77,,2318.32,2231.04,1371.59,279.42,881.2,2789.11,727.63,1631.47,1501.03,7877.82,4384.8,723.6,3633.37,3295.04,2259.9,2703.18,3453.79,8682.33,5335.27,19739.49,2266.58,9593.36,31707.55,1553.62,284.88,117.7,321.25,2302.81,1314.83,506.48
2018,131316.62,560.1,78.9,96.0,71.0,57.3,42.2,,3849.1,2608.8,1754.7,6.6,2479.8,2378.2,1518.7,327.7,913.0,2842.1,758.0,1809.6,1660.3,8251.8,4435.7,766.4,3574.4,3186.4,2882.2,2707.7,3296.2,8450.2,5433.4,18559.5,2175.3,9587.8,32911.7,1699.6,257.0,154.5,275.2,2131.4,1187.3,466.7
2017,128098.37,493.55,68.62,104.42,61.31,66.75,48.94,,3596.8,2469.47,1694.9,6.28,2440.89,2305.05,1517.65,346.41,904.74,2714.01,747.23,1659.84,1330.5,7979.37,3853.08,799.4,3476.63,2967.54,2735.37,2947.98,3027.23,7895.57,5155.48,18323.87,1910.44,9323.29,29298.64,1673.88,266.69,189.85,230.45,1963.56,1064.35,438.32
2016,122079.2,352.43,73.91,94.94,57.98,84.23,42.23,,3257.73,2631.52,1774.47,7.23,2563.89,2380.59,1593.49,359.27,921.55,2450.15,739.63,1631.21,1252.05,7861.98,3563.82,970.22,3405.74,3007.29,2405.98,2812.84,3015.6,7555.44,4683.48,16395.53,1986.16,9301.89,27069.31,1486.59,268.33,127.32,651.16,1812.03,942.6,487.39
2015,114480.95,915.23,69.2,446.25,65.86,64.72,50.64,0.0,3289.78,2572.78,1670.21,6.82,2602.76,2419.55,1764.46,361.56,882.34,2485.66,701.74,1605.94,1023.15,7480.97,3171.6,1083.11,3288.18,3193.99,2271.7,2779.29,2948.97,7242.54,4952.47,14052.38,2022.88,8692.39,23338.84,1407.05,262.02,132.98,193.57,1641.74,887.06,438.55
2014,113723.57,1183.13,67.51,116.46,93.46,55.18,51.08,0.0,3499.32,2396.13,1630.41,0.85,2791.78,2563.2,1830.87,410.42,854.57,2468.11,731.5,1725.69,1187.49,7873.45,3016.2,1022.89,3362.36,3075.99,2722.53,2725.94,3130.28,7143.77,5074.82,12634.49,2187.03,8561.88,22711.2,1395.51,260.53,158.28,154.87,1657.23,844.2,352.94
2013,108770.23,1147.28,84.04,105.79,70.91,46.62,35.48,0.0,3805.33,2359.52,1528.82,0.87,2732.55,2611.46,1748.4,399.94,875.31,2370.29,727.55,1552.64,1287.74,7495.55,2640.2,1006.73,3463.21,3001.27,3159.96,2665.12,2976.88,6761.24,4802.22,11887.16,2267.16,8307.48,20229.68,1297.98,247.07,273.35,144.83,1625.53,746.5,280.54
2012,100289.94,1075.86543,53.64215,126.59443,72.55197,39.93885,26.7377,,3655.0306,2114.01189,1394.13158,0.65633,2597.84154,2492.85358,1716.57456,386.70339,773.97522,2211.72929,644.5341,1358.89405,1321.14047,6800.41711,2403.08367,889.55503,3258.82613,2694.96897,3065.42995,2273.28789,2829.91351,6093.21064,4432.23322,10088.02104,2256.06413,7793.23686,19018.25763,1212.77346,231.24614,317.47284,128.22676,1571.27957,633.78932,235.23788
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
