年份,外商及港澳台商投资工业企业固定资产原价合计,煤炭开采和洗选业外商及港澳台商投资工业企业固定资产原价合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产原价合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,非金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,开采辅助活动外商及港澳台商投资工业企业固定资产原价合计,其他采矿业外商及港澳台商投资工业企业固定资产原价合计,农副食品加工业外商及港澳台商投资工业企业固定资产原价合计,食品制造业外商及港澳台商投资工业企业固定资产原价合计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业固定资产原价合计,烟草制品业外商及港澳台商投资工业企业固定资产原价合计,纺织业外商及港澳台商投资工业企业固定资产原价合计,纺织服装、服饰业外商及港澳台商投资工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产原价合计,家具制造业外商及港澳台商投资工业企业固定资产原价合计,造纸和纸制品业外商及港澳台商投资工业企业固定资产原价合计,印刷和记录媒介复制业外商及港澳台商投资工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业固定资产原价合计,化学原料和化学制品制造业外商及港澳台商投资工业企业固定资产原价合计,医药制造业外商及港澳台商投资工业企业固定资产原价合计,化学纤维制造业外商及港澳台商投资工业企业固定资产原价合计,橡胶和塑料制品业外商及港澳台商投资工业企业固定资产原价合计,非金属矿物制品业外商及港澳台商投资工业企业固定资产原价合计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业固定资产原价合计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业固定资产原价合计,金属制品业外商及港澳台商投资工业企业固定资产原价合计,通用设备制造业外商及港澳台商投资工业企业固定资产原价合计,专用设备制造业外商及港澳台商投资工业企业固定资产原价合计,汽车制造业外商及港澳台商投资工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业固定资产原价合计,电气机械和器材制造业外商及港澳台商投资工业企业固定资产原价合计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业固定资产原价合计,仪器仪表制造业外商及港澳台商投资工业企业固定资产原价合计,其他制造业外商及港澳台商投资工业企业固定资产原价合计,废弃资源综合利用业外商及港澳台商投资工业企业固定资产原价合计,金属制品、机械和设备修理业外商及港澳台商投资工业企业固定资产原价合计,电力、热力生产和供应业外商及港澳台商投资工业企业固定资产原价合计,燃气生产和供应业外商及港澳台商投资工业企业固定资产原价合计,水的生产和供应业外商及港澳台商投资工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,119312.28,466.85,924.24,107.22,170.64,62.62,165.51,,2636.4,2210.75,2503.0,15.63,2557.31,1800.84,1080.15,393.25,549.33,3711.33,702.01,1173.79,2118.42,10621.07,2275.43,1085.65,3945.36,4144.41,3541.22,2640.73,2545.27,4466.98,2662.71,14028.05,1113.72,5199.43,24757.54,891.46,212.54,123.69,274.47,8770.98,1760.72,901.56
2016,121290.53,640.68,956.22,166.37,112.93,84.56,177.72,,3219.55,2481.18,2658.43,13.48,2761.92,2070.3,1217.12,470.71,593.73,3610.61,738.52,1198.97,2192.95,11367.35,2311.93,1311.15,3990.15,4355.61,4272.63,2968.94,3571.81,4436.22,2728.71,12308.71,1609.47,5698.12,22467.0,853.46,224.41,115.85,483.02,8418.02,1552.8,879.22
2015,112222.44,915.46,893.57,324.35,100.92,77.7,170.76,0.0,3037.9,2367.31,2594.41,11.0,2727.05,1961.19,1160.0,458.39,620.45,3395.95,716.29,1142.26,2023.76,11057.18,2203.1,1330.52,4012.73,4190.27,3691.08,2499.44,2697.88,4378.89,2883.22,10933.38,1477.64,5362.08,18729.03,805.49,212.46,106.41,254.68,8463.98,1416.63,817.63
2014,109131.5,1053.81,782.46,109.2,151.14,73.43,167.4,0.0,3193.5,2117.88,2444.41,1.36,2667.54,1886.92,1136.74,519.23,561.87,3364.91,705.95,1067.47,2088.59,10719.02,2189.75,1294.91,3867.81,4142.39,3950.35,2320.55,2691.73,4213.38,3154.87,9299.33,1453.33,5217.36,19038.33,784.29,210.4,99.35,219.56,8075.66,1321.27,774.05
2013,102638.41,968.28,677.19,112.65,96.85,68.83,156.97,0.0,3340.14,1992.8,2287.11,1.28,2638.91,1794.54,1057.27,395.2,544.12,3189.0,665.74,1001.34,1780.29,9628.17,1980.86,1227.5,3568.61,3963.87,4307.04,2313.98,2426.65,3900.65,2688.69,7961.25,1512.26,5147.08,18105.16,746.55,201.59,91.44,226.06,7878.04,1193.75,800.68
2012,91410.29,790.95013,647.7535,101.47531,88.99585,62.20231,135.63622,,2836.67188,1755.28155,2050.30271,1.1241,2651.89751,1595.35092,996.95752,361.11094,477.78262,2967.8926,597.49377,929.09245,1706.62493,8381.72115,1613.74656,1070.71466,3338.58879,3719.22545,3808.35952,1990.0004,2234.45253,3460.84342,2562.26576,6689.27758,1425.00986,4982.04029,15480.33727,653.90562,186.4488,77.07,209.45681,7141.2625,932.12261,698.84823
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
