年份,外商及港澳台商投资工业企业主营业务费用及附加,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务费用及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务费用及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务费用及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务费用及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务费用及附加,开采辅助活动外商及港澳台商投资工业企业主营业务费用及附加,其他采矿业外商及港澳台商投资工业企业主营业务费用及附加,农副食品加工业外商及港澳台商投资工业企业主营业务费用及附加,食品制造业外商及港澳台商投资工业企业主营业务费用及附加,酒、饮料和精制茶制造业外商及港澳台商投资工业企业主营业务费用及附加,烟草制品业外商及港澳台商投资工业企业主营业务费用及附加,纺织业外商及港澳台商投资工业企业主营业务费用及附加,纺织服装、服饰业外商及港澳台商投资工业企业主营业务费用及附加,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业主营业务费用及附加,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务费用及附加,家具制造业外商及港澳台商投资工业企业主营业务费用及附加,造纸和纸制品业外商及港澳台商投资工业企业主营业务费用及附加,印刷和记录媒介复制业外商及港澳台商投资工业企业主营业务费用及附加,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业主营业务费用及附加,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业主营业务费用及附加,化学原料和化学制品制造业外商及港澳台商投资工业企业主营业务费用及附加,医药制造业外商及港澳台商投资工业企业主营业务费用及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务费用及附加,橡胶和塑料制品业外商及港澳台商投资工业企业主营业务费用及附加,非金属矿物制品业外商及港澳台商投资工业企业主营业务费用及附加,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务费用及附加,有色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务费用及附加,金属制品业外商及港澳台商投资工业企业主营业务费用及附加,通用设备制造业外商及港澳台商投资工业企业主营业务费用及附加,专用设备制造业外商及港澳台商投资工业企业主营业务费用及附加,汽车制造业外商及港澳台商投资工业企业主营业务费用及附加,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业主营业务费用及附加,电气机械和器材制造业外商及港澳台商投资工业企业主营业务费用及附加,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业主营业务费用及附加,仪器仪表制造业外商及港澳台商投资工业企业主营业务费用及附加,其他制造业外商及港澳台商投资工业企业主营业务费用及附加,废弃资源综合利用业外商及港澳台商投资工业企业主营业务费用及附加,金属制品、机械和设备修理业外商及港澳台商投资工业企业主营业务费用及附加,电力、热力生产和供应业外商及港澳台商投资工业企业主营业务费用及附加,燃气生产和供应业外商及港澳台商投资工业企业主营业务费用及附加,水的生产和供应业外商及港澳台商投资工业企业主营业务费用及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2213.46,11.99,52.54,3.1,1.74,2.08,1.98,0.0,30.19,32.84,99.08,0.03,24.54,35.59,27.56,6.43,8.9,12.86,7.24,20.07,299.82,77.44,36.97,4.68,31.96,30.76,19.41,13.97,31.05,61.23,32.59,967.1,18.44,63.2,95.64,10.74,2.51,0.95,0.74,21.33,9.91,4.29
2013,2207.91,16.18,51.3,2.41,2.14,1.74,1.89,0.0,30.28,33.82,97.2,0.02,24.24,33.19,24.73,6.09,8.45,12.08,6.61,20.06,354.46,68.8,32.67,4.9,34.47,31.39,18.3,14.48,30.12,54.99,29.49,922.32,20.65,56.34,112.52,10.97,2.37,0.97,0.6,21.28,9.09,4.29
2012,1934.8,31.27379,57.19944,2.5262,1.79095,1.69106,1.81024,,28.68484,27.98255,91.37526,0.01919,22.67696,29.61391,24.76049,5.6158,6.04112,12.19687,5.30656,15.97425,328.15683,67.74153,30.06932,4.02744,30.26586,28.41743,22.61841,12.31046,28.42991,41.07486,26.9983,733.08218,20.53586,52.10894,103.2144,9.42149,2.11363,0.61055,0.99284,15.89473,6.3946,3.7828
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
