年份,外商及港澳台商投资工业企业营业利润,煤炭开采和洗选业外商及港澳台商投资工业企业营业利润,石油和天然气开采业外商及港澳台商投资工业企业营业利润,黑色金属矿采选业外商及港澳台商投资工业企业营业利润,有色金属矿采选业外商及港澳台商投资工业企业营业利润,非金属矿采选业外商及港澳台商投资工业企业营业利润,开采辅助活动外商及港澳台商投资工业企业营业利润,其他采矿业外商及港澳台商投资工业企业营业利润,农副食品加工业外商及港澳台商投资工业企业营业利润,食品制造业外商及港澳台商投资工业企业营业利润,酒、饮料和精制茶制造业外商及港澳台商投资工业企业营业利润,烟草制品业外商及港澳台商投资工业企业营业利润,纺织业外商及港澳台商投资工业企业营业利润,纺织服装、服饰业外商及港澳台商投资工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业营业利润,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业营业利润,家具制造业外商及港澳台商投资工业企业营业利润,造纸和纸制品业外商及港澳台商投资工业企业营业利润,印刷和记录媒介复制业外商及港澳台商投资工业企业营业利润,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业营业利润,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业营业利润,化学原料和化学制品制造业外商及港澳台商投资工业企业营业利润,医药制造业外商及港澳台商投资工业企业营业利润,化学纤维制造业外商及港澳台商投资工业企业营业利润,橡胶和塑料制品业外商及港澳台商投资工业企业营业利润,非金属矿物制品业外商及港澳台商投资工业企业营业利润,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业营业利润,有色金属冶炼和压延加工业外商及港澳台商投资工业企业营业利润,金属制品业外商及港澳台商投资工业企业营业利润,通用设备制造业外商及港澳台商投资工业企业营业利润,专用设备制造业外商及港澳台商投资工业企业营业利润,汽车制造业外商及港澳台商投资工业企业营业利润,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业营业利润,电气机械和器材制造业外商及港澳台商投资工业企业营业利润,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业营业利润,仪器仪表制造业外商及港澳台商投资工业企业营业利润,其他制造业外商及港澳台商投资工业企业营业利润,废弃资源综合利用业外商及港澳台商投资工业企业营业利润,金属制品、机械和设备修理业外商及港澳台商投资工业企业营业利润,电力、热力生产和供应业外商及港澳台商投资工业企业营业利润,燃气生产和供应业外商及港澳台商投资工业企业营业利润,水的生产和供应业外商及港澳台商投资工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,18018.18,176.66,181.9,8.07,19.76,6.46,7.05,,418.43,546.47,296.86,0.9,285.1,286.63,315.81,45.05,115.77,367.2,92.07,227.88,416.76,1550.63,822.67,112.44,357.04,474.18,468.39,317.42,306.96,900.81,565.05,3573.5,195.27,960.42,2569.94,255.6,32.81,40.38,18.19,335.99,262.34,83.31
2016,17021.64,66.18,94.4,21.67,6.86,8.3,7.82,,488.36,558.15,340.57,1.44,343.18,336.62,325.53,53.52,108.04,236.13,109.83,233.2,334.84,1339.85,724.86,117.51,397.93,412.24,272.46,336.63,353.37,884.65,439.36,3355.61,273.35,1134.29,2243.98,216.78,36.32,22.62,-24.51,524.24,230.61,54.88
2015,15414.34,86.76,116.82,42.9,7.1,9.1,13.96,0.0,447.42,502.59,359.93,1.12,321.81,332.74,320.58,50.36,108.93,204.83,116.69,218.05,179.19,1105.55,644.54,101.65,340.27,292.55,138.43,195.39,332.65,864.95,361.8,3040.06,242.51,989.91,2088.22,195.03,34.28,18.99,15.04,688.05,229.33,54.24
2014,16294.65,189.83,238.83,15.01,18.84,8.32,15.15,0.0,444.25,514.47,340.53,0.8,336.6,373.84,307.05,56.08,103.8,185.79,124.11,225.05,39.78,1059.73,575.45,103.94,365.32,425.12,209.62,220.66,351.92,904.71,477.72,3278.99,285.65,1010.55,2350.29,215.79,32.28,5.26,4.82,612.88,215.52,50.32
2013,15732.07,240.43,222.43,31.29,29.95,9.92,15.54,0.0,546.92,540.97,343.72,0.87,357.26,368.04,296.67,57.41,99.21,222.89,112.18,212.67,96.85,1091.02,501.08,106.19,427.68,412.09,219.18,256.01,371.09,793.16,471.48,2841.89,228.05,944.61,2268.71,197.21,28.3,12.96,4.61,518.54,191.47,41.52
2012,13985.94,286.21803,261.27054,42.54693,36.23483,9.76134,13.50687,,596.78311,497.73253,304.56151,0.5094,298.28219,375.57961,303.85077,53.1832,86.76738,207.07296,100.11732,190.81202,20.8447,1009.06421,469.96531,100.60638,332.6216,344.52717,183.87054,257.50964,356.57349,724.78338,429.07977,2266.21869,249.39889,855.85189,2004.7536,179.03427,30.28532,13.51532,2.58433,297.15219,159.61125,33.29728
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
