年份,外商及港澳台商投资工业企业本年应交增值税,煤炭开采和洗选业外商及港澳台商投资工业企业本年应交增值税,石油和天然气开采业外商及港澳台商投资工业企业本年应交增值税,黑色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,有色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,非金属矿采选业外商及港澳台商投资工业企业本年应交增值税,开采辅助活动外商及港澳台商投资工业企业本年应交增值税,其他采矿业外商及港澳台商投资工业企业本年应交增值税,农副食品加工业外商及港澳台商投资工业企业本年应交增值税,食品制造业外商及港澳台商投资工业企业本年应交增值税,酒、饮料和精制茶制造业外商及港澳台商投资工业企业本年应交增值税,烟草制品业外商及港澳台商投资工业企业本年应交增值税,纺织业外商及港澳台商投资工业企业本年应交增值税,纺织服装、服饰业外商及港澳台商投资工业企业本年应交增值税,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业本年应交增值税,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业本年应交增值税,家具制造业外商及港澳台商投资工业企业本年应交增值税,造纸和纸制品业外商及港澳台商投资工业企业本年应交增值税,印刷和记录媒介复制业外商及港澳台商投资工业企业本年应交增值税,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业本年应交增值税,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业本年应交增值税,化学原料和化学制品制造业外商及港澳台商投资工业企业本年应交增值税,医药制造业外商及港澳台商投资工业企业本年应交增值税,化学纤维制造业外商及港澳台商投资工业企业本年应交增值税,橡胶和塑料制品业外商及港澳台商投资工业企业本年应交增值税,非金属矿物制品业外商及港澳台商投资工业企业本年应交增值税,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业本年应交增值税,有色金属冶炼和压延加工业外商及港澳台商投资工业企业本年应交增值税,金属制品业外商及港澳台商投资工业企业本年应交增值税,通用设备制造业外商及港澳台商投资工业企业本年应交增值税,专用设备制造业外商及港澳台商投资工业企业本年应交增值税,汽车制造业外商及港澳台商投资工业企业本年应交增值税,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业本年应交增值税,电气机械和器材制造业外商及港澳台商投资工业企业本年应交增值税,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业本年应交增值税,仪器仪表制造业外商及港澳台商投资工业企业本年应交增值税,其他制造业外商及港澳台商投资工业企业本年应交增值税,废弃资源综合利用业外商及港澳台商投资工业企业本年应交增值税,金属制品、机械和设备修理业外商及港澳台商投资工业企业本年应交增值税,电力、热力生产和供应业外商及港澳台商投资工业企业本年应交增值税,燃气生产和供应业外商及港澳台商投资工业企业本年应交增值税,水的生产和供应业外商及港澳台商投资工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6951.07,156.69,33.2,8.96,7.59,5.85,2.47,0.0,200.84,245.62,167.39,0.21,155.96,193.35,135.96,27.24,47.21,107.52,48.67,102.56,173.11,576.64,309.01,41.62,166.84,210.93,126.9,126.74,168.03,309.83,177.41,1176.67,111.13,432.5,866.49,61.0,16.86,8.56,4.21,182.0,49.09,8.17
2013,7093.3,174.24,36.46,11.4,10.24,6.05,2.52,0.0,247.64,265.01,166.08,0.2,156.39,189.19,138.38,26.75,44.64,103.95,46.08,98.34,207.68,547.21,271.43,40.41,170.48,210.51,148.21,124.85,169.69,301.17,175.7,1098.1,108.44,409.75,1038.3,66.24,15.95,13.79,3.59,192.8,46.01,9.44
2012,6201.34,150.34133,37.98281,12.62514,7.26262,5.2082,2.5936,,219.21721,243.66412,159.62581,0.16022,141.6217,177.44183,123.89247,23.98166,40.46407,107.18119,38.04304,78.41061,194.91627,497.1655,233.9221,28.1105,154.96142,188.5542,162.90567,108.57189,147.86278,274.36312,165.83704,837.39202,101.64675,370.19209,891.24685,58.04246,13.85681,9.17054,4.38249,145.2876,35.14669,8.08358
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
