年份,外商及港澳台商投资工业企业累计折旧,煤炭开采和洗选业外商及港澳台商投资工业企业累计折旧,石油和天然气开采业外商及港澳台商投资工业企业累计折旧,黑色金属矿采选业外商及港澳台商投资工业企业累计折旧,有色金属矿采选业外商及港澳台商投资工业企业累计折旧,非金属矿采选业外商及港澳台商投资工业企业累计折旧,开采辅助活动外商及港澳台商投资工业企业累计折旧,其他采矿业外商及港澳台商投资工业企业累计折旧,农副食品加工业外商及港澳台商投资工业企业累计折旧,食品制造业外商及港澳台商投资工业企业累计折旧,酒、饮料和精制茶制造业外商及港澳台商投资工业企业累计折旧,烟草制品业外商及港澳台商投资工业企业累计折旧,纺织业外商及港澳台商投资工业企业累计折旧,纺织服装、服饰业外商及港澳台商投资工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业累计折旧,家具制造业外商及港澳台商投资工业企业累计折旧,造纸和纸制品业外商及港澳台商投资工业企业累计折旧,印刷和记录媒介复制业外商及港澳台商投资工业企业累计折旧,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业累计折旧,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业累计折旧,化学原料和化学制品制造业外商及港澳台商投资工业企业累计折旧,医药制造业外商及港澳台商投资工业企业累计折旧,化学纤维制造业外商及港澳台商投资工业企业累计折旧,橡胶和塑料制品业外商及港澳台商投资工业企业累计折旧,非金属矿物制品业外商及港澳台商投资工业企业累计折旧,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业累计折旧,有色金属冶炼和压延加工业外商及港澳台商投资工业企业累计折旧,金属制品业外商及港澳台商投资工业企业累计折旧,通用设备制造业外商及港澳台商投资工业企业累计折旧,专用设备制造业外商及港澳台商投资工业企业累计折旧,汽车制造业外商及港澳台商投资工业企业累计折旧,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业累计折旧,电气机械和器材制造业外商及港澳台商投资工业企业累计折旧,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业累计折旧,仪器仪表制造业外商及港澳台商投资工业企业累计折旧,其他制造业外商及港澳台商投资工业企业累计折旧,废弃资源综合利用业外商及港澳台商投资工业企业累计折旧,金属制品、机械和设备修理业外商及港澳台商投资工业企业累计折旧,电力、热力生产和供应业外商及港澳台商投资工业企业累计折旧,燃气生产和供应业外商及港澳台商投资工业企业累计折旧,水的生产和供应业外商及港澳台商投资工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,61795.44,203.29,637.04,42.7,41.08,33.23,121.14,,1229.92,1010.34,1169.93,4.94,1340.83,962.84,523.1,226.49,267.1,1537.49,380.71,579.21,1071.2,5218.51,1001.54,553.79,2006.72,1924.18,1717.13,1034.39,1292.54,2282.75,1368.94,6708.08,541.69,2636.98,16238.23,484.05,111.51,40.37,109.63,4249.48,503.7,388.67
2016,61497.18,224.58,690.35,62.21,33.71,46.93,122.41,,1619.5,1177.57,1179.46,2.83,1447.21,1092.14,596.75,283.72,301.11,1555.32,388.09,585.07,1044.05,5463.57,1012.66,663.81,2036.63,1960.36,2150.49,1210.71,2175.19,2198.81,1343.81,5536.91,918.55,3041.16,13666.07,469.61,111.28,45.59,180.01,4060.57,434.44,363.94
2015,54281.71,422.76,601.9,185.14,28.49,33.84,105.2,0.0,1520.07,1084.03,1154.62,1.38,1407.14,985.76,559.6,264.4,291.91,1429.42,381.73,570.74,940.82,5014.05,920.36,646.78,2061.82,1796.92,1713.41,996.89,1310.03,2083.54,1333.5,4727.62,674.51,2757.6,10812.55,408.72,98.87,43.87,89.56,4118.82,376.1,327.22
2014,51266.34,569.33,489.68,26.14,27.61,29.63,88.05,0.0,1619.01,906.66,1069.14,0.51,1315.36,915.06,542.61,322.02,256.91,1363.72,361.19,536.3,990.35,4688.78,923.5,575.6,1894.5,1673.59,1712.97,938.17,1279.16,1887.36,1328.62,3966.04,580.41,2522.63,10847.31,391.93,92.68,42.43,69.97,3799.98,319.29,302.14
2013,47021.73,437.98,382.99,27.11,26.83,27.34,70.81,0.0,1934.45,847.74,977.11,0.45,1246.28,848.53,489.77,215.49,261.17,1206.14,338.64,485.79,837.42,4151.74,834.02,528.91,1644.87,1530.82,1778.09,866.94,1127.75,1701.62,1202.97,3479.72,585.55,2440.26,9761.25,362.9,88.95,37.75,69.31,3593.78,274.0,298.48
2012,40482.25,303.3398,361.44563,40.03456,22.31523,26.38628,52.41062,,1389.38698,713.80666,881.26377,0.40598,1118.10816,693.30383,430.73018,185.9502,196.56111,1107.2999,295.88581,486.98975,789.50502,3416.44326,653.14507,421.61576,1525.91082,1388.1242,1492.43455,725.6777,976.08109,1444.36465,1170.44403,2881.4017,497.37334,2253.53524,8414.86238,304.69439,79.54263,26.85869,66.49693,3176.50263,218.84417,252.76578
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
