年份,外商及港澳台商投资工业企业实收资本,煤炭开采和洗选业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,开采辅助活动外商及港澳台商投资工业企业实收资本,其他采矿业外商及港澳台商投资工业企业实收资本,农副食品加工业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,酒、饮料和精制茶制造业外商及港澳台商投资工业企业实收资本,烟草制品业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,纺织服装、服饰业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业实收资本,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,造纸和纸制品业外商及港澳台商投资工业企业实收资本,印刷和记录媒介复制业外商及港澳台商投资工业企业实收资本,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业实收资本,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业实收资本,化学原料和化学制品制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,橡胶和塑料制品业外商及港澳台商投资工业企业实收资本,非金属矿物制品业外商及港澳台商投资工业企业实收资本,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业实收资本,有色金属冶炼和压延加工业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,通用设备制造业外商及港澳台商投资工业企业实收资本,专用设备制造业外商及港澳台商投资工业企业实收资本,汽车制造业外商及港澳台商投资工业企业实收资本,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业实收资本,电气机械和器材制造业外商及港澳台商投资工业企业实收资本,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业实收资本,仪器仪表制造业外商及港澳台商投资工业企业实收资本,其他制造业外商及港澳台商投资工业企业实收资本,废弃资源综合利用业外商及港澳台商投资工业企业实收资本,金属制品、机械和设备修理业外商及港澳台商投资工业企业实收资本,电力、热力生产和供应业外商及港澳台商投资工业企业实收资本,燃气生产和供应业外商及港澳台商投资工业企业实收资本,水的生产和供应业外商及港澳台商投资工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,51954.21,146.75,14.36,26.25,51.81,44.09,11.8,,1283.33,1163.43,1158.68,7.39,1283.48,864.24,562.26,165.44,318.85,1879.91,411.3,669.26,719.68,5044.31,1249.5,490.64,1893.96,1910.29,1241.46,1025.26,1510.79,2999.18,1724.12,5126.33,567.96,3065.91,8856.73,511.57,127.58,69.35,144.45,2529.32,651.25,431.91
2016,52310.55,142.52,77.74,28.44,35.04,44.27,17.26,,1267.81,1156.5,1189.03,6.76,1371.86,917.8,594.61,186.29,350.09,1896.09,419.65,665.56,700.48,5213.28,1294.34,558.6,1900.67,1936.27,1209.48,1049.59,1571.51,2507.68,1713.04,5879.97,588.22,3148.28,8473.18,467.15,127.2,69.71,156.56,2327.39,632.68,417.97
2015,50890.78,146.33,44.65,38.61,34.32,49.15,17.91,0.0,1209.28,1065.37,1134.84,5.52,1457.23,1012.43,643.31,193.72,371.33,1812.76,373.48,637.51,691.6,4978.13,2380.52,550.56,1890.78,1953.13,1233.41,1004.07,1542.4,2538.81,1759.29,4307.67,621.68,3124.13,7826.09,476.58,130.03,74.82,126.58,2432.65,599.26,400.85
2014,49428.11,167.13,10.49,28.29,49.51,31.04,18.15,0.0,1166.53,1014.5,1098.9,0.56,1482.29,1092.45,671.56,203.59,359.2,1778.63,383.05,630.2,699.27,4868.27,1068.79,601.01,1943.56,1891.67,1240.89,970.27,1533.77,2680.86,2136.39,4116.32,666.33,3160.2,7666.84,464.03,150.59,77.35,112.94,2240.96,578.77,372.96
2013,48563.06,177.88,23.3,54.32,43.57,32.43,13.75,0.0,2583.59,977.1,1118.13,0.56,1504.06,1035.7,686.88,197.11,396.32,1731.52,385.43,630.51,558.6,4553.9,990.14,585.75,1902.92,1840.36,1305.05,875.87,1468.21,2385.32,1673.16,3754.11,703.9,3045.58,7357.97,460.26,146.15,81.3,107.86,2288.34,534.43,351.69
2012,44146.45,130.76122,10.82084,26.58106,49.45843,26.08571,13.45461,,1103.745,922.3836,980.80464,0.56,1495.50045,998.40555,694.19644,198.37242,350.01224,1658.97292,351.09097,562.04345,510.01297,4038.75188,912.98986,497.17359,1850.49472,1893.7847,1191.41549,808.92565,1368.74403,2130.11257,1563.2043,3448.70859,690.81245,2935.02791,7121.33192,455.13942,126.20857,73.31878,116.44635,2125.58883,386.70902,328.30348
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
