年份,外商及港澳台商投资工业企业财务费用,煤炭开采和洗选业外商及港澳台商投资工业企业财务费用,石油和天然气开采业外商及港澳台商投资工业企业财务费用,黑色金属矿采选业外商及港澳台商投资工业企业财务费用,有色金属矿采选业外商及港澳台商投资工业企业财务费用,非金属矿采选业外商及港澳台商投资工业企业财务费用,开采辅助活动外商及港澳台商投资工业企业财务费用,其他采矿业外商及港澳台商投资工业企业财务费用,农副食品加工业外商及港澳台商投资工业企业财务费用,食品制造业外商及港澳台商投资工业企业财务费用,酒、饮料和精制茶制造业外商及港澳台商投资工业企业财务费用,烟草制品业外商及港澳台商投资工业企业财务费用,纺织业外商及港澳台商投资工业企业财务费用,纺织服装、服饰业外商及港澳台商投资工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业财务费用,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业财务费用,家具制造业外商及港澳台商投资工业企业财务费用,造纸和纸制品业外商及港澳台商投资工业企业财务费用,印刷和记录媒介复制业外商及港澳台商投资工业企业财务费用,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业财务费用,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业财务费用,化学原料和化学制品制造业外商及港澳台商投资工业企业财务费用,医药制造业外商及港澳台商投资工业企业财务费用,化学纤维制造业外商及港澳台商投资工业企业财务费用,橡胶和塑料制品业外商及港澳台商投资工业企业财务费用,非金属矿物制品业外商及港澳台商投资工业企业财务费用,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业财务费用,有色金属冶炼和压延加工业外商及港澳台商投资工业企业财务费用,金属制品业外商及港澳台商投资工业企业财务费用,通用设备制造业外商及港澳台商投资工业企业财务费用,专用设备制造业外商及港澳台商投资工业企业财务费用,汽车制造业外商及港澳台商投资工业企业财务费用,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业财务费用,电气机械和器材制造业外商及港澳台商投资工业企业财务费用,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业财务费用,仪器仪表制造业外商及港澳台商投资工业企业财务费用,其他制造业外商及港澳台商投资工业企业财务费用,废弃资源综合利用业外商及港澳台商投资工业企业财务费用,金属制品、机械和设备修理业外商及港澳台商投资工业企业财务费用,电力、热力生产和供应业外商及港澳台商投资工业企业财务费用,燃气生产和供应业外商及港澳台商投资工业企业财务费用,水的生产和供应业外商及港澳台商投资工业企业财务费用
2019,1149.09,31.29,18.56,2.21,5.74,0.95,0.81,,47.96,4.07,4.28,,32.45,21.63,15.52,5.25,5.46,53.56,5.9,12.88,24.23,120.54,29.72,20.98,33.35,32.72,40.1,64.58,26.14,31.68,20.06,69.47,10.34,63.06,50.22,4.07,2.2,1.94,6.9,188.81,16.57,22.6
2018,1289.3,23.3,8.8,2.1,4.9,1.2,0.9,,55.3,6.1,10.5,0.3,34.1,17.2,24.1,7.0,4.7,74.6,3.8,18.6,34.8,159.9,25.8,25.1,41.8,39.8,59.1,95.1,23.8,40.9,16.0,73.9,18.8,64.7,110.8,3.5,2.7,3.8,7.2,131.2,14.4,23.4
2017,1417.06,20.9,5.15,2.0,4.4,1.92,0.31,,33.45,11.24,12.12,0.39,48.92,38.9,26.05,7.61,10.67,67.39,8.59,27.1,37.74,131.2,36.74,23.46,44.03,54.63,64.31,118.78,45.58,59.66,40.5,55.17,17.17,111.36,62.06,12.0,4.72,4.07,5.88,131.45,13.74,15.68
2016,1536.32,18.86,7.99,2.16,2.36,2.34,0.72,,83.37,17.59,19.49,0.44,43.95,28.2,26.38,8.71,6.49,78.16,3.44,17.76,46.1,202.85,40.81,31.18,47.1,56.59,78.0,118.47,28.33,41.8,29.63,112.12,15.01,64.0,59.12,2.82,3.08,3.9,22.18,122.14,19.21,23.46
2015,1703.94,27.14,9.33,5.65,2.74,2.93,0.85,0.0,80.25,18.77,20.08,0.53,52.18,26.68,24.38,9.34,8.23,87.08,4.53,16.53,57.45,238.38,45.36,43.63,51.38,75.51,94.15,112.96,34.99,39.92,37.97,126.53,18.75,66.47,68.75,3.22,2.85,4.5,7.39,136.99,18.3,21.26
2014,1562.75,31.45,8.37,0.82,4.58,2.5,0.71,0.0,65.26,12.66,15.4,0.01,66.34,39.0,30.16,12.05,12.83,75.73,7.36,27.6,53.67,194.68,42.04,38.15,56.24,74.67,105.44,104.74,42.98,45.87,49.41,13.38,18.5,111.17,3.03,5.97,4.73,3.63,6.07,143.04,14.67,17.86
2013,1443.03,36.41,6.83,0.88,1.6,2.08,0.68,0.0,47.84,7.33,11.18,0.01,70.75,48.23,32.32,10.71,16.34,61.14,8.96,30.77,32.91,127.88,36.94,30.17,57.33,65.79,104.53,83.17,49.08,41.02,53.67,12.01,12.43,131.39,14.6,10.3,5.77,2.54,4.52,144.78,12.28,15.84
2012,1709.74321,26.42243,7.62566,1.64397,1.93903,1.89323,0.59555,,69.95906,11.71437,17.00264,0.01012,70.25746,44.52645,32.928,9.9953,12.06615,81.14636,6.50689,25.36751,51.7513,175.7381,37.117,37.39823,69.48985,78.61776,123.37735,82.40755,48.27093,52.72161,58.28589,52.00144,15.55601,129.61655,66.69483,9.32065,4.30981,7.24219,5.45066,153.04035,11.31499,18.41998
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
