年份,外商及港澳台商投资工业企业应收账款净额,煤炭开采和洗选业外商及港澳台商投资工业企业应收账款净额,石油和天然气开采业外商及港澳台商投资工业企业应收账款净额,黑色金属矿采选业外商及港澳台商投资工业企业应收账款净额,有色金属矿采选业外商及港澳台商投资工业企业应收账款净额,非金属矿采选业外商及港澳台商投资工业企业应收账款净额,开采辅助活动外商及港澳台商投资工业企业应收账款净额,其他采矿业外商及港澳台商投资工业企业应收账款净额,农副食品加工业外商及港澳台商投资工业企业应收账款净额,食品制造业外商及港澳台商投资工业企业应收账款净额,酒、饮料和精制茶制造业外商及港澳台商投资工业企业应收账款净额,烟草制品业外商及港澳台商投资工业企业应收账款净额,纺织业外商及港澳台商投资工业企业应收账款净额,纺织服装、服饰业外商及港澳台商投资工业企业应收账款净额,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业应收账款净额,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应收账款净额,家具制造业外商及港澳台商投资工业企业应收账款净额,造纸和纸制品业外商及港澳台商投资工业企业应收账款净额,印刷和记录媒介复制业外商及港澳台商投资工业企业应收账款净额,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业应收账款净额,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业应收账款净额,化学原料和化学制品制造业外商及港澳台商投资工业企业应收账款净额,医药制造业外商及港澳台商投资工业企业应收账款净额,化学纤维制造业外商及港澳台商投资工业企业应收账款净额,橡胶和塑料制品业外商及港澳台商投资工业企业应收账款净额,非金属矿物制品业外商及港澳台商投资工业企业应收账款净额,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业应收账款净额,有色金属冶炼和压延加工业外商及港澳台商投资工业企业应收账款净额,金属制品业外商及港澳台商投资工业企业应收账款净额,通用设备制造业外商及港澳台商投资工业企业应收账款净额,专用设备制造业外商及港澳台商投资工业企业应收账款净额,汽车制造业外商及港澳台商投资工业企业应收账款净额,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业应收账款净额,电气机械和器材制造业外商及港澳台商投资工业企业应收账款净额,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业应收账款净额,仪器仪表制造业外商及港澳台商投资工业企业应收账款净额,其他制造业外商及港澳台商投资工业企业应收账款净额,废弃资源综合利用业外商及港澳台商投资工业企业应收账款净额,金属制品、机械和设备修理业外商及港澳台商投资工业企业应收账款净额,电力、热力生产和供应业外商及港澳台商投资工业企业应收账款净额,燃气生产和供应业外商及港澳台商投资工业企业应收账款净额,水的生产和供应业外商及港澳台商投资工业企业应收账款净额
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
