年份,外商及港澳台商投资工业企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业单位数,石油和天然气开采业外商及港澳台商投资工业企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业单位数,有色金属矿采选业外商及港澳台商投资工业企业单位数,非金属矿采选业外商及港澳台商投资工业企业单位数,开采辅助活动外商及港澳台商投资工业企业单位数,其他采矿业外商及港澳台商投资工业企业单位数,农副食品加工业外商及港澳台商投资工业企业单位数,食品制造业外商及港澳台商投资工业企业单位数,酒、饮料和精制茶制造业外商及港澳台商投资工业企业单位数,烟草制品业外商及港澳台商投资工业企业单位数,纺织业外商及港澳台商投资工业企业单位数,纺织服装、服饰业外商及港澳台商投资工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业单位数,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业单位数,家具制造业外商及港澳台商投资工业企业单位数,造纸和纸制品业外商及港澳台商投资工业企业单位数,印刷和记录媒介复制业外商及港澳台商投资工业企业单位数,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业单位数,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业单位数,化学原料和化学制品制造业外商及港澳台商投资工业企业单位数,医药制造业外商及港澳台商投资工业企业单位数,化学纤维制造业外商及港澳台商投资工业企业单位数,橡胶和塑料制品业外商及港澳台商投资工业企业单位数,非金属矿物制品业外商及港澳台商投资工业企业单位数,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业单位数,有色金属冶炼和压延加工业外商及港澳台商投资工业企业单位数,金属制品业外商及港澳台商投资工业企业单位数,通用设备制造业外商及港澳台商投资工业企业单位数,专用设备制造业外商及港澳台商投资工业企业单位数,汽车制造业外商及港澳台商投资工业企业单位数,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业单位数,电气机械和器材制造业外商及港澳台商投资工业企业单位数,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业单位数,仪器仪表制造业外商及港澳台商投资工业企业单位数,其他制造业外商及港澳台商投资工业企业单位数,废弃资源综合利用业外商及港澳台商投资工业企业单位数,金属制品、机械和设备修理业外商及港澳台商投资工业企业单位数,电力、热力生产和供应业外商及港澳台商投资工业企业单位数,燃气生产和供应业外商及港澳台商投资工业企业单位数,水的生产和供应业外商及港澳台商投资工业企业单位数
2019,43588,31,14,12,41,45,7,,1319,1069,609,,1778,2256,1208,263,646,765,531,1582,136,2758,727,195,2851,1558,342,503,2500,3364,2480,3112,537,3241,4397,805,307,99,74,702,487,235
2018,44624,41,9,25,43,55,5,,1615,1111,722,4.0,2154,2907,1533,346,760,861,588,1914,162,3082,789,231,2944,1832,406,550,2687,3315,2489,3072,596,3565,4738,821,346,121,61,632,403,201
2017,47458,39,10,26,42,56,5,,1601,1111,718,4.0,2132,2910,1522,347,752,845,589,1900,148,3069,797,233,2938,1828,549,576,2508,3291,2398,3034,574,3560,4680,909,352,119,62,611,413,200
2016,49554,40,12,27,39,60,9,,1707,1152,763,3.0,2361,3243,1720,395,792,858,613,2067,160,3225,829,255,2974,1990,580,613,2624,3385,2405,2978,610,3676,4806,910,368,118,66,566,367,188
2015,52758,37,10,33,46,69,9,0.0,1799,1195,806,3.0,2611,3660,1957,439,876,913,625,2153,166,3377,875,271,3177,2121,656,668,2793,3624,2588,2953,679,3905,5099,929,371,141,65,526,357,176
2014,55172,41,10,38,52,70,10,0.0,1871,1201,801,1.0,2841,4023,2108,487,927,960,665,2230,176,3514,915,289,3315,2232,716,716,2951,3722,2667,2864,697,4109,5358,956,388,166,64,521,337,163
2013,57368,43,12,38,58,79,9,0.0,1953,1220,790,1.0,3064,4439,2258,533,998,1023,690,2345,176,3589,953,300,3472,2328,792,741,3054,3779,2724,2721,730,4270,5603,967,409,169,71,506,312,149
2012,56908,41,11,39,61,71,11,,1982,1218,756,1.0,3152,4588,2319,591,1000,1115,618,2168,179,3559,946,289,3437,2359,789,725,3007,3623,2653,2586,738,4233,5577,950,413,165,72,462,270,134
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
