年份,白内障复明手术数,贫困白内障患者免费手术数,低视力者配用助视器人数,盲人定向行走训练人数,新收训聋儿人数,培训家长人数,肢体残疾儿童康复训练人数,成人肢体残疾人社区、家庭康复训练人数,麻风畸残康复矫治手术数,智残儿童康复训练人数,开展精神病防治康复工作县(市、区)个数,监护精神病人人数,精神病人监护率,精神病人显好率,精神病人社会参与率,精神病人肇事率,孤独症儿童机构训练人数,残疾人辅助器具供应数,残疾人普及型假肢装配数,残疾人矫形器装配数,未入学学龄残疾儿童少年数,特殊教育普通高中在校生数,残疾人中等职业教育在校生数,高等院校录取残疾考生数,城镇残疾人当年安排就业人数,城镇残疾人按比例就业人数,城镇残疾人集中就业人数,城镇残疾人公益性岗位就业人数,城镇残疾人个体及其他形式就业人数,残疾人就业服务机构数,城镇残疾职工参加社会保险人数,城乡残疾人纳入最低生活保障人数,扶持贫困残疾人人数,残疾人实用技术培训,农村贫困残疾人危房改造户数,农村贫困残疾人危房改造受益残疾人数,残疾人工作者数
2019,,,,,,,,,,,,,,,,,,,,,,10505,,11154,948.4,,,,,,2561.2,,0.672,59,,,
2018,,,,,,,,,,,,,,,,,,,,,,10505,,11154,948.4,,,,,,2561.2,,0.672,59,,,
2017,,,,,,,,,,,,,,,,,,,,,,10059,,10818,942.1,,,,,,2614.7,,0.9041,70.63,,,
2016,,,,,,,,,,,,,,,,,,,,,,7686,,9592,896.1144,,,,,,2370.5674,,1.3866,75.6378,,,
2015,73.8594,29.9266,152774.0,120115.0,19227.0,41783.0,33095.0,319676.0,,145937.0,,459.952,,,,,22533.0,195.9248,31588.0,50537.0,,7488,,10186,26.3,,,,,,,1088.5,226.7548,72.6626,6.9,9.1,
2014,74.8089,30.0117,141625.0,122724.0,19401.0,38970.0,32000.0,294275.0,,104275.0,,463.5259,,66.2,51.7,,19727.0,152.4223,28644.0,64226.0,8.5107,7227,11671.0,9542,27.8,6.9619,7.6053,,10.7221,,282.8,1105.6,233.2309,72.6198,8.9566,10.3272,
2013,74.6,29.1,129000.0,120000.0,20000.0,39376.0,30000.0,288000.0,,100663.0,,461.9,,66.2,51.4,,16656.0,128.3,29000.0,47000.0,8.3532,7313,11350.0,8926,36.9,8.7,10.7,,17.5,,296.7,1093.0,238.7,85.6,12.2,14.4,
2012,79.6,33.4,117200.0,119800.0,19700.0,38646.0,24000.0,304000.0,,115218.0,,449.0,,67.2,52.6,,11119.0,114.48,39000.0,40100.0,9.096,7043,10442.0,8363,32.9319,8.0098,10.1838,,14.7,,280.9,1070.5,229.9,86.1,13.2,15.7,
2011,75.8,31.0,35737.0,24871.0,17730.0,29497.0,17558.0,149000.0,159.0,28037.0,2423.0,421.2,80.5,68.4,53.8,0.2,6910.0,74.3,30539.0,15169.0,12.6,7207,11572.0,8027,31.784,7.5242,9.6943,2.1,14.6,2678.0,299.3,1031.4,211.8,92.3,9.4,11.5,10.9
2010,79.9,27.3,33467.0,16157.0,18809.0,22924.0,21375.0,114939.0,668.0,26731.0,1818.0,416.2,84.0,68.4,54.5,0.3,5620.0,113.9,30283.0,26189.0,14.6,6067,11506.0,8731,32.4,8.6,10.2,,13.7,3019.0,283.2,927.1012,204.0,85.5,11.8,14.5,9.9
2009,104.3,37.3,40501.0,15034.0,19830.0,25654.0,15058.0,90588.0,1166.0,26748.0,1727.0,412.8,84.19,69.54,55.36,0.35,5290.0,112.1799,25029.0,11425.0,21.1,6339,11448.0,7782,35.023,8.9019,10.4807,,15.6404,3043.0,287.639,853.6256,192.3,84,10.2,14.0,9.5
2008,88.8,25.1,34803.0,12936.0,20122.0,24314.0,15690.0,80468.0,1034.0,26887.0,1644.0,383.8,86.4,70.0,56.9,0.2,1027.0,109.5,26438.0,11950.0,22.0,5464,9932.0,7305,36.8,9.9,11.3,,15.6,3127.0,297.5762,738.6156,179.8,87,9.8432,13.977,9.4
2007,80.0,23.0,31607.0,12224.0,19869.0,26737.0,12239.0,75947.0,3964.0,26084.0,1555.0,363.4,83.76,69.26,56.07,0.38,1056.0,95.0,23339.0,12689.0,22.7,4978,9028.0,6320,39.2,11.5,11.9,,15.8,3127.0,260.7726,635.886,179.4,77,12.1766,16.7404,9.4
2006,70.6,14.9,32298.0,6815.0,19444.0,22322.0,13674.0,53903.0,1692.0,25657.0,1294.0,348.8,88.1,71.1,59.5,0.3,750.0,,,,22.3,,,,36.2,9.9,10.3,,16.0,3076.0,,,176.7,80.8,5.3221,8.8544,9.1
2005,57.2,10.8,35575.0,,19765.0,23374.0,,53808.0,3903.0,24141.0,739.0,274.3,92.4,73.5,62.3,0.2,,,,,24.3,,,,39.1,11.0,11.4,,16.7,3048.0,,,194.2,71.6,2.1,2.7,8.1
2004,56.9,,32791.0,,19620.0,22276.0,,49332.0,3714.0,22982.0,701.0,256.8,92.3,72.8,62.0,0.2,,,,,27.5,,,,37.8,8.8,10.9,,18.1,3022.0,,,,,,,8.0
2003,57.4,,30932.0,,18465.0,20716.0,,44221.0,3852.0,22295.0,582.0,242.6,90.2,71.1,60.6,0.3,,,,,30.6,,,,32.7,8.4,9.8,,14.5,3005.0,,,,,,,7.8
2002,51.3,,28231.0,,18771.0,21155.0,,47848.0,5814.0,22642.0,549.0,207.33,86.72,69.45,58.74,0.32,,,,,32.29,,,,30.2,7.1,8.53,,14.58,2998.0,,,,,,,7.53
2001,49.1,,26476.0,,17934.0,18550.0,,50577.0,1730.0,26093.0,551.0,133.19,91.3,73.6,62.6,0.19,,,,,35.64,,,,27.5,7.53,6.64,,13.43,2991.0,,,,,,,7.29
2000,48.1226,,21700.0,,16904.0,13568.0,,52538.0,,24009.0,243.0,122.5506,93.0,71.6,62.7,0.21,,,,,39.0611,,,,26.5756,7.1548,7.1091,,12.3117,3012.0,,,,,,,8.0369
