年份,提供住宿的民政机构床位数,养老床位数,精神疾病床位数,儿童福利和救助床位数,其他床位数,每千人口社会服务床位数
2019,467.3659,438.7879,6.5026,9.8662,12.2092,
2018,408.143,379.3724,6.308,9.7175,12.7451,
2017,419.6,383.5,,10.3,17.1,
2016,414.0062,378.7751,,10.0097,16.747,
2015,393.0013,358.1382,,10.0112,17.0958,
2014,613.5358,390.3,8.0,10.8,17.0,4.4855010162
2013,526.67,493.67,7.4,9.84,15.7,3.87
2012,449.3,416.5,6.7,8.7,17.4,3.32
2011,396.4,369.2,6.5,6.8,13.9,2.94
2010,349.6,316.1,6.1,5.5,21.9,2.61
2009,326.5,293.5,5.9,4.8,22.3,2.45
2008,300.3,267.4,5.4,4.3,23.2,2.26
2007,269.6,242.9,4.7,3.4,18.6,2.04
2006,204.5,179.6,4.4,3.2,17.3,1.56
2005,180.7,158.1,4.4,3.2,15.0,1.38
2004,157.2,139.5,4.5,3.0,10.2,1.21
2003,142.9,120.6,4.5,2.7,15.1,1.11
2002,141.5,114.9,4.3,2.5,19.8,1.1
2001,140.7,114.6,4.2,2.3,19.6,1.1
2000,113.04,104.54,4.1,1.8,2.6,0.89
