年份,社会捐赠款物合计,社会捐赠款,民政部门社会捐赠款,各类社会组织社会捐赠款,社会捐赠其他物资折款,接收社会捐赠衣被数量
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,659.70614,654.46532,44.20295,610.26237,5.24082,
2014,380.69027,368.78379,81.7062,287.07759,11.90648,
2013,575.07755,566.36857,107.61792,458.75065,8.70898,
2012,578.8,572.5,101.7,470.8,6.3,
2011,494.9,490.1,96.6,393.5,4.8,0.3
2010,601.7,596.8,179.8,417.0,4.9,0.3
2009,485.9,483.7,66.5,417.2,2.2,1.2
2008,764.0,744.5,479.3,265.2,19.6,11.6
2007,148.4,132.77592,50.87592,81.9,15.56486,0.87568
2006,89.48113,83.07594,42.99447,40.08147,6.40519,0.71236
2005,61.89352,60.33549,31.33929,28.9962,1.55803,1.0356
2004,35.12057,33.96413,17.06713,16.897,1.15644,0.89572
2003,43.40549,41.02347,29.16904,11.85443,2.38202,1.96488
2002,20.79797,18.96758,11.09058,7.877,1.83039,2.29611
2001,19.98856,11.72418,7.57696,4.14722,8.26438,1.26354
2000,16.30536,9.3464,5.42117,3.92523,6.95896,0.77085
