年份,结婚登记,内地居民登记结婚,内地居民初婚登记,内地居民再婚登记,涉外及港澳台居民登记结婚,离婚登记,粗离婚率
2019,927.3269,922.391,1398.7101,455.9437,4.9359,470.0635,3.35747651869576
2018,1013.9439,1009.1077,1598.6682,429.2196,4.8362,446.0849,3.20295319265041
2017,1063.1,1059.04,1746.33,379.86,4.05,437.4,3.15478393837321
2016,1142.82,1138.61,1913.26,372.39,4.22,415.82,3.02
2015,1224.71,1220.59,2108.97,340.44,4.12,384.14,2.79
2014,1306.74,1302.04,2286.81,326.68,4.7,363.6754,2.67
2013,1346.93,1341.43,2385.96,307.89,5.5,350.01,2.57
2012,1323.59,1318.27,2361.17,286.02,5.33,310.38,2.29
2011,1302.36,1297.48,2309.88,294.85,4.88,287.4,2.13
2010,1241.0,1236.1,2200.9,281.1,4.9,267.8,2.0
2009,1212.4,1207.5,2168.8,256.0,4.92,246.8,1.85
2008,1098.3,1093.2,1972.5,224.1,5.1,226.9,1.71
2007,991.4,986.3,1779.7,203.1,5.11,209.8,1.59
2006,945.0,938.2,1705.6,184.4,6.82,191.3,1.46
2005,823.1,816.6,1483.0,163.1,6.43,178.5,1.37
2004,867.2,860.8,1569.6,152.0,6.3544,166.5,1.28
2003,811.4,803.5,1483.9,123.3,7.8285,133.0,1.05
2002,786.0,778.8,1440.3,117.1,7.2778,117.7,0.9
2001,805.0,797.1144,1481.7419,112.4869,7.8672,125.0457,0.98
2000,848.5,842.0,1581.39,102.62,6.49,121.29,0.96
