年份,社会组织单位数,社会团体单位数,基金会单位数,民办非企业单位单位数,社会组织职工人数,社会组织女性职工人数,社会团体职工人数,基金会职工人数,民办非企业单位职工人数,社会组织增加值
2019,866335,371638,7585,487112,,,,,,
2018,817360,366234,7034,444092,,,,,,
2017,761539,354794,6307,400438,,,,,,
2016,702405,335932,5559,360914,,,,,,
2015,662425,328500,4784,329141,7347892.0,2241648.0,3901849.0,25028.0,3421015.0,
2014,606048,309736,4117,292195,6822623.0,2003785.0,3736265.0,20394.0,3065964.0,
2013,547245,289026,3549,254670,6365813.0,1880817.0,3531635.0,18646.0,2815532.0,
2012,499268,271131,3029,225108,6132774.0,1777824.0,3469467.0,18686.0,2644621.0,525.56
2011,461971,254969,2614,204388,5992765.0,1495862.0,3630298.0,14141.0,2348326.0,660.0
2010,445631,245256,2200,198175,6181918.0,1628947.0,3960704.0,13164.0,2208050.0,518.33429
2009,431069,238747,1843,190479,5446666.0,1581352.0,3356506.0,12000.0,2078160.0,493.0895
2008,413660,229681,1597,182382,4758332.0,1406787.0,2855858.0,10414.0,1892060.0,372.40181
2007,386916,211661,1340,173915,4568515.0,1166211.0,2885287.0,18269.0,1664959.0,307.57906
2006,354393,191946,1144,161303,4251850.0,1062770.0,2695983.0,15391.0,1540476.0,112.16681
2005,319762,171150,975,147637,,,,,,
2004,289432,153359,892,135181,,,,,,
2003,266612,141167,954,124491,,,,,,
2002,244509,133297,,111212,,,,,,
2001,210939,128805,,82134,,,,,,
2000,153322,130668,,22654,,,,,,
