年份,城市居民最低生活保障人数,农村居民最低生活保障人数,农村集中供养五保人数,农村分散供养五保人数,农村传统救济人数
2019,860.8708,3455.3896,75.0184,364.111,
2018,1007.0,3519.1,86.2182,368.7504,
2017,1261.0,4045.2,99.6,367.2,
2016,1480.2,4586.5,139.7,357.2,
2015,1701.1,4903.6,162.3,354.4,
2014,1877.0,5207.0,174.3,354.8,
2013,2064.0,5388.0,183.5,353.8,72.9532
2012,2143.5,5344.5,185.3,360.3,79.6
2011,2276.8,5305.7,184.5,366.5,68.7
2010,2310.5,5214.0,177.4,378.9,59.5
2009,2345.6,4760.0,171.8,381.6,62.2
2008,2334.8,4305.5,155.6,393.0,72.2
2007,2272.1,3566.3,138.0,393.3,75.0
2006,2240.1,1593.1,,,115.6
2005,2234.2,825.0,,,
2004,2205.0,488.0,,,
2003,2246.8,367.1,,,
2002,2064.7,407.8,,,
2001,1170.7,304.6,,,
2000,402.6,300.2,,,
