年份,社区服务机构数,社区服务中心数,社区服务站数,其它社区服务设施数,便民、利民服务网点,社区服务机构覆盖率
2019,461735,26000,167000,,,
2018,426524,,,,,
2017,407453,,,,,
2016,386186,,,,,24.4
2015,360956,24138,128083,119778.0,248643.0,22.5
2014,310652,23088,120188,107174.0,302039.0,21.1
2013,251939,19014,108377,123658.0,358518.0,18.8
2012,200162,15497,87931,95925.0,397222.0,15.3
2011,160352,14391,56156,89805.0,452868.0,23.61
2010,152941,12720,44237,95984.0,539136.0,22.4
2009,146341,10003,53170,111803.0,692625.0,25.6
2008,146322,9873,30021,123082.0,748684.0,23.7
2007,134852,9319,50116,112567.0,892656.0,24.7
2006,160007,8565,,151442.0,457896.0,22.7
2005,203275,8479,,194796.0,664764.0,28.7
2004,205926,7804,,198122.0,703760.0,28.5261898033479
2003,203945,7520,,196425.0,668418.0,27.5229419703104
2002,206743,7898,,198845.0,622986.0,26.9
2001,201758,6179,,195579.0,539544.0,25.5
2000,187888,6444,,181444.0,451567.0,22.3654091322
