年份,社会工作师报考人数,社会工作师参考人数,社会工作师合格人数,助理社会工作师报考人数,助理社会工作师参考人数,助理社会工作师合格人数
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,79535.0,59851.0,13155.0,196965.0,155337.0,34274.0
2014,62580.0,49258.0,7417.0,144282.0,116672.0,28386.0
2013,48287.0,36695.0,11658.0,121937.0,97527.0,27300.0
2012,34245.0,26125.0,6104.0,92621.0,75509.0,23846.0
2011,25500.0,19426.0,2338.0,54515.0,44100.0,8068.0
2010,25547.0,19175.0,2664.0,46047.0,37753.0,5428.0
2009,46015.0,35943.0,4227.0,38204.0,31694.0,6611.0
2008,77698.0,62953.0,4192.0,60139.0,52419.0,20648.0
2007,,,,,,
2006,,,,,,
2005,,,,,,
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
