年份,城市医疗救助人次,城市医疗救助资助参加医疗保险,农村医疗救助医疗救助,农村医疗救助资助参加合作医疗,城市医疗救助支出,农村医疗救助支出
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,1666.1431,,4546.8717,,
2014,,1701.9896,,5021.7322,,
2013,,1490.0867,,4868.7404,,
2012,689.9,1387.1,1483.8,4490.4,708801.6,1329104.8
2011,672.1549,1549.8059,1471.8336,4825.2969,676408.4,1199610.4
2010,460.0756,1461.2455,1019.2429,4615.419,495203.0,834810.0
2009,410.3725,1095.8912,729.98,4059.138,412043.1,646245.8
2008,443.6,642.6,759.5,3432.4,297000.0,383000.0
2007,,,377.097,2517.3413,144379.2,280508.0
2006,,,201.3,1317.1,81240.9,114198.1
2005,,,199.6,654.9,32000.0,57000.0
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
