年份,艺术表演团体支出合计,国有艺术表演团体支出合计,集体艺术表演团体支出合计,其他艺术表演团体支出合计,中央艺术表演团体支出合计,省、区、市艺术表演团体支出合计,地、市艺术表演团体支出合计,县、市及以下艺术表演团体支出合计,执行事业会计制度的艺术表演团体支出合计,执行企业会计制度的艺术表演团体支出合计,文化部门艺术表演团体支出合计,其他部门艺术表演团体支出合计,话剧、儿童剧、滑稽剧团支出合计,歌剧、舞剧、歌舞剧团支出合计,歌舞团、轻音乐团支出合计,乐团、合唱团支出合计,文工团、文宣队、乌兰牧骑支出合计,戏曲剧团支出合计,京剧剧团支出合计,曲艺、杂技、木偶、皮影团支出合计,综合性艺术表演团体支出合计
2019,3433017,1964606,75793,1392617,211544,851896,734993,1634585,1650073,1782944,2186591,1246426,,,,,,,,,
2018,3152559,1840360,72578,1239622,182860,806422,701454,1461823,1545009,1607550,2025501,1127058,,,,,,,,,
2017,2942410.4,1714758,60949.5,1166702.9,165295.4,777907,657064.8,1342143.2,1447116,1495294.4,1900692,1041718.4,,,,,,,,,
2016,2621743.3,1475185.7,57216.4,1089341.2,159200.5,681544.4,573852.8,1207145.6,1278284.8,1343458.5,1684867.6,936875.7,,,,,,,,,
2015,2286420,1421065.7,50786.4,814567.9,173874.4,665731.8,542141.5,904672.3,1241752.1,1044667.9,1610503.1,675916.9,,,,,,,,,
2014,2024044.5,1282094.5,50326.2,691623.8,148917.1,612174.2,466896.6,796056.6,1119747.8,904296.7,1426000,598044.5,,,,,,,,,
2013,2331821,1163324,48531,1119966,125197,565662,444010,1196952,1012711,1319110,1335598,996223,,,,,,,,,
2012,2081910.7,1250078.2,47420.7,784411.7,84260.3,562512,507032.4,928106.1,1051338.4,1030572.3,1280881.1,801029.6,186944.7,151506.2,502281.6,76522.0,46256.2,613301.6,107618.6,129921.5,375177.3
2011,1458926.1,1133818.5,45949,279158.6,113709.1,472592.4,431337.7,441286.9,1078931.6,379994.5,1158299.2,300626.9,103144.4,139686.1,274443.5,79756.5,50360.7,502824.4,95656.0,93201.1,215509.4
2010,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
