年份,政府采购的公益演出活动观众人次,政府采购的国有艺术表演团体公益演出活动观众人次,政府采购的集体艺术表演团体公益演出活动观众人次,政府采购的其他艺术表演团体公益演出活动观众人次,政府采购的中央艺术表演团体公益演出活动观众人次,政府采购的省、区、市艺术表演团体公益演出活动观众人次,政府采购的地、市艺术表演团体公益演出活动观众人次,政府采购的县、市及以下艺术表演团体公益演出活动观众人次,政府采购的执行事业会计制度的艺术表演团体公益演出活动观众人次,政府采购的执行企业会计制度的艺术表演团体公益演出活动观众人次,政府采购的文化部门艺术表演团体公益演出活动观众人次,政府采购的其他部门艺术表演团体公益演出活动观众人次,政府采购的话剧、儿童剧、滑稽剧团公益演出活动观众人次,政府采购的歌剧、舞剧、歌舞剧团公益演出活动观众人次,政府采购的歌舞团、轻音乐团公益演出活动观众人次,政府采购的乐团、合唱团公益演出活动观众人次,政府采购的文工团、文宣队、乌兰牧骑公益演出活动观众人次,政府采购的戏曲剧团公益演出活动观众人次,政府采购的京剧公益演出活动观众人次,政府采购的曲、杂、木、皮影团公益演出活动观众人次,政府采购的综合性艺术表演团体公益演出活动观众人次
2019,122420,99859,10304,12256,1260,13043,29139,78978,86976,35444,119763,2657,,,,,,,,,
2018,131180,107782,10917,12482,1284,12548,31983,85366,94082,37098,127985,3196,,,,,,,,,
2017,132296.65,108985.18,10329.63,12981.84,699.48,12645.59,33493.62,85457.95,96251.38,36045.27,129819.93,2476.71,,,,,,,,,
2016,120076.47,98504.52,8471.86,13100.1,578.66,12839.81,30793.41,75864.6,86543.49,33532.98,117254.2,2822.27,,,,,,,,,
2015,121793.12,99589.52,7928.24,14275.37,431.62,14795.46,31178.89,75387.16,87971.53,33821.59,119113.91,2679.21,,,,,,,,,
2014,98933.59,81638.75,5499.37,11795.47,604.05,13484.37,25474.67,59370.5,69456.82,29476.77,96759.78,2173.81,,,,,,,,,
2013,90982.12,72940.6,4322.15,13719.39,505.05,14781.93,23172.89,52522.26,63311.68,27670.44,87163.01,3819.11,,,,,,,,,
2012,103584.75,71848.84,4007.96,27727.95,448.5,11304.97,22126.31,69704.99,60396.97,43187.78,72271.67,31313.1,4187.17,4209.88,16381.57,950.44,6869.36,54125.93,2178.99,3612.13,13248.27
2011,77998.9,62128.02,4976.28,10894.6,516.82,12116.84,17613.85,47751.39,64170.88,13828.02,69178.49,8820.41,2546.83,2802.17,13878.89,423.49,4450.54,41894.24,1579.04,3220.71,8782.04
2010,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
