省份编码,省份,年份,6岁及6岁以上人口数(人口抽样调查)(人),6岁及6岁以上男性人口数(人口抽样调查)(人),6岁及6岁以上女性人口数(人口抽样调查)(人),6岁及6岁以上未上过学人口数(人口抽样调查)(人),6岁及6岁以上未上过学男性人口数(人口抽样调查)(人),6岁及6岁以上未上过学女性人口数(人口抽样调查)(人),6岁及6岁以上小学人口数(人口抽样调查)(人),6岁及6岁以上小学男性人口数(人口抽样调查)(人),6岁及6岁以上小学女性人口数(人口抽样调查)(人),6岁及6岁以上初中人口数(人口抽样调查)(人),6岁及6岁以上初中男性人口数(人口抽样调查)(人),6岁及6岁以上初中女性人口数(人口抽样调查)(人),6岁及6岁以上高中人口数(人口抽样调查)(人),6岁及6岁以上高中男性人口数(人口抽样调查)(人),6岁及6岁以上高中女性人口数(人口抽样调查)(人),6岁及6岁以上大专及以上人口数(人口抽样调查)(人),6岁及6岁以上大专及以上男性人口数(人口抽样调查)(人),6岁及6岁以上大专及以上女性人口数(人口抽样调查)(人)
110000,北京市,2019,15743,7915,7827,311,111,200,1344,600,744,3087,1611,1476,3052,1542,1509,7948,4052,3898
110000,北京市,2018,16691,8245,8446,351,115,236,1442,645,796,3452,1802,1650,3325,1707,1617,8121,3975,4146
110000,北京市,2017,16734,8450,8283,252,60,192,1520,676,843,3768,1992,1777,3226,1635,1592,7967,4088,3880
110000,北京市,2016,17001,8721,8279,313,74,238,1631,741,890,4070,2156,1914,3258,1650,1608,7729,4099,3630
110000,北京市,2015,316773,165403,151370,6180,1500,4680,32650,15352,17298,80272,45223,35049,63565,33238,30328,134106,70090,64014
110000,北京市,2014,16828,8496,8332,295,83,212,1772,849,922,4658,2558,2100,3684,1957,1727,6420,3049,3371
110000,北京市,2013,16645,8622,8023,278,76,202,1692,782,910,4496,2396,2099,3321,1722,1599,6859,3645,3214
110000,北京市,2012,16447,8418,8029,271,63,208,1627,766,862,4746,2540,2206,3659,1830,1829,6143,3219,2924
110000,北京市,2011,16491,8402,8088,306,74,232,1742,803,939,5201,2909,2292,3645,1845,1801,5597,2772,2825
110000,北京市,2010,,,,,,,,,,,,,,,,,,
110000,北京市,2009,14406,7344,7062,440,96,344,1878,874,1004,4364,2338,2026,3290,1696,1594,4433,2339,2094
110000,北京市,2008,14174,7197,6977,472,95,377,1898,891,1006,4499,2428,2070,3319,1720,1600,3986,2062,1923
110000,北京市,2007,13984,6951,7033,490,115,375,1850,863,987,4225,2241,1984,3207,1593,1614,4213,2140,2072
110000,北京市,2006,13769,6777,6992,596,152,444,1887,885,1002,4058,2138,1920,3188,1550,1638,4042,2053,1989
110000,北京市,2005,196019,99133,96885,7697,1562,6134,28028,13189,14840,63027,34090,28938,49266,24764,24501,48001,25528,22473
