省份编码,省份,年份,人口数(人口抽样调查)(人),0-14岁人口数(人口抽样调查)(人),15-64岁人口数(人口抽样调查)(人),65岁及以上人口数(人口抽样调查)(人),总抚养比(人口抽样调查)(%),少年儿童抚养比(人口抽样调查)(%),老年人口抚养比(人口抽样调查)(%)
110000,北京市,2019,16666,1737,13020,1909.01,28.01,13.34,14.66
110000,北京市,2018,17673,1850,13834,1988.79,27.75,13.37,14.38
110000,北京市,2017,17801,1942,13633,2225.47,30.57,14.25,16.32
110000,北京市,2016,18132,1973,14031,2128.81,29.23,14.06,15.17
110000,北京市,2015,335775,33994,266007,35775.0,26.23,12.78,13.45
110000,北京市,2014,17757,1804,14434,1518.0,23.02,12.5,10.52
110000,北京市,2013,17454,1732,14225,1498.0,22.7,12.17,10.53
110000,北京市,2012,17266,1619,14163,1485.0,21.91,11.43,10.48
110000,北京市,2011,17246,1510,14216,1521.0,21.31,10.62,10.7
110000,北京市,2010,,,,,,,
110000,北京市,2009,15096,1497,12075,1524.0,25.01,12.39,12.62
110000,北京市,2008,14813,1438,11852,1524.0,24.99,12.13,12.86
110000,北京市,2007,14554,1401,11669,1484.0,24.72,12.01,12.72
110000,北京市,2006,14294,1426,11263,1605.0,26.91,12.66,14.25
110000,北京市,2005,203582,20932,160636,22014.0,26.74,13.03,13.7
110000,北京市,2004,14213,1415,11217,1581.0,26.71,12.62,14.1
110000,北京市,2003,14070,1486,11008,1576.0,27.82,13.5,14.32
110000,北京市,2002,13723,1569,10675,1479.0,28.56,14.7,13.86
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,12095,1243,9391,1461.24,28.8,13.23,15.56
120000,天津市,2018,12794,1314,10083,1396.88,26.89,13.03,13.85
120000,天津市,2017,12778,1443,9893,1441.76,29.16,14.59,14.57
120000,天津市,2016,13046,1421,10142,1482.31,28.63,14.01,14.62
120000,天津市,2015,239370,24253,190476,24641.0,25.67,12.73,12.94
120000,天津市,2014,12517,1350,9707,1462.0,28.97,13.91,15.06
120000,天津市,2013,12150,1359,9399,1392.0,29.27,14.46,14.81
120000,天津市,2012,11791,1383,9175,1233.0,28.52,15.08,13.44
120000,天津市,2011,11577,1233,9213,1131.0,25.66,13.39,12.27
120000,天津市,2010,,,,,,,
120000,天津市,2009,10473,1054,8263,1156.0,26.75,12.76,13.99
