省份编码,省份,年份,总户数(人口抽样调查)(户),家庭户户数(人口抽样调查)(户),集体户户数(人口抽样调查)(户),家庭户人口数(人口抽样调查)(人),家庭户男性人口数(人口抽样调查)(人),家庭户女性人口数(人口抽样调查)(人),集体户人口数(人口抽样调查)(人),集体户男性人口数(人口抽样调查)(人),集体户女性人口数(人口抽样调查)(人)
110000,北京市,2019,6408,6073,335,15551,7617,7933,1116,780,335
110000,北京市,2018,6769,6490,279,16773,8371,8403,900,410,490
110000,北京市,2017,6631,6151,480,16134,8042,8092,1667,975,692
110000,北京市,2016,6793,6372,421,16695,8334,8361,1437,990,447
110000,北京市,2015,126146,110525,15621,281274,139440,141835,54501,36021,18481
110000,北京市,2014,6827,6220,607,15503,7753,7750,2254,1224,1030
110000,北京市,2013,6166,5439,727,14170,6988,7182,3284,2059,1225
110000,北京市,2012,6368,5878,490,14874,7328,7546,2393,1523,869
110000,北京市,2011,6678,6166,512,14896,7448,7448,2350,1348,1002
110000,北京市,2010,,,,,,,,,
110000,北京市,2009,5897,5444,453,13782,6880,6902,1314,826,488
110000,北京市,2008,5659,5308,351,13709,6852,6857,1104,677,427
110000,北京市,2007,5388,4978,410,13216,6560,6656,1338,682,656
110000,北京市,2006,5309,4981,328,13150,6456,6694,1144,590,555
110000,北京市,2005,73787,69594,4192,188218,93301,94916,15365,9821,5544
110000,北京市,2004,4750,4593,157,12821,6326,6495,1392,954,438
110000,北京市,2003,4769,4614,156,12664,6190,6473,1406,1052,354
110000,北京市,2002,4391,4288,103,12288,6068,6220,1436,1191,245
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,4317,4025,292,10664,5413,5252,1430,1263,168
120000,天津市,2018,4529,4171,358,11278,5678,5599,1517,1185,332
120000,天津市,2017,4479,4162,317,11423,5790,5632,1355,934,421
120000,天津市,2016,4497,4145,352,11472,5759,5714,1574,1202,371
120000,天津市,2015,76920,68037,8883,188974,94440,94533,50396,36338,14059
