省份编码,省份,年份,家庭户户数(人口抽样调查)(户),一人户家庭户户数(人口抽样调查)(户),二人户家庭户户数(人口抽样调查)(户),三人户家庭户户数(人口抽样调查)(户),四人户家庭户户数(人口抽样调查)(户),五人户家庭户户数(人口抽样调查)(户),六人户家庭户户数(人口抽样调查)(户),七人户家庭户户数(人口抽样调查)(户),八人户家庭户户数(人口抽样调查)(户),九人户家庭户户数(人口抽样调查)(户),十人及以上户家庭户户数(人口抽样调查)(户)
510000,四川省,2002,26133,2128,5393,8841,5584,2561,1086,314,140,43,43
510000,四川省,2001,,,,,,,,,,,
510000,四川省,2000,,,,,,,,,,,
520000,贵州省,2019,8843,1535,2216,1696,1615,955,499,207,71,25,25
520000,贵州省,2018,8991,1402,2134,1838,1813,967,506,206,66,30,28
520000,贵州省,2017,8630,1093,1811,1912,1925,1010,548,208,77,25,21
520000,贵州省,2016,8940,1166,2033,1999,1835,1058,548,192,69,27,14
520000,贵州省,2015,156383,18320,33483,35675,32592,19999,10110,3840,1392,505,467
520000,贵州省,2014,8917,1267,2217,2290,1583,915,449,126,45,14,9
520000,贵州省,2013,9099,1308,2296,2349,1637,946,385,131,32,10,4
520000,贵州省,2012,9185,1306,2375,2199,1694,981,440,125,37,16,12
520000,贵州省,2011,9155,1286,2312,2245,1664,962,465,148,49,15,10
520000,贵州省,2010,,,,,,,,,,,
520000,贵州省,2009,9316,590,1751,2264,2289,1445,626,241,65,26,19
520000,贵州省,2008,9451,596,1688,2364,2483,1355,631,227,72,19,16
520000,贵州省,2007,9741,714,1867,2401,2434,1359,622,221,72,34,16
520000,贵州省,2006,9671,665,1820,2382,2347,1529,609,213,62,27,16
520000,贵州省,2005,142031,12014,28908,36404,32074,19702,8341,2982,987,377,242
520000,贵州省,2004,10323,634,1706,2619,2566,1803,645,245,63,26,17
520000,贵州省,2003,10348,672,1760,2742,2574,1598,671,224,67,26,15
520000,贵州省,2002,10270,680,1595,2639,2668,1637,656,252,85,31,28
520000,贵州省,2001,,,,,,,,,,,
520000,贵州省,2000,,,,,,,,,,,
530000,云南省,2019,11313,1740,2500,2407,2285,1277,731,254,72,29,18
530000,云南省,2018,11683,1522,2534,2607,2498,1400,788,232,69,26,8
530000,云南省,2017,10831,1111,2101,2468,2567,1418,809,236,71,28,22
530000,云南省,2016,11002,1092,2077,2568,2578,1481,825,235,90,29,28
530000,云南省,2015,199586,22586,36086,45751,44965,26860,15609,4884,1704,668,473
530000,云南省,2014,11489,1413,2472,2692,2450,1408,796,182,59,9,10
530000,云南省,2013,11606,1528,2415,2798,2462,1358,760,192,54,26,13
530000,云南省,2012,11450,1535,2385,2856,2402,1308,692,171,65,22,14
530000,云南省,2011,11401,1484,2317,2672,2471,1404,774,187,58,24,11
530000,云南省,2010,,,,,,,,,,,
530000,云南省,2009,11180,725,1947,2741,3039,1691,770,179,55,23,11
530000,云南省,2008,11121,694,1837,2678,3082,1797,762,177,71,16,9
530000,云南省,2007,11169,616,1872,2723,3116,1739,808,192,59,28,15
530000,云南省,2006,11248,756,1763,2710,3188,1696,825,201,68,29,12
530000,云南省,2005,161443,12901,26388,38206,44283,23714,11327,3114,945,340,225
530000,云南省,2004,11468,800,1560,2701,3307,1859,817,275,88,37,23
530000,云南省,2003,10822,626,1172,2122,3480,1922,1010,314,112,41,23
530000,云南省,2002,11157,697,1337,2555,3528,1757,853,268,98,38,25
530000,云南省,2001,,,,,,,,,,,
530000,云南省,2000,,,,,,,,,,,
540000,西藏自治区,2019,656,94,123,109,120,73,54,31,25,13,14
540000,西藏自治区,2018,716,107,111,166,134,76,53,29,18,9,12
540000,西藏自治区,2017,686,100,105,136,123,79,58,33,22,14,17
540000,西藏自治区,2016,675,94,115,121,126,75,52,32,24,16,21
540000,西藏自治区,2015,11513,1416,1724,2131,2043,1615,855,594,403,286,444
540000,西藏自治区,2014,642,84,100,127,106,74,51,33,25,18,23
540000,西藏自治区,2013,632,78,109,123,111,68,48,33,24,16,23
540000,西藏自治区,2012,627,79,94,122,110,78,56,32,23,14,19
540000,西藏自治区,2011,598,67,100,99,107,75,52,33,25,19,22
540000,西藏自治区,2010,,,,,,,,,,,
540000,西藏自治区,2009,543,22,47,81,148,95,54,36,27,15,19
540000,西藏自治区,2008,560,32,58,98,110,109,56,40,22,15,20
540000,西藏自治区,2007,550,37,55,84,111,94,60,42,27,21,19
540000,西藏自治区,2006,526,18,45,89,110,98,62,41,27,16,20
540000,西藏自治区,2005,7227,386,696,1058,1303,1132,829,633,467,305,419
540000,西藏自治区,2004,549,27,45,90,114,95,65,44,32,18,18
540000,西藏自治区,2003,537,23,35,84,120,96,73,45,26,17,19
540000,西藏自治区,2002,615,71,85,106,124,79,48,36,27,14,24
540000,西藏自治区,2001,,,,,,,,,,,
540000,西藏自治区,2000,,,,,,,,,,,
610000,陕西省,2019,9921,1694,2814,2199,1823,854,407,95,25,6,5
610000,陕西省,2018,10193,1624,2859,2502,1779,864,410,110,29,5,11
610000,陕西省,2017,9813,1342,2572,2572,1810,930,449,103,26,6,4
610000,陕西省,2016,9510,1136,2295,2415,2002,1078,421,97,43,10,13
610000,陕西省,2015,171859,20534,40787,46069,34907,19030,7825,1836,553,194,124
610000,陕西省,2014,9918,1235,2569,2719,1826,928,488,109,29,8,7
610000,陕西省,2013,10032,1283,2499,2832,1996,871,428,85,27,7,4
610000,陕西省,2012,9962,1313,2520,2687,1805,1038,475,78,32,12,3
610000,陕西省,2011,9715,1167,2290,2610,1904,1076,499,119,37,6,6
610000,陕西省,2010,,,,,,,,,,,
610000,陕西省,2009,10424,915,2609,3062,2273,1030,410,96,24,3,1
610000,陕西省,2008,10540,832,2529,3268,2291,1111,385,93,22,7,2
610000,陕西省,2007,10602,807,2508,3297,2313,1084,460,96,26,4,6
610000,陕西省,2006,10533,838,2445,3126,2370,1170,464,84,27,7,2
610000,陕西省,2005,149873,13197,33664,43286,33518,16955,6973,1611,443,145,81
610000,陕西省,2004,9921,527,1673,2780,2504,1568,616,171,50,14,17
610000,陕西省,2003,10101,549,1728,2943,2615,1381,605,184,61,22,12
610000,陕西省,2002,9920,583,1569,2693,2558,1532,686,192,73,18,17
610000,陕西省,2001,,,,,,,,,,,
610000,陕西省,2000,,,,,,,,,,,
620000,甘肃省,2019,6000,801,1499,1263,1046,656,475,152,57,28,24
620000,甘肃省,2018,6156,676,1472,1344,1169,720,496,182,55,21,20
620000,甘肃省,2017,6449,688,1539,1656,1223,696,438,132,52,18,6
620000,甘肃省,2016,6353,630,1387,1684,1234,746,436,150,50,19,16
620000,甘肃省,2015,107046,9319,21106,27121,21776,14441,8795,2891,948,398,252
620000,甘肃省,2014,6194,683,1349,1611,1136,781,437,137,32,16,12
620000,甘肃省,2013,6222,646,1365,1630,1227,716,448,121,45,17,7
620000,甘肃省,2012,6533,1031,1378,1604,1141,718,458,124,41,26,10
620000,甘肃省,2011,6593,1000,1381,1621,1162,772,464,123,39,19,12
620000,甘肃省,2010,,,,,,,,,,,
620000,甘肃省,2009,6531,413,1183,1744,1551,982,457,131,41,17,10
620000,甘肃省,2008,6587,417,1182,1781,1584,888,493,149,51,26,16
620000,甘肃省,2007,6494,361,1045,1645,1732,970,511,149,45,20,15
620000,甘肃省,2006,6476,336,1067,1686,1546,1097,507,152,44,19,21
620000,甘肃省,2005,92736,6066,15450,23989,21810,14193,7395,2541,825,258,209
620000,甘肃省,2004,6453,347,777,1685,1557,1053,638,231,97,35,34
620000,甘肃省,2003,6384,267,754,1597,1679,1044,629,262,92,34,24
620000,甘肃省,2002,6416,310,781,1494,1750,1032,652,233,107,32,27
620000,甘肃省,2001,,,,,,,,,,,
620000,甘肃省,2000,,,,,,,,,,,
630000,青海省,2019,1508,311,358,314,238,147,86,33,12,4,4
630000,青海省,2018,1485,267,332,320,269,150,90,35,14,3,4
630000,青海省,2017,1459,204,296,334,311,160,103,33,11,4,3
630000,青海省,2016,1471,212,303,350,285,168,94,33,14,4,7
630000,青海省,2015,24792,2931,4764,5883,5078,3207,1805,636,260,115,112
630000,青海省,2014,1461,194,340,377,280,140,87,23,11,4,3
630000,青海省,2013,1394,131,304,378,296,151,87,28,12,5,4
630000,青海省,2012,1374,163,283,352,268,162,85,33,14,7,8
630000,青海省,2011,1316,148,261,319,262,156,100,35,18,8,8
630000,青海省,2010,,,,,,,,,,,
630000,青海省,2009,1359,118,253,351,292,183,96,38,14,7,8
630000,青海省,2008,1353,101,245,347,296,195,95,38,14,11,10
630000,青海省,2007,1371,104,238,368,307,188,90,39,18,9,11
630000,青海省,2006,1364,96,236,375,301,186,99,34,16,10,11
630000,青海省,2005,19245,1487,3069,5156,4418,2733,1414,522,223,116,107
630000,青海省,2004,1337,73,190,355,319,206,102,44,24,12,12
630000,青海省,2003,1329,73,182,352,319,196,108,46,25,14,12
630000,青海省,2002,1248,61,147,281,331,202,118,52,26,14,17
630000,青海省,2001,,,,,,,,,,,
630000,青海省,2000,,,,,,,,,,,
640000,宁夏回族自治区,2019,1741,242,487,409,350,149,68,24,8,3,1
640000,宁夏回族自治区,2018,1722,204,453,421,355,161,84,29,8,3,3
640000,宁夏回族自治区,2017,1731,190,469,474,339,150,73,23,10,2,1
640000,宁夏回族自治区,2016,1776,168,449,523,371,157,75,23,8,2,1
640000,宁夏回族自治区,2015,30513,2887,7332,8585,6500,3028,1467,477,157,49,31
640000,宁夏回族自治区,2014,1698,167,429,468,341,177,82,23,8,3,1
640000,宁夏回族自治区,2013,1675,150,413,497,341,166,70,25,9,1,2
640000,宁夏回族自治区,2012,1545,123,344,437,329,183,89,24,8,4,3
640000,宁夏回族自治区,2011,1566,137,348,446,339,179,86,21,7,2,2
640000,宁夏回族自治区,2010,,,,,,,,,,,
640000,宁夏回族自治区,2009,1571,94,324,458,349,206,101,27,9,2,2
640000,宁夏回族自治区,2008,1545,76,301,443,343,221,109,36,11,3,2
640000,宁夏回族自治区,2007,1520,65,285,442,330,221,121,38,11,5,3
640000,宁夏回族自治区,2006,1501,65,262,449,335,221,108,38,15,5,3
640000,宁夏回族自治区,2005,21917,1420,4068,6207,4698,3025,1631,553,213,66,37
640000,宁夏回族自治区,2004,1534,71,261,469,336,213,109,45,18,8,3
640000,宁夏回族自治区,2003,1503,79,242,411,351,224,120,49,20,6,2
640000,宁夏回族自治区,2002,1461,69,218,446,324,206,113,53,18,8,6
640000,宁夏回族自治区,2001,,,,,,,,,,,
640000,宁夏回族自治区,2000,,,,,,,,,,,
650000,新疆维吾尔自治区,2019,5859,788,1334,1385,1237,676,277,104,28,13,18
650000,新疆维吾尔自治区,2018,6529,890,1579,1668,1380,628,252,85,25,11,12
650000,新疆维吾尔自治区,2017,6339,804,1539,1583,1380,617,285,74,33,10,14
650000,新疆维吾尔自治区,2016,6025,687,1339,1511,1321,694,286,105,43,17,21
650000,新疆维吾尔自治区,2015,106374,12418,23274,27358,22271,12550,4802,1967,873,428,433
650000,新疆维吾尔自治区,2014,5889,701,1429,1599,1092,623,260,98,40,25,23
650000,新疆维吾尔自治区,2013,5583,611,1191,1577,1164,583,261,101,45,18,30
650000,新疆维吾尔自治区,2012,5825,725,1389,1640,1062,625,229,82,24,25,23
650000,新疆维吾尔自治区,2011,5798,661,1386,1645,1091,623,230,74,43,21,24
650000,新疆维吾尔自治区,2010,,,,,,,,,,,
650000,新疆维吾尔自治区,2009,5422,398,1054,1552,1179,734,290,138,40,20,17
650000,新疆维吾尔自治区,2008,5368,371,1020,1506,1160,815,297,124,37,24,13
650000,新疆维吾尔自治区,2007,5317,352,994,1537,1147,798,275,139,39,16,20
650000,新疆维吾尔自治区,2006,5169,336,923,1472,1104,768,341,130,53,25,17
650000,新疆维吾尔自治区,2005,76020,6324,15016,22135,15077,9831,4291,1867,837,353,290
650000,新疆维吾尔自治区,2004,5402,330,1096,1758,1010,690,282,126,59,24,26
650000,新疆维吾尔自治区,2003,5229,361,913,1662,1092,653,292,128,74,30,25
650000,新疆维吾尔自治区,2002,5623,403,1095,1874,967,652,342,155,68,37,30
650000,新疆维吾尔自治区,2001,,,,,,,,,,,
650000,新疆维吾尔自治区,2000,,,,,,,,,,,
