省份编码,省份,年份,15岁及以上人口数(人口抽样调查)(人),15岁及以上男性人口数(人口抽样调查)(人),15岁及以上女性人口数(人口抽样调查)(人),15岁及以上文盲人口数(人口抽样调查)(人),15岁及以上男性文盲人口数(人口抽样调查)(人),15岁及以上女性文盲人口数(人口抽样调查)(人)
110000,北京市,2019,14929,7500,7429,258,90,168
110000,北京市,2018,15823,7805,8017,268,88,180
110000,北京市,2017,15858,7998,7860,195,41,153
110000,北京市,2016,16160,8275,7885,252,52,201
110000,北京市,2015,301781,157519,144262,5188,1150,4037
110000,北京市,2014,15953,8005,7946,236,53,183
110000,北京市,2013,15722,8149,7574,239,57,182
110000,北京市,2012,15648,7999,7649,229,47,181
110000,北京市,2011,15737,8012,7725,272,60,213
110000,北京市,2010,,,,,,
110000,北京市,2009,13599,6907,6692,374,71,303
110000,北京市,2008,13375,6767,6608,416,79,337
110000,北京市,2007,13153,6509,6645,440,99,341
110000,北京市,2006,12868,6315,6554,575,138,437
110000,北京市,2005,182650,92227,90424,7152,1393,5759
110000,北京市,2004,12798,6542,6256,573,119,454
110000,北京市,2003,12583,6472,6111,580,127,453
110000,北京市,2002,12154,6448,5706,650,144,506
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,10852,6006,4846,187,53,134
120000,天津市,2018,11480,6161,5319,159,38,121
120000,天津市,2017,11335,5970,5365,217,51,167
120000,天津市,2016,11624,6217,5407,262,66,196
120000,天津市,2015,215117,117901,97216,4490,1191,3299
120000,天津市,2014,11170,5543,5624,263,66,197
120000,天津市,2013,10790,5315,5476,222,51,171
120000,天津市,2012,10408,5121,5287,233,55,178
120000,天津市,2011,10344,5101,5243,251,60,192
120000,天津市,2010,,,,,,
120000,天津市,2009,9419,4738,4681,289,57,232
120000,天津市,2008,9028,4418,4610,318,72,246
120000,天津市,2007,8773,4359,4414,338,75,263
120000,天津市,2006,8522,4161,4362,349,66,284
120000,天津市,2005,120572,59994,60578,5793,1303,4490
120000,天津市,2004,8575,4198,4377,462,103,359
120000,天津市,2003,8566,4201,4365,545,125,420
120000,天津市,2002,8511,4200,4311,574,129,445
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,47963,24166,23797,1217,284,932
130000,河北省,2018,50466,25094,25372,1994,504,1490
130000,河北省,2017,50934,25489,25444,1774,433,1341
130000,河北省,2016,51166,25832,25334,2097,473,1623
130000,河北省,2015,944890,470806,474084,36479,9084,27395
130000,河北省,2014,49589,24982,24608,1557,362,1195
130000,河北省,2013,49745,25174,24571,1553,432,1121
130000,河北省,2012,49895,25215,24680,1879,516,1363
130000,河北省,2011,50971,26109,24862,1879,490,1388
130000,河北省,2010,,,,,,
130000,河北省,2009,51969,26120,25849,2538,672,1867
130000,河北省,2008,52866,26656,26210,2556,646,1910
130000,河北省,2007,52862,26507,26355,3303,800,2504
130000,河北省,2006,53091,26512,26580,3407,883,2524
130000,河北省,2005,746574,369699,376876,53638,13842,39797
130000,河北省,2004,54547,27558,26989,3690,1061,2629
130000,河北省,2003,53791,27172,26620,3955,1150,2805
130000,河北省,2002,52391,26246,26145,4091,1095,2996
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,24553,12379,12173,491,137,353
140000,山西省,2018,25728,13081,12647,636,172,464
140000,山西省,2017,25783,13368,12415,459,116,343
140000,山西省,2016,26163,13383,12780,660,198,462
140000,山西省,2015,483788,249962,233827,14435,4235,10200
140000,山西省,2014,25636,12970,12666,742,229,513
140000,山西省,2013,25247,13006,12241,529,168,361
140000,山西省,2012,25396,12932,12464,592,213,379
140000,山西省,2011,25737,13139,12598,746,242,504
140000,山西省,2010,,,,,,
140000,山西省,2009,25137,12773,12364,1027,286,740
140000,山西省,2008,25177,12662,12515,1068,299,769
140000,山西省,2007,25001,12684,12317,1066,289,777
140000,山西省,2006,24918,12508,12410,1103,328,774
140000,山西省,2005,349524,175754,173769,19472,5673,13799
140000,山西省,2004,25501,13049,12451,1466,451,1015
140000,山西省,2003,25082,12755,12327,1452,425,1026
140000,山西省,2002,24847,12756,12091,1591,499,1092
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,17171,8832,8339,713,214,499
150000,内蒙古自治区,2018,18023,9179,8844,825,242,583
150000,内蒙古自治区,2017,18025,9028,8997,869,254,614
150000,内蒙古自治区,2016,18431,9303,9128,859,252,607
150000,内蒙古自治区,2015,339221,172510,166711,18564,5776,12788
150000,内蒙古自治区,2014,17869,9069,8801,832,237,595
150000,内蒙古自治区,2013,17782,9223,8560,759,238,520
150000,内蒙古自治区,2012,17897,9132,8765,718,223,494
150000,内蒙古自治区,2011,18303,9081,9222,800,242,558
150000,内蒙古自治区,2010,,,,,,
150000,内蒙古自治区,2009,18440,9394,9045,1382,398,984
150000,内蒙古自治区,2008,18565,9484,9081,1512,440,1072
150000,内蒙古自治区,2007,18604,9374,9230,1532,456,1076
150000,内蒙古自治区,2006,18581,9409,9172,1739,500,1239
150000,内蒙古自治区,2005,262000,133393,128607,29476,8751,20725
150000,内蒙古自治区,2004,19256,9883,9373,2015,682,1332
150000,内蒙古自治区,2003,19223,9815,9408,2628,857,1771
150000,内蒙古自治区,2002,18989,9727,9262,2556,819,1736
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,30354,15166,15189,393,105,288
210000,辽宁省,2018,32116,16024,16092,499,158,341
210000,辽宁省,2017,32320,16076,16244,498,136,362
210000,辽宁省,2016,32768,16513,16254,553,144,409
210000,辽宁省,2015,608639,303430,305209,11654,3139,8516
210000,辽宁省,2014,32518,16410,16106,579,141,438
210000,辽宁省,2013,32457,16354,16103,582,205,377
210000,辽宁省,2012,32819,16446,16373,736,217,519
210000,辽宁省,2011,33193,16656,16537,757,197,560
210000,辽宁省,2010,,,,,,
210000,辽宁省,2009,34186,17054,17132,1094,298,796
210000,辽宁省,2008,34259,17052,17207,1193,278,915
210000,辽宁省,2007,34334,17168,17165,1289,320,969
210000,辽宁省,2006,34316,17213,17103,1415,358,1057
210000,辽宁省,2005,479167,238190,240977,22839,5700,17139
210000,辽宁省,2004,35385,17649,17736,1543,372,1171
210000,辽宁省,2003,35441,17632,17809,1680,419,1261
210000,辽宁省,2002,35077,17605,17472,1811,462,1349
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,18474,9234,9240,415,118,297
220000,吉林省,2018,19448,9754,9694,545,147,398
220000,吉林省,2017,19634,9859,9775,687,207,480
220000,吉林省,2016,20043,10116,9927,496,151,345
220000,吉林省,2015,377159,189456,187704,9860,3270,6590
220000,吉林省,2014,19939,10117,9822,575,176,399
220000,吉林省,2013,20038,10293,9744,456,143,313
220000,吉林省,2012,20139,10194,9945,372,121,251
220000,吉林省,2011,20501,10402,10099,458,143,315
220000,吉林省,2010,,,,,,
220000,吉林省,2009,21386,10902,10484,733,237,496
220000,吉林省,2008,21735,10946,10790,964,286,678
220000,吉林省,2007,21781,10984,10797,992,291,701
220000,吉林省,2006,21931,11019,10912,1143,342,801
220000,吉林省,2005,307428,155105,152323,17994,5436,12558
220000,吉林省,2004,22730,11290,11440,874,300,575
220000,吉林省,2003,22617,11259,11358,880,302,578
220000,吉林省,2002,22350,11174,11176,974,319,655
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
230000,黑龙江省,2019,26267,13256,13011,678,210,468
230000,黑龙江省,2018,27679,13984,13695,648,193,455
230000,黑龙江省,2017,28144,14256,13888,814,275,538
230000,黑龙江省,2016,28670,14444,14226,1031,356,675
230000,黑龙江省,2015,530031,265814,264217,14504,4551,9953
230000,黑龙江省,2014,27968,13934,14033,764,198,566
230000,黑龙江省,2013,27859,14091,13768,608,188,420
230000,黑龙江省,2012,28112,14234,13878,686,232,454
