省份编码,省份,年份,15岁及以上人口数(人口抽样调查)(人),15岁及以上男性人口数(人口抽样调查)(人),15岁及以上女性人口数(人口抽样调查)(人),15岁及以上未婚人口数(人口抽样调查)(人),15岁及以上男性未婚人口数(人口抽样调查)(人),15岁及以上女性未婚人口数(人口抽样调查)(人),15岁及以上有配偶人口数(人口抽样调查)(人),15岁及以上男性有配偶人口数(人口抽样调查)(人),15岁及以上女性有配偶人口数(人口抽样调查)(人),15岁及以上初婚有配偶人口数(人口抽样调查)(人),15岁及以上男性初婚有配偶人口数(人口抽样调查)(人),15岁及以上女性初婚有配偶人口数(人口抽样调查)(人),15岁及以上再婚有配偶人口数(人口抽样调查)(人),15岁及以上男性再婚有配偶人口数(人口抽样调查)(人),15岁及以上女性再婚有配偶人口数(人口抽样调查)(人),15岁及以上离婚人口数(人口抽样调查)(人),15岁及以上男性离婚人口数(人口抽样调查)(人),15岁及以上女性离婚人口数(人口抽样调查)(人),15岁及以上丧偶人口数(人口抽样调查)(人),15岁及以上男性丧偶人口数(人口抽样调查)(人),15岁及以上女性丧偶人口数(人口抽样调查)(人)
110000,北京市,2019,14929,7500,7429,3067,1736,1331,10972,5502,5470,,,,,,,363,142,220,528,119,408
110000,北京市,2018,15823,7805,8017,3290,1679,1611,11633,5859,5774,,,,,,,345,140,206,554,128,426
110000,北京市,2017,15858,7998,7860,3599,1979,1620,11335,5746,5589,,,,,,,323,128,194,602,145,456
110000,北京市,2016,16160,8275,7885,3434,2038,1396,11730,5933,5798,,,,,,,341,151,191,654,153,501
110000,北京市,2015,301781,157519,144262,68685,40131,28555,215191,111598,103593,,,,,,,5805,2551,3254,11149,2783,8366
110000,北京市,2014,15953,8005,7946,3879,1999,1880,,,,10967,5599,5368,308,156,151,290,124,165,509,127,382
110000,北京市,2013,15722,8149,7574,4704,2734,1970,,,,10076,5062,5014,247,123,124,217,101,116,478,128,350
110000,北京市,2012,15648,7999,7649,4095,2267,1828,,,,10653,5399,5254,201,105,96,212,96,116,487,132,355
110000,北京市,2011,15737,8012,7725,3988,2079,1909,,,,10778,5602,5177,196,95,102,206,79,126,568,157,411
110000,北京市,2010,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2009,13599,6907,6692,3013,1715,1298,,,,9639,4860,4779,180,91,89,208,90,118,559,151,408
110000,北京市,2008,13375,6767,6608,2855,1605,1249,,,,9562,4817,4745,216,105,110,195,93,102,549,147,402
110000,北京市,2007,13153,6509,6645,3214,1696,1518,,,,9043,4488,4555,194,100,94,176,81,94,527,143,383
110000,北京市,2006,12868,6315,6554,3063,1601,1463,,,,8830,4367,4463,201,100,101,198,92,106,576,154,421
110000,北京市,2005,182650,92227,90424,42458,24048,18410,,,,125619,62766,62853,4056,2069,1987,2869,1341,1528,7647,2003,5644
110000,北京市,2004,12798,6542,6256,3076,1726,1351,,,,8675,4434,4241,236,121,115,189,88,101,621,173,448
110000,北京市,2003,12583,6472,6111,2828,1600,1228,,,,8731,4511,4219,244,122,122,187,89,98,593,150,444
110000,北京市,2002,12154,6448,5706,2748,1658,1091,,,,8408,4424,3984,225,113,112,178,92,86,595,161,434
110000,北京市,2001,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2019,10852,6006,4846,2085,1390,695,8039,4364,3675,,,,,,,286,135,151,442,117,326
120000,天津市,2018,11480,6161,5319,2151,1260,891,8602,4640,3962,,,,,,,276,132,143,451,129,321
120000,天津市,2017,11335,5970,5365,2563,1542,1020,8067,4177,3889,,,,,,,243,118,125,462,131,331
120000,天津市,2016,11624,6217,5407,2224,1281,943,8625,4679,3947,,,,,,,228,109,119,547,148,399
120000,天津市,2015,215117,117901,97216,41678,24373,17305,159757,88551,71206,,,,,,,3848,1832,2017,8771,2609,6162
120000,天津市,2014,11170,5543,5624,2216,1145,1070,,,,8019,4029,3989,160,86,74,236,117,118,539,166,373
120000,天津市,2013,10790,5315,5476,2077,1041,1037,,,,7868,3959,3909,142,69,73,188,90,99,515,157,359
120000,天津市,2012,10408,5121,5287,2075,1056,1019,,,,7504,3752,3753,137,68,69,187,87,100,505,158,347
120000,天津市,2011,10344,5101,5243,2446,1214,1232,,,,7098,3586,3511,151,73,77,166,82,84,484,145,338
120000,天津市,2010,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2009,9419,4738,4681,1980,1061,918,,,,6677,3390,3287,143,72,71,132,68,64,487,146,342
120000,天津市,2008,9028,4418,4610,1645,875,770,,,,6614,3273,3341,105,51,54,132,65,67,531,154,378
120000,天津市,2007,8773,4359,4414,1750,937,813,,,,6336,3174,3162,109,51,58,109,52,56,470,145,325
120000,天津市,2006,8522,4161,4362,1640,837,803,,,,6189,3084,3105,114,49,65,121,62,59,458,129,330
120000,天津市,2005,120572,59994,60578,25272,13533,11739,,,,86157,43035,43123,2200,1055,1145,1353,672,681,5590,1699,3891
120000,天津市,2004,8575,4198,4377,1532,820,712,,,,6366,3146,3220,114,57,56,96,39,56,467,135,332
120000,天津市,2003,8566,4201,4365,1577,839,738,,,,6274,3101,3173,130,65,65,102,51,51,483,144,339
120000,天津市,2002,8511,4200,4311,1481,807,674,,,,6334,3152,3182,120,57,63,87,42,45,490,143,347
120000,天津市,2001,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2019,47963,24166,23797,7011,4297,2714,37376,18545,18831,,,,,,,857,545,312,2719,779,1939
130000,河北省,2018,50466,25094,25372,7444,4095,3349,39415,19685,19731,,,,,,,818,515,303,2789,800,1990
130000,河北省,2017,50934,25489,25444,7519,4236,3284,39823,19883,19940,,,,,,,810,517,293,2781,853,1928
130000,河北省,2016,51166,25832,25334,7397,4459,2938,40290,19972,20317,,,,,,,732,470,262,2748,931,1817
130000,河北省,2015,944890,470806,474084,150161,83891,66270,732106,363044,369062,,,,,,,12093,7595,4498,50122,16038,34085
130000,河北省,2014,49589,24982,24608,7465,4393,3072,,,,37879,18813,19066,1157,540,617,640,435,205,2448,801,1648
130000,河北省,2013,49745,25174,24571,8091,4744,3346,,,,37632,18752,18880,921,441,480,572,385,187,2529,851,1677
130000,河北省,2012,49895,25215,24680,8517,4903,3614,,,,37224,18673,18551,1014,470,544,507,333,174,2632,836,1796
130000,河北省,2011,50971,26109,24862,9546,5802,3744,,,,37462,18763,18699,849,386,463,520,331,189,2595,828,1767
130000,河北省,2010,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2009,51969,26120,25849,8575,5043,3532,,,,39139,19397,19743,998,454,544,514,339,175,2743,888,1855
130000,河北省,2008,52866,26656,26210,9927,5714,4213,,,,38753,19248,19505,974,432,541,470,316,154,2742,945,1797
130000,河北省,2007,52862,26507,26355,9955,5702,4253,,,,38765,19147,19618,1003,449,554,393,275,117,2746,934,1812
130000,河北省,2006,53091,26512,26580,10540,5987,4554,,,,38351,18897,19454,1103,466,637,307,217,91,2790,945,1845
130000,河北省,2005,746574,369699,376876,150192,83326,66866,,,,539078,264338,274740,15075,6269,8805,5256,3506,1750,36973,12259,24714
130000,河北省,2004,54547,27558,26989,11394,6496,4898,,,,39116,19473,19643,811,363,449,418,270,148,2808,956,1852
130000,河北省,2003,53791,27172,26620,11679,6608,5071,,,,38424,19057,19367,608,288,320,499,298,201,2581,920,1661
130000,河北省,2002,52391,26246,26145,10676,5950,4726,,,,38216,18989,19226,544,231,313,320,220,100,2636,856,1780
130000,河北省,2001,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2019,24553,12379,12173,4332,2599,1733,18537,9193,9344,,,,,,,422,264,158,1262,324,938
140000,山西省,2018,25728,13081,12647,4797,2915,1882,19149,9541,9609,,,,,,,436,262,174,1345,364,982
140000,山西省,2017,25783,13368,12415,5315,3264,2051,18832,9495,9338,,,,,,,422,256,166,1214,354,860
140000,山西省,2016,26163,13383,12780,5328,3095,2233,19253,9684,9569,,,,,,,375,239,136,1208,366,842
140000,山西省,2015,483788,249962,233827,103780,63254,40526,349701,175504,174197,,,,,,,6167,3986,2181,23780,7032,16749
140000,山西省,2014,25636,12970,12666,5668,3097,2571,,,,17950,9059,8891,505,234,271,331,209,122,1182,371,811
140000,山西省,2013,25247,13006,12241,5141,2957,2184,,,,18307,9323,8984,390,182,209,300,199,101,1109,346,763
140000,山西省,2012,25396,12932,12464,5591,3171,2420,,,,17973,9044,8930,352,153,199,319,198,121,1161,367,794
140000,山西省,2011,25737,13139,12598,5585,3212,2373,,,,18366,9244,9122,279,119,161,256,161,94,1251,403,848
140000,山西省,2010,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2009,25137,12773,12364,4985,2942,2043,,,,18217,9082,9135,415,180,235,227,169,57,1293,400,893
140000,山西省,2008,25177,12662,12515,5028,2870,2158,,,,18208,9043,9165,478,201,277,234,177,57,1228,372,857
140000,山西省,2007,25001,12684,12317,4980,2863,2117,,,,18081,9027,9054,554,244,310,221,164,57,1165,386,779
140000,山西省,2006,24918,12508,12410,4948,2787,2161,,,,18093,8983,9110,512,216,296,225,171,55,1139,351,788
140000,山西省,2005,349524,175754,173769,63950,37514,26437,,,,257429,127362,130068,7808,3326,4482,3057,2187,870,17279,5366,11913
140000,山西省,2004,25501,13049,12451,5322,3187,2135,,,,18328,9136,9192,428,183,245,193,147,46,1229,396,833
140000,山西省,2003,25082,12755,12327,4681,2804,1877,,,,18392,9190,9203,528,229,299,232,160,72,1249,373,876
140000,山西省,2002,24847,12756,12091,4928,2982,1946,,,,17856,8966,8890,461,175,286,262,204,58,1340,430,910
140000,山西省,2001,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,17171,8832,8339,2940,1711,1229,13004,6662,6342,,,,,,,432,260,172,795,199,596
150000,内蒙古自治区,2018,18023,9179,8844,2846,1746,1099,13950,6979,6970,,,,,,,420,244,176,807,209,599
150000,内蒙古自治区,2017,18025,9028,8997,2951,1601,1350,13865,7008,6857,,,,,,,355,198,158,854,222,632
150000,内蒙古自治区,2016,18431,9303,9128,3415,1799,1615,13801,7055,6746,,,,,,,351,202,149,865,247,618
150000,内蒙古自治区,2015,339221,172510,166711,63020,34966,28053,251804,128249,123555,,,,,,,6753,3971,2782,17084,5017,12067
150000,内蒙古自治区,2014,17869,9069,8801,2875,1687,1188,,,,13185,6657,6528,519,254,266,374,221,153,916,250,666
150000,内蒙古自治区,2013,17782,9223,8560,3075,1874,1201,,,,13217,6720,6497,367,176,191,286,183,103,837,269,568
150000,内蒙古自治区,2012,17897,9132,8765,3301,1851,1450,,,,13168,6706,6462,364,162,203,277,172,106,786,242,544
150000,内蒙古自治区,2011,18303,9081,9222,3767,1876,1891,,,,13137,6656,6482,348,157,192,281,170,111,769,222,547
150000,内蒙古自治区,2010,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2009,18440,9394,9045,3116,1854,1262,,,,13780,6913,6866,425,190,236,246,155,91,873,283,590
150000,内蒙古自治区,2008,18565,9484,9081,3109,1841,1269,,,,13984,7039,6945,394,172,222,220,141,80,857,291,566
150000,内蒙古自治区,2007,18604,9374,9230,3171,1809,1362,,,,13901,6948,6953,407,173,234,216,134,82,909,310,599
150000,内蒙古自治区,2006,18581,9409,9172,3266,1875,1390,,,,13804,6923,6881,420,188,232,203,130,73,889,293,596
150000,内蒙古自治区,2005,262000,133393,128607,44045,26679,17367,,,,197268,98619,98649,6217,2730,3487,3024,1823,1201,11446,3541,7905
150000,内蒙古自治区,2004,19256,9883,9373,3574,2124,1450,,,,14247,7192,7055,325,145,180,203,123,79,908,299,609
150000,内蒙古自治区,2003,19223,9815,9408,3519,2136,1383,,,,14135,7073,7062,377,161,216,236,146,90,956,299,657
150000,内蒙古自治区,2002,18989,9727,9262,3357,2016,1340,,,,14130,7085,7045,347,158,189,237,151,86,919,318,601
150000,内蒙古自治区,2001,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2019,30354,15166,15189,4495,2608,1887,22650,11351,11299,,,,,,,1291,680,611,1919,527,1393
210000,辽宁省,2018,32116,16024,16092,5125,2867,2259,23739,11947,11793,,,,,,,1304,671,632,1947,539,1408
210000,辽宁省,2017,32320,16076,16244,5385,2945,2441,23868,11970,11898,,,,,,,1180,614,566,1887,547,1340
210000,辽宁省,2016,32768,16513,16254,5355,3132,2223,24269,12147,12123,,,,,,,1221,660,561,1923,576,1347
210000,辽宁省,2015,608639,303430,305209,107935,61483,46453,441982,219656,222325,,,,,,,20972,11009,9963,36979,10869,26110
210000,辽宁省,2014,32518,16410,16106,5854,3448,2405,,,,22966,11472,11494,720,354,365,1122,585,537,1856,551,1305
210000,辽宁省,2013,32457,16354,16103,7060,3940,3120,,,,22149,11100,11050,542,260,282,992,532,460,1714,523,1191
210000,辽宁省,2012,32819,16446,16373,7714,4227,3488,,,,21969,10971,10998,514,242,272,855,442,413,1767,565,1202
210000,辽宁省,2011,33193,16656,16537,5685,3268,2417,,,,23998,12005,11992,611,287,324,1004,496,509,1895,600,1295
210000,辽宁省,2010,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2009,34186,17054,17132,5578,3155,2423,,,,25251,12545,12706,678,314,364,756,424,332,1923,616,1307
210000,辽宁省,2008,34259,17052,17207,5481,3128,2353,,,,25353,12563,12790,662,297,365,775,421,354,1988,642,1345
210000,辽宁省,2007,34334,17168,17165,5698,3299,2400,,,,25191,12496,12694,675,319,356,821,457,364,1949,597,1352
210000,辽宁省,2006,34316,17213,17103,5825,3400,2425,,,,25157,12480,12677,716,346,370,725,385,340,1893,602,1291
210000,辽宁省,2005,479167,238190,240977,75060,43118,31942,,,,356012,176046,179966,13369,6372,6997,9489,5077,4411,25238,7578,17660
210000,辽宁省,2004,35385,17649,17736,6310,3537,2773,,,,25762,12852,12910,653,299,354,754,409,345,1906,551,1354
210000,辽宁省,2003,35441,17632,17809,6150,3461,2689,,,,25878,12876,13002,724,360,364,783,415,368,1906,519,1387
210000,辽宁省,2002,35077,17605,17472,6217,3534,2682,,,,25694,12832,12863,585,272,313,704,383,322,1878,585,1293
210000,辽宁省,2001,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2019,18474,9234,9240,2499,1475,1024,13970,6979,6990,,,,,,,831,458,373,1174,322,853
220000,吉林省,2018,19448,9754,9694,2671,1572,1099,14829,7457,7373,,,,,,,779,412,367,1169,313,856
220000,吉林省,2017,19634,9859,9775,2665,1567,1097,15126,7596,7530,,,,,,,729,386,343,1115,310,805
220000,吉林省,2016,20043,10116,9927,2940,1712,1228,15254,7668,7586,,,,,,,735,410,325,1114,326,788
220000,吉林省,2015,377159,189456,187704,60802,34868,25934,279905,139474,140431,,,,,,,12628,7114,5514,22300,7197,15103
220000,吉林省,2014,19939,10117,9822,2892,1719,1173,,,,14622,7345,7277,688,325,363,635,367,268,1102,361,741
220000,吉林省,2013,20038,10293,9744,3096,1863,1234,,,,14817,7493,7324,360,175,185,678,399,279,1087,364,724
220000,吉林省,2012,20139,10194,9945,4090,2323,1767,,,,14295,7128,7167,326,153,174,555,310,245,873,281,591
220000,吉林省,2011,20501,10402,10099,3353,1945,1408,,,,15034,7511,7523,443,221,222,601,342,259,1071,383,688
