省份编码,省份,年份,人口数(人口抽样调查)(人),男性人口数(人口抽样调查)(人),女性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在本乡、镇、街道人口数(人口抽样调查)(人),住本乡、镇、街道，户口在本乡、镇、街道男性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上人口数(人口抽样调查)(人),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查)(人),住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上女性人口数(人口抽样调查)(人),住本乡、镇、街道，户口待定人口数(人口抽样调查)(人),住本乡、镇、街道，户口待定男性人口数(人口抽样调查)(人),住本乡、镇、街道，户口待定女性人口数(人口抽样调查)(人),居住在港澳台或国外，户口在本乡、镇、街道人口数(人口抽样调查)(人),居住在港澳台或国外，户口在本乡、镇、街道男性人口数(人口抽样调查)(人),居住在港澳台或国外，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)
210000,辽宁省,2016,36668,18503,18165,31115,15742,15373,5447,2701,2746,53,29,23,53,31,22
210000,辽宁省,2015,680859,341193,339666,546049,275840,270210,132238,63972,68266,1419,771,648,1154,611,543
210000,辽宁省,2014,36236,18363,17873,29323,14987,14336,6751,3301,3450,71,33,38,91,42,49
210000,辽宁省,2013,36231,18292,17939,28085,14609,13476,8028,3633,4395,63,26,37,55,25,30
210000,辽宁省,2012,36621,18359,18263,27169,13687,13482,9333,4623,4709,77,33,44,43,16,27
210000,辽宁省,2011,37447,18846,18601,29685,15024,14660,7593,3736,3857,98,50,48,72,36,36
210000,辽宁省,2010,,,,,,,,,,,,,,,
210000,辽宁省,2009,38429,19344,19085,35669,18012,17657,2663,1287,1376,97,45,52,,,
210000,辽宁省,2008,38988,19583,19405,35299,17835,17464,,,,99,49,50,,,
210000,辽宁省,2007,39317,19778,19539,34906,17638,17268,,,,121,57,63,,,
210000,辽宁省,2006,39231,19811,19420,34355,17444,16912,,,,119,69,50,,,
210000,辽宁省,2005,558727,280107,278620,471471,237686,233785,85339,41457,43882,1875,941,934,43,24,19
210000,辽宁省,2004,41100,20614,20486,37008,18555,18454,,,,88,45,43,,,
210000,辽宁省,2003,41549,20779,20770,36955,18542,18413,,,,150,66,84,,,
210000,辽宁省,2002,41608,21004,20604,36606,18524,18082,,,,168,83,86,,,
210000,辽宁省,2001,,,,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,,,,
220000,吉林省,2019,20939,10570,10369,14980,7683,7297,5418,2610,2808,22,12,10,519,266,253
220000,吉林省,2018,22173,11198,10975,16542,8464,8077,5151,2496,2655,37,14,22,443,223,220
220000,吉林省,2017,22424,11346,11078,17485,8933,8551,4747,2308,2440,56,26,30,136,79,57
220000,吉林省,2016,22945,11665,11280,18604,9559,9045,4173,2021,2152,30,13,18,138,72,66
220000,吉林省,2015,428511,216398,212112,344540,175787,168753,81553,39339,42214,622,308,314,1796,964,832
220000,吉林省,2014,22715,11561,11154,19037,9808,9229,3407,1612,1795,47,25,22,223,115,108
220000,吉林省,2013,22707,11696,11010,19086,9933,9153,3352,1624,1727,51,27,24,218,112,106
220000,吉林省,2012,22949,11670,11279,18600,9553,9047,4134,2009,2125,58,30,27,158,78,79
220000,吉林省,2011,23490,12002,11488,19104,9855,9249,4153,2034,2119,89,45,44,144,68,75
220000,吉林省,2010,,,,,,,,,,,,,,,
220000,吉林省,2009,24349,12465,11884,22932,11770,11162,1365,666,699,52,29,23,,,
220000,吉林省,2008,24764,12527,12237,23010,11693,11317,,,,43,25,18,,,
220000,吉林省,2007,25067,12697,12370,23158,11754,11404,,,,57,27,29,,,
220000,吉林省,2006,25243,12772,12471,22606,11482,11123,,,,79,41,38,,,
220000,吉林省,2005,359512,182545,176968,324453,165421,159032,34466,16827,17639,559,278,282,35,20,15
220000,吉林省,2004,26397,13226,13170,25162,12638,12524,,,,34,14,20,,,
220000,吉林省,2003,26684,13387,13297,25088,12636,12452,,,,26,11,15,,,
220000,吉林省,2002,26693,13457,13236,25056,12664,12392,,,,56,28,28,,,
220000,吉林省,2001,,,,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,,,,
230000,黑龙江省,2019,29177,14788,14389,24928,12711,12217,4150,2013,2137,28,14,14,71,50,21
230000,黑龙江省,2018,30946,15697,15249,26170,13370,12801,4674,2272,2402,37,16,21,64,39,25
230000,黑龙江省,2017,31251,15919,15332,26338,13550,12788,4703,2262,2441,172,88,84,38,19,20
230000,黑龙江省,2016,31874,16104,15770,28037,14289,13748,3749,1767,1983,63,33,29,25,15,10
230000,黑龙江省,2015,592705,298696,294010,513916,262252,251664,75798,34874,40924,1624,847,777,1368,723,645
230000,黑龙江省,2014,31632,15829,15803,25867,13192,12675,5671,2583,3088,57,29,28,37,25,12
230000,黑龙江省,2013,31651,16055,15596,26678,13634,13044,4889,2376,2512,58,25,33,26,20,6
230000,黑龙江省,2012,31990,16283,15707,27536,14128,13408,4311,2088,2223,82,32,51,61,35,26
230000,黑龙江省,2011,32757,16483,16273,27678,14177,13501,4861,2199,2662,141,66,75,77,41,36
230000,黑龙江省,2010,,,,,,,,,,,,,,,
230000,黑龙江省,2009,34065,17310,16755,30813,15723,15089,3177,1541,1636,76,45,30,,,
230000,黑龙江省,2008,34688,17540,17149,31283,15877,15405,,,,68,39,29,,,
230000,黑龙江省,2007,35193,17781,17412,31488,15941,15547,,,,99,54,45,,,
230000,黑龙江省,2006,35504,18034,17470,31526,16078,15448,,,,126,71,55,,,
230000,黑龙江省,2005,505647,255867,249780,456208,231467,224742,48062,23682,24380,1339,694,645,39,25,14
230000,黑龙江省,2004,37241,18908,18332,34760,17688,17072,,,,130,67,63,,,
230000,黑龙江省,2003,37693,19172,18521,34693,17634,17059,,,,221,121,99,,,
230000,黑龙江省,2002,37806,19367,18439,35358,18107,17251,,,,96,39,57,,,
230000,黑龙江省,2001,,,,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,,,,
310000,上海市,2019,18785,9748,9038,8472,4244,4228,10154,5431,4723,34,15,19,125,57,68
310000,上海市,2018,19877,10256,9621,9287,4666,4621,10398,5499,4899,36,18,19,156,74,82
310000,上海市,2017,19826,10085,9740,9116,4578,4538,10465,5387,5078,76,39,37,168,81,87
310000,上海市,2016,20188,10382,9806,8873,4487,4386,11110,5799,5310,45,21,24,161,74,87
310000,上海市,2015,373956,194485,179471,162549,80782,81767,208345,112335,96010,818,396,422,2244,971,1273
310000,上海市,2014,20019,10334,9685,7518,3742,3776,12386,6532,5853,52,31,21,64,29,35
310000,上海市,2013,19932,10268,9664,7839,3891,3948,11986,6318,5668,30,20,10,76,38,37
310000,上海市,2012,19862,10349,9513,7218,3627,3591,12498,6649,5849,57,31,27,88,42,46
310000,上海市,2011,20056,10644,9412,6996,3508,3488,12917,7066,5851,60,34,26,82,36,46
310000,上海市,2010,,,,,,,,,,,,,,,
310000,上海市,2009,16814,8363,8452,11860,5918,5943,4934,2434,2500,20,11,9,,,
310000,上海市,2008,16854,8435,8420,11372,5745,5627,,,,33,17,16,,,
310000,上海市,2007,16708,8325,8384,11651,5861,5790,,,,43,22,21,,,
310000,上海市,2006,16525,8209,8316,11222,5639,5584,,,,31,16,15,,,
310000,上海市,2005,235351,118419,116932,141227,70431,70796,93546,47711,45836,549,264,285,29,13,16
310000,上海市,2004,16702,8208,8495,14000,6964,7036,,,,82,37,46,,,
310000,上海市,2003,16061,8024,8038,14300,7212,7088,,,,54,27,27,,,
310000,上海市,2002,16012,7873,8139,12551,6141,6411,,,,96,61,35,,,
310000,上海市,2001,,,,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,,,,
320000,江苏省,2019,62652,31847,30805,47382,23705,23677,14983,7988,6995,171,85,86,116,69,47
320000,江苏省,2018,65996,33555,32441,50681,25393,25287,15025,8004,7021,171,90,82,119,68,51
320000,江苏省,2017,66100,33542,32558,51463,25862,25601,14090,7373,6717,376,190,186,172,117,55
320000,江苏省,2016,66998,33738,33260,53868,27174,26694,12858,6405,6452,184,99,85,88,61,27
320000,江苏省,2015,1238192,628275,609917,931448,462056,469392,301568,163289,138279,3369,1741,1629,1807,1190,617
320000,江苏省,2014,65692,33116,32576,50874,25604,25270,14372,7239,7133,282,160,122,164,113,52
320000,江苏省,2013,65526,32754,32772,53232,26527,26705,11806,5965,5841,360,189,172,127,73,54
320000,江苏省,2012,66083,32859,33225,52206,25933,26273,13299,6608,6690,465,249,216,114,68,45
320000,江苏省,2011,67485,33888,33597,50927,25324,25603,15811,8125,7686,588,318,270,160,121,39
320000,江苏省,2010,,,,,,,,,,,,,,,
320000,江苏省,2009,68371,33718,34653,60236,29555,30681,7692,3914,3778,442,249,194,,,
320000,江苏省,2008,69168,33709,35459,61187,29897,31290,,,,342,195,147,,,
320000,江苏省,2007,69503,33967,35536,61976,30388,31588,,,,323,157,166,,,
320000,江苏省,2006,69474,33832,35642,62813,30528,32285,,,,317,167,149,,,
320000,江苏省,2005,989454,485494,503960,838581,410231,428350,144242,71882,72360,6477,3277,3200,154,104,50
320000,江苏省,2004,72295,35881,36415,64942,32173,32769,,,,585,280,305,,,
320000,江苏省,2003,72967,36113,36854,66048,32713,33335,,,,408,195,213,,,
320000,江苏省,2002,72966,36538,36428,64702,32286,32416,,,,511,260,251,,,
320000,江苏省,2001,,,,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,,,,
330000,浙江省,2019,45420,23546,21874,28446,14338,14108,16481,8938,7543,141,80,61,352,190,162
330000,浙江省,2018,47034,24418,22616,29987,15100,14887,16552,9058,7494,193,108,85,301,151,150
330000,浙江省,2017,46573,24550,22023,31407,15939,15467,14741,8389,6352,245,129,116,180,92,88
330000,浙江省,2016,46831,24377,22454,32066,16216,15849,14502,8032,6470,157,81,76,106,48,58
330000,浙江省,2015,859773,445155,414618,553502,277305,276197,298662,163908,134754,3381,1743,1638,4227,2198,2029
330000,浙江省,2014,45456,23808,21648,27282,13799,13483,17815,9819,7996,158,79,79,202,111,91
330000,浙江省,2013,45376,23512,21864,26392,13378,13014,18300,9773,8527,219,111,108,464,250,215
330000,浙江省,2012,45700,23361,22338,27473,13606,13867,17548,9398,8150,265,145,120,414,213,201
330000,浙江省,2011,46674,22833,23842,27804,13881,13923,18307,8672,9635,312,148,164,252,132,120
330000,浙江省,2010,,,,,,,,,,,,,,,
330000,浙江省,2009,45472,22954,22519,37700,18981,18719,7438,3806,3632,334,166,168,,,
330000,浙江省,2008,45900,23358,22543,37722,19094,18627,,,,243,115,128,,,
330000,浙江省,2007,45844,23447,22397,37840,19270,18569,,,,243,131,112,,,
330000,浙江省,2006,45523,22972,22551,37827,19024,18804,,,,255,126,128,,,
330000,浙江省,2005,648340,328876,319465,500993,251836,249157,142667,74669,67998,4626,2339,2287,54,30,23
330000,浙江省,2004,45682,23141,22541,37780,19209,18570,,,,354,175,179,,,
330000,浙江省,2003,45934,23239,22695,38440,19523,18916,,,,221,102,119,,,
330000,浙江省,2002,45769,23210,22559,38464,19578,18886,,,,277,130,147,,,
330000,浙江省,2001,,,,,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,,,,,
340000,安徽省,2019,49562,25042,24519,40839,20603,20236,8531,4340,4191,167,88,79,25,12,13
340000,安徽省,2018,51812,26667,25145,43297,22141,21156,8242,4389,3853,254,128,127,19,10,9
340000,安徽省,2017,51658,26449,25209,44314,22720,21594,6796,3446,3350,525,269,256,23,14,9
340000,安徽省,2016,52056,26727,25329,46350,23932,22418,5466,2688,2777,225,96,128,16,10,6
340000,安徽省,2015,955845,489359,466486,809375,411542,397833,142132,75739,66393,4089,1929,2159,249,148,101
340000,安徽省,2014,50201,24924,25277,42204,21476,20728,7610,3254,4355,378,186,191,9,7,2
340000,安徽省,2013,49765,25383,24382,42915,22084,20830,6341,3045,3297,488,240,247,22,14,7
340000,安徽省,2012,49963,26032,23931,42183,21472,20711,7148,4239,2909,614,309,305,18,12,7
340000,安徽省,2011,50989,25834,25155,43411,22018,21393,6774,3391,3384,631,338,293,172,86,86
340000,安徽省,2010,,,,,,,,,,,,,,,
340000,安徽省,2009,54638,28195,26443,51961,26758,25203,2315,1248,1067,362,189,173,,,
340000,安徽省,2008,55498,28469,27029,52576,26870,25706,,,,258,136,122,,,
340000,安徽省,2007,56247,28463,27783,53220,27002,26218,,,,251,142,110,,,
340000,安徽省,2006,56880,28953,27928,53328,27212,26116,,,,300,155,145,,,
340000,安徽省,2005,810095,406651,403444,753916,377898,376018,53222,27249,25973,2944,1496,1448,13,8,5
340000,安徽省,2004,62575,32108,30467,57689,29620,28070,,,,302,164,138,,,
340000,安徽省,2003,62652,32243,30409,57166,29275,27891,,,,295,156,139,,,
340000,安徽省,2002,62783,32292,30492,59770,30797,28973,,,,235,123,112,,,
340000,安徽省,2001,,,,,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,,,,,
350000,福建省,2019,30869,15993,14876,20479,10364,10115,9718,5258,4459,193,106,87,479,265,214
350000,福建省,2018,32309,16806,15503,21844,11117,10727,9926,5405,4521,242,122,120,297,162,135
350000,福建省,2017,32221,16435,15786,21368,10800,10568,10143,5235,4908,429,233,196,281,167,114
350000,福建省,2016,32474,16540,15934,22138,11099,11038,9707,5090,4617,300,163,137,330,187,142
350000,福建省,2015,596224,306388,289836,396264,198552,197713,188373,101909,86464,6261,2970,3291,5326,2958,2368
350000,福建省,2014,31409,16349,15060,18502,9446,9056,12176,6514,5662,429,223,206,304,166,137
350000,福建省,2013,31148,16165,14982,19047,9768,9279,11385,6039,5346,443,205,238,273,152,121
350000,福建省,2012,31273,15783,15490,19639,9906,9733,10830,5463,5367,458,226,232,346,187,159
350000,福建省,2011,31783,15680,16103,18905,9577,9328,12106,5717,6389,468,227,241,303,158,145
350000,福建省,2010,,,,,,,,,,,,,,,
350000,福建省,2009,32097,16048,16049,25971,12897,13075,5698,2938,2760,428,213,214,,,
350000,福建省,2008,32484,16342,16142,26620,13219,13401,,,,395,209,186,,,
350000,福建省,2007,32754,16463,16291,27267,13673,13594,,,,383,201,182,,,
350000,福建省,2006,32855,16593,16262,27550,13885,13665,,,,297,137,160,,,
350000,福建省,2005,467922,235254,232669,364564,182054,182510,98757,50939,47818,4370,2114,2256,232,147,85
350000,福建省,2004,34048,17093,16955,26780,13574,13206,,,,293,139,154,,,
350000,福建省,2003,34261,17516,16745,26990,13749,13241,,,,245,100,145,,,
350000,福建省,2002,34127,17753,16374,26435,13590,12845,,,,228,99,129,,,
350000,福建省,2001,,,,,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,,,,,
360000,江西省,2019,36318,18541,17778,30745,15868,14877,5456,2620,2836,107,50,57,10,2,8
360000,江西省,2018,38080,19579,18500,34636,17898,16738,3249,1564,1686,176,107,70,18,11,7
360000,江西省,2017,38163,19840,18323,35150,18315,16835,2776,1401,1375,230,121,109,7,3,4
360000,江西省,2016,38576,20069,18506,34634,17957,16678,3812,2049,1764,127,64,63,2,,2
360000,江西省,2015,710552,365820,344733,609247,313638,295609,98487,50816,47671,2660,1277,1383,159,88,70
360000,江西省,2014,37486,19573,17913,33979,17677,16302,3333,1806,1528,162,86,76,10,4,6
360000,江西省,2013,37321,19423,17898,33680,17374,16306,3335,1896,1439,296,146,150,10,6,3
360000,江西省,2012,37580,19481,18099,34023,17456,16567,3179,1826,1353,369,191,177,9,7,2
360000,江西省,2011,38348,20190,18157,33266,17268,15998,4499,2629,1870,573,288,285,11,6,5
360000,江西省,2010,,,,,,,,,,,,,,,
360000,江西省,2009,39186,20050,19136,36944,18963,17981,1839,887,952,403,200,203,,,
360000,江西省,2008,39623,20253,19370,37527,19213,18313,,,,250,136,114,,,
360000,江西省,2007,39945,20425,19519,37339,19103,18237,,,,255,142,113,,,
360000,江西省,2006,40069,20535,19534,37285,19152,18133,,,,308,152,155,,,
360000,江西省,2005,570672,290449,280223,527132,268448,258684,39027,19761,19266,4503,2233,2270,10,6,4
360000,江西省,2004,41524,21387,20137,37870,19529,18340,,,,342,163,179,,,
360000,江西省,2003,41741,21396,20345,37263,19077,18186,,,,316,163,153,,,
360000,江西省,2002,41521,21372,20150,38102,19618,18484,,,,406,210,196,,,
360000,江西省,2001,,,,,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,,,,,
370000,山东省,2019,78318,39531,38787,66074,33334,32740,11957,6009,5949,185,124,61,102,65,37
370000,山东省,2018,82408,41363,41045,71072,35806,35266,11021,5409,5612,197,88,109,118,60,58
370000,山东省,2017,82502,41595,40907,69871,35516,34355,12071,5790,6281,451,213,237,109,76,34
370000,山东省,2016,83464,42579,40886,72028,36978,35050,11192,5467,5725,189,103,86,55,30,25
370000,山东省,2015,1530763,782050,748712,1282718,649461,633257,244074,130520,113554,2883,1420,1463,1088,649,439
370000,山东省,2014,80788,40923,39865,71543,36240,35303,8794,4408,4386,344,204,140,107,71,36
370000,山东省,2013,80331,40928,39403,71213,36188,35024,8627,4460,4167,402,233,169,89,47,43
370000,山东省,2012,80810,40832,39978,69834,35231,34603,10307,5234,5072,552,305,247,117,61,56
370000,山东省,2011,82336,41319,41017,71990,36126,35864,9681,4878,4803,519,239,280,145,76,69
370000,山东省,2010,,,,,,,,,,,,,,,
370000,山东省,2009,83867,42411,41456,80225,40542,39683,3343,1705,1639,299,165,134,,,
370000,山东省,2008,84970,42513,42457,80614,40268,40346,,,,213,132,81,,,
370000,山东省,2007,85696,43033,42662,80475,40203,40271,,,,307,170,138,,,
370000,山东省,2006,85953,43164,42789,80055,39970,40085,,,,245,124,121,,,
