省份编码,省份,年份,人口数(人口抽样调查)(人),男性人口数(人口抽样调查)(人),女性人口数(人口抽样调查)(人),性别比(女=100)(人口抽样调查)(女=100)
110000,北京市,2019,16666,8398,8269,101.56
110000,北京市,2018,17673,8781,8892,98.75
110000,北京市,2017,17801,9017,8784,102.65
110000,北京市,2016,18132,9324,8808,105.85
110000,北京市,2015,335775,175460,160315,109.45
110000,北京市,2014,17757,8977,8780,102.24
110000,北京市,2013,17454,9047,8407,107.62
110000,北京市,2012,17266,8851,8415,105.18
110000,北京市,2011,17246,8796,8450,104.09
110000,北京市,2010,,,,
110000,北京市,2009,15096,7705,7390,104.27
110000,北京市,2008,14813,7530,7284,103.38
110000,北京市,2007,14554,7243,7311,99.06
110000,北京市,2006,14294,7046,7248,97.21
110000,北京市,2005,203582,103122,100461,102.65
110000,北京市,2004,14213,7280,6933,105.01
110000,北京市,2003,14070,7242,6827,106.08
110000,北京市,2002,13723,7259,6464,112.29
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,12095,6675,5419,123.17
120000,天津市,2018,12794,6863,5931,115.72
120000,天津市,2017,12778,6725,6053,111.1
120000,天津市,2016,13046,6961,6085,114.39
120000,天津市,2015,239370,130778,108592,120.43
120000,天津市,2014,12517,6269,6248,100.34
120000,天津市,2013,12150,6040,6109,98.87
120000,天津市,2012,11791,5854,5937,98.61
120000,天津市,2011,11577,5754,5822,98.83
120000,天津市,2010,,,,
120000,天津市,2009,10473,5298,5175,102.38
120000,天津市,2008,10114,4986,5129,97.21
120000,天津市,2007,9896,4956,4940,100.32
120000,天津市,2006,9694,4768,4926,96.81
120000,天津市,2005,138060,69308,68752,100.81
120000,天津市,2004,9868,4894,4975,98.37
120000,天津市,2003,9956,4914,5043,97.44
120000,天津市,2002,9961,4948,5013,98.7
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,59087,30160,28927,104.26
130000,河北省,2018,61907,31210,30697,101.67
130000,河北省,2017,62086,31523,30563,103.14
130000,河北省,2016,62750,32082,30668,104.61
130000,河北省,2015,1155542,583919,571624,102.15
130000,河北省,2014,60936,31198,29738,104.91
130000,河北省,2013,60517,31069,29449,105.5
130000,河北省,2012,60806,31087,29719,104.6
130000,河北省,2011,61861,32083,29778,107.74
130000,河北省,2010,,,,
130000,河北省,2009,62243,31671,30572,103.6
130000,河北省,2008,62981,32103,30879,103.96
130000,河北省,2007,63501,32330,31171,103.72
130000,河北省,2006,63675,32179,31495,102.17
130000,河北省,2005,906856,455500,451355,100.92
130000,河北省,2004,66078,33769,32309,104.52
130000,河北省,2003,66569,33965,32604,104.17
130000,河北省,2002,66463,33751,32712,103.18
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,29012,14672,14339,102.32
140000,山西省,2018,30481,15593,14888,104.73
140000,山西省,2017,30550,15887,14664,108.34
140000,山西省,2016,30910,15909,15002,106.04
140000,山西省,2015,569491,295031,274461,107.49
140000,山西省,2014,30107,15298,14809,103.3
140000,山西省,2013,29957,15381,14576,105.52
140000,山西省,2012,30128,15393,14736,104.46
140000,山西省,2011,30698,15718,14980,104.93
140000,山西省,2010,,,,
140000,山西省,2009,30378,15503,14875,104.22
140000,山西省,2008,30779,15611,15167,102.93
140000,山西省,2007,31069,15829,15240,103.87
140000,山西省,2006,31182,15766,15416,102.27
140000,山西省,2005,444096,225294,218802,102.97
140000,山西省,2004,32352,16604,15748,105.44
140000,山西省,2003,32558,16677,15881,105.01
140000,山西省,2002,32455,16711,15744,106.14
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,19744,10191,9553,106.68
150000,内蒙古自治区,2018,20781,10608,10174,104.26
150000,内蒙古自治区,2017,20849,10465,10384,100.79
150000,内蒙古自治区,2016,21136,10675,10461,102.05
150000,内蒙古自治区,2015,390222,199239,190983,104.32
150000,内蒙古自治区,2014,20671,10533,10138,103.9
150000,内蒙古自治区,2013,20613,10699,9914,107.91
150000,内蒙古自治区,2012,20775,10613,10162,104.44
150000,内蒙古自治区,2011,21203,10540,10663,98.85
150000,内蒙古自治区,2010,,,,
150000,内蒙古自治区,2009,21499,11012,10487,105.01
150000,内蒙古自治区,2008,21816,11185,10631,105.21
150000,内蒙古自治区,2007,22066,11201,10865,103.08
150000,内蒙古自治区,2006,22180,11310,10870,104.05
150000,内蒙古自治区,2005,315884,161560,154324,104.69
150000,内蒙古自治区,2004,23233,11941,11292,105.74
150000,内蒙古自治区,2003,23510,12006,11505,104.36
150000,内蒙古自治区,2002,23586,12128,11458,105.84
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,33800,16960,16840,100.71
210000,辽宁省,2018,35744,17905,17839,100.37
210000,辽宁省,2017,35969,17996,17973,100.12
210000,辽宁省,2016,36668,18503,18165,101.86
210000,辽宁省,2015,680859,341193,339666,100.45
210000,辽宁省,2014,36236,18363,17873,102.74
210000,辽宁省,2013,36231,18292,17939,101.97
210000,辽宁省,2012,36621,18359,18263,100.53
210000,辽宁省,2011,37447,18846,18601,101.32
210000,辽宁省,2010,,,,
210000,辽宁省,2009,38429,19344,19085,101.36
210000,辽宁省,2008,38988,19583,19405,100.92
210000,辽宁省,2007,39317,19778,19539,101.22
210000,辽宁省,2006,39231,19811,19420,102.02
210000,辽宁省,2005,558727,280107,278620,100.53
210000,辽宁省,2004,41100,20614,20486,100.62
210000,辽宁省,2003,41549,20779,20770,100.05
210000,辽宁省,2002,41608,21004,20604,101.94
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,20939,10570,10369,101.94
220000,吉林省,2018,22173,11198,10975,102.03
220000,吉林省,2017,22424,11346,11078,102.42
220000,吉林省,2016,22945,11665,11280,103.41
220000,吉林省,2015,428511,216398,212112,102.02
220000,吉林省,2014,22715,11561,11154,103.65
220000,吉林省,2013,22707,11696,11010,106.23
220000,吉林省,2012,22949,11670,11279,103.47
220000,吉林省,2011,23490,12002,11488,104.48
220000,吉林省,2010,,,,
220000,吉林省,2009,24349,12465,11884,104.89
220000,吉林省,2008,24764,12527,12237,102.37
220000,吉林省,2007,25067,12697,12370,102.64
220000,吉林省,2006,25243,12772,12471,102.42
220000,吉林省,2005,359512,182545,176968,103.15
220000,吉林省,2004,26397,13226,13170,100.43
220000,吉林省,2003,26684,13387,13297,100.67
220000,吉林省,2002,26693,13457,13236,101.67
220000,吉林省,2001,,,,
220000,吉林省,2000,,,,
230000,黑龙江省,2019,29177,14788,14389,102.77
230000,黑龙江省,2018,30946,15697,15249,102.93
230000,黑龙江省,2017,31251,15919,15332,103.83
230000,黑龙江省,2016,31874,16104,15770,102.11
230000,黑龙江省,2015,592705,298696,294010,101.59
230000,黑龙江省,2014,31632,15829,15803,100.16
230000,黑龙江省,2013,31651,16055,15596,102.94
230000,黑龙江省,2012,31990,16283,15707,103.66
230000,黑龙江省,2011,32757,16483,16273,101.29
230000,黑龙江省,2010,,,,
230000,黑龙江省,2009,34065,17310,16755,103.31
230000,黑龙江省,2008,34688,17540,17149,102.28
230000,黑龙江省,2007,35193,17781,17412,102.12
230000,黑龙江省,2006,35504,18034,17470,103.23
230000,黑龙江省,2005,505647,255867,249780,102.44
230000,黑龙江省,2004,37241,18908,18332,103.14
230000,黑龙江省,2003,37693,19172,18521,103.52
230000,黑龙江省,2002,37806,19367,18439,105.04
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,18785,9748,9038,107.86
310000,上海市,2018,19877,10256,9621,106.61
310000,上海市,2017,19826,10085,9740,103.54
310000,上海市,2016,20188,10382,9806,105.87
310000,上海市,2015,373956,194485,179471,108.37
310000,上海市,2014,20019,10334,9685,106.7
310000,上海市,2013,19932,10268,9664,106.24
310000,上海市,2012,19862,10349,9513,108.78
310000,上海市,2011,20056,10644,9412,113.09
310000,上海市,2010,,,,
310000,上海市,2009,16814,8363,8452,98.95
310000,上海市,2008,16854,8435,8420,100.18
310000,上海市,2007,16708,8325,8384,99.29
310000,上海市,2006,16525,8209,8316,98.71
310000,上海市,2005,235351,118419,116932,101.27
310000,上海市,2004,16702,8208,8495,96.62
310000,上海市,2003,16061,8024,8038,99.82
310000,上海市,2002,16012,7873,8139,96.73
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,62652,31847,30805,103.38
320000,江苏省,2018,65996,33555,32441,103.43
320000,江苏省,2017,66100,33542,32558,103.02
320000,江苏省,2016,66998,33738,33260,101.44
320000,江苏省,2015,1238192,628275,609917,103.01
320000,江苏省,2014,65692,33116,32576,101.66
320000,江苏省,2013,65526,32754,32772,99.94
320000,江苏省,2012,66083,32859,33225,98.9
320000,江苏省,2011,67485,33888,33597,100.86
320000,江苏省,2010,,,,
320000,江苏省,2009,68371,33718,34653,97.3
