年份,体育系统机构数,体育系统体育行政机关机构数,体育系统运动项目管理部门机构数,体育系统本科院校机构数,体育系统职业、运动技术学院机构数,体育系统体育运动学校机构数,体育系统竞技体校机构数,体育系统少儿体育运动学校(业余体校)机构数,体育系统单项运动学校机构数,体育系统训练基地机构数,体育系统体育场馆机构数,体育系统科研所机构数,体育系统其他事业单位机构数,体育系统其他体育系统机构数,体育系统国家级机构数,体育系统国家级体育行政机关机构数,体育系统国家级运动项目管理部门机构数,体育系统国家级本科院校机构数,体育系统国家级职业、运动技术学院机构数,体育系统国家级体育运动学校机构数,体育系统国家级竞技体校机构数,体育系统国家级少儿体育运动学校(业余体校)机构数,体育系统国家级单项运动学校机构数,体育系统国家级训练基地机构数,体育系统国家级体育场馆机构数,体育系统国家级科研所机构数,体育系统国家级其他事业单位机构数,体育系统国家级其他机构数,体育系统省级机构数,体育系统省级体育行政机关机构数,体育系统省级运动项目管理部门机构数,体育系统省级本科院校机构数,体育系统省级职业、运动技术学院机构数,体育系统省级体育运动学校机构数,体育系统省级竞技体校机构数,体育系统省级少儿体育运动学校(业余体校)机构数,体育系统省级单项运动学校机构数,体育系统省级训练基地机构数,体育系统省级体育场馆机构数,体育系统省级科研所机构数,体育系统省级其他事业单位机构数,体育系统省级其他机构数,体育系统地级机构数,体育系统地级体育行政机关机构数,体育系统地级运动项目管理部门机构数,体育系统地级本科院校机构数,体育系统地级职业、运动技术学院机构数,体育系统地级体育运动学校机构数,体育系统地级竞技体校机构数,体育系统地级少儿体育运动学校(业余体校)机构数,体育系统地级单项运动学校机构数,体育系统地级训练基地机构数,体育系统地级体育场馆机构数,体育系统地级科研所机构数,体育系统地级其他事业单位机构数,体育系统地级其他机构数,体育系统县级机构数,体育系统县级体育行政机关机构数,体育系统县级运动项目管理部门机构数,体育系统县级本科院校机构数,体育系统县级职业、运动技术学院机构数,体育系统县级体育运动学校机构数,体育系统县级竞技体校机构数,体育系统县级少儿体育运动学校(业余体校)机构数,体育系统县级单项运动学校机构数,体育系统县级训练基地机构数,体育系统县级体育场馆机构数,体育系统县级科研所机构数,体育系统县级其他事业单位机构数,体育系统县级其他机构数
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
