年份,石油储量,天然气储量,煤炭储量,铁矿储量,锰矿储量,铬矿储量,钒矿储量,原生钛铁矿储量,铜矿储量,铅矿储量,锌矿储量,铝土矿储量,镍矿储量,钨矿储量,锡矿储量,钼矿储量,锑矿储量,金矿储量,银矿储量,稀土矿储量,菱镁矿储量,普通萤石储量,硫铁矿储量,磷矿储量,钾盐储量,盐矿储量,芒硝储量,重晶石储量,玻璃硅质原料储量,石墨储量,滑石储量,高岭土储量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,350120.3,54365.46,2492.26,201.2,31033.58,407.18,951.77,23065.1,2620.99,1808.62,4439.11,100955.33,277.36,243.15,116.4,830.91,52.09,2021.54,40611.1,,100772.52,4229.21,127809.0,32.41,56211.97,842.47,54.9,3626.21,196374.73,7321.51,8204.62,69285.05
2015,349610.7,51939.5,2440.1,207.6,27626.2,419.8,887.3,21434.0,2721.8,1738.8,4102.7,99758.2,287.3,233.1,109.2,832.5,47.9,1986.7,39387.0,,103923.6,4081.7,131101.3,33.1,57582.3,827.9,55.0,3703.1,198956.7,5516.4,8121.7,57402.8
2014,343335.0,49451.78,2399.93,206.56,21415.44,419.75,900.17,21611.22,2836.36,1720.82,4034.06,98321.9,252.98,233.3,110.58,836.55,53.23,2016.66,38503.99,,108366.98,3975.84,133859.93,30.73,59475.91,831.7,55.13,3029.14,190392.05,4128.95,8395.39,57521.17
2013,336732.81,46428.84,2362.9,199.17,21547.74,401.47,909.91,21957.03,2751.52,1577.91,3766.18,98323.53,253.53,234.9,116.46,806.71,45.96,1865.5,37496.0,,120747.48,3680.27,130194.08,30.24,53491.55,830.19,52.07,3986.07,191594.09,5347.72,9273.9,49649.7
2012,333258.33,43789.88,2298.86,194.77,20938.18,405.01,877.49,21088.22,2734.41,1454.65,3490.74,90589.97,260.88,233.78,117.51,651.37,45.01,1866.74,37034.42,,156499.26,3712.6,134285.39,30.74,57774.78,2070.25,92.75,3585.62,198929.86,4879.39,9211.7,38143.46
2011,323967.94,40206.41,2157.89,192.76,18240.92,413.31,1230.62,24585.4,2812.43,1291.7,3124.39,105064.32,272.0,156.7,138.8,586.1,55.8,1790.4,36042.2,,185163.43,3547.2,136900.57,28.93,60800.0,2053.0,94.2,4194.8,161192.4,6229.9,11808.5,37764.63
2010,317435.3,37793.2,2793.9,222.0,19515.6,442.1,1242.6,23043.0,2870.7,1272.0,3251.4,89732.7,312.1,220.8,138.2,463.0,71.0,1863.4,36363.7,,182936.8,4055.9,159152.1,29.6,43885.6,1750.7,91.1,9498.6,146170.5,5412.3,12594.2,63933.2
2009,294919.8,37074.2,3189.6,213.0,18576.6,522.5,1258.9,23291.4,2951.0,1340.1,3838.5,83923.9,281.8,228.7,143.5,444.8,76.5,1909.7,38448.5,1859.1,207981.8,4401.3,162133.4,31.7,35840.9,1730.6,90.8,9537.2,147172.9,5432.0,12755.6,63593.1
2008,289043.0,34049.62,3261.44,226.4,23439.5,577.08,1276.57,23294.5,2891.04,1359.58,4281.69,73513.99,286.56,235.12,145.95,435.53,74.31,1868.4,40531.0,1773.19,191951.88,4464.77,177189.63,35.64,36367.66,1734.28,90.39,9658.84,143841.4,5748.88,12118.97,64186.4
2007,283253.77,32123.63,3261.26,223.64,22443.72,582.22,1309.43,22541.9,2932.11,1345.88,4250.26,75072.71,299.16,240.87,152.25,431.68,94.99,1859.74,43942.0,1837.05,193160.96,3401.48,179411.29,36.73,33752.04,1880.05,100.27,9899.89,141047.5,5480.59,11834.26,65261.87
2006,275856.8,30009.2,3334.8,220.9,22855.8,521.4,1404.4,21379.5,3069.9,1351.4,4227.1,74167.0,272.7,241.4,153.5,381.0,95.0,1995.0,45277.0,1905.9,189714.1,3477.4,184900.5,37.0,27314.9,1833.0,98.1,9838.6,139865.3,5394.9,11706.3,63567.7
2005,248972.11,28185.39,3326.35,216.04,21539.85,520.96,1323.53,21410.39,2856.44,1393.44,4269.14,73057.83,270.69,260.46,155.45,363.42,95.33,1956.64,59791.0,1968.45,173831.33,2536.8,190328.15,36.97,28891.56,1816.56,64.31,9677.09,138177.63,3881.74,10995.21,60225.89
2004,249097.9,25292.55,3373.42,217.6,29658.52,537.13,1304.8967,21385.0396,2929.0204,1314.737003,4151.492251,72069.003,278.31612,291.6306,176.7688,263.141671,84.105711,2075.073,37430.06,2093.604951,149660.425,2834.957,194987.881,38.939334,27228.87,1828.713315,70.10481,9838.96,124280.0,5277.4,9387.039,55272.01
2003,243193.6,22288.74,3342.03,212.38,20709.0,549.8,,,3003.0,1248.0,3762.5,69453.7,293.7,286.6,178.6,345.5,87.5,1981.0,38214.0,2099.3,150149.8,3052.9,196018.2,39.0177,27323.2,1866.35,98.9,9852.1,117003.3,5235.4,9447.6,54644.7
2002,242492.6,20169.01,3317.61,213.57,20142.3,567.5,,,2966.89,1251.07,3756.03,71557.3,299.81,292.49,167.15,330.17,89.48,1983.7,34177.0,2151.96,140393.4,3138.07,210740.4,40.53751,27543.0,1862.07,98.11,10132.0,108402.0,5243.0,9570.2,54921.6
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
