年份,农作物受灾面积,农作物绝收面积,旱灾受灾面积,旱灾绝收面积,洪涝、地质灾害和台风受灾面积,洪涝、地质灾害和台风绝收面积,风雹灾害受灾面积,风雹灾害绝收面积,低温冷冻和雪灾受灾面积,低温冷冻和雪灾绝收面积,自然灾害受灾人口,自然灾害受灾死亡人口,自然灾害直接经济损失
2019,19256.9,2802,7838,1113.6,8604.8,1480.8,2228.4,171.4,585.7,36.2,13759,909,3270.9
2018,20814.3,2585,7711.8,922.4,7283.1,1009.9,2406.8,196.6,3412.6,456.1,13553.9,589,2644.6
2017,18478.1,1826.7,9874.8,752.4,5808.8,766.1,2268.1,225.2,524.5,83.0,14448,979,3018.74
2016,26220.7,2902.2,9872.7,1018.3,10554.9,1442.4,2908.0,268.8,2885.0,172.7,18911.7,1706,5032.91
2015,21769.8,2232.7,10609.7,1046.1,7341.3,841.0,2918.0,309.1,900.3,36.5,18620.3,967,2704.1
2014,24890.7,3090.3,12271.7,1484.7,7222.0,976.9,3225.4,457.7,2132.5,168.2,24353.7,1818,3373.8
2013,31349.8,3844.4,14100.4,1416.1,11426.9,1828.9,3387.3,412.4,2320.1,180.7,38818.7,2284,5808.4
2012,24962.0,1826.3,9339.8,374.0,11220.4,1095.3,2780.8,213.4,1617.8,142.9,29421.7,1530,4185.5
2011,32470.5,2891.7,16304.2,1505.4,8409.9,872.8,3309.3,302.4,4447.1,211.1,43290,1014,3096.4
2010,37425.9,4863.2,13258.6,2672.3,17866.5,1669.9,2180.1,280.3,4120.7,240.7,42610.2,6541,5339.9
2009,,,,,,,,,,,,,
2008,,,,,,,,,,,,,
2007,,,,,,,,,,,,,
2006,,,,,,,,,,,,,
2005,,,,,,,,,,,,,
2004,,,,,,,,,,,,,
2003,,,,,,,,,,,,,
2002,,,,,,,,,,,,,
2001,,,,,,,,,,,,,
2000,,,,,,,,,,,,,
