年份,地震灾害次数,5.0-5.9级地震灾害次数,6.0-6.9级地震灾害次数,7.0级以上地震灾害次数,地震灾害人员伤亡,地震灾害死亡人数,地震灾害直接经济损失
2019,13,8,2,,428,17,59125.1
2018,11,7,,,85,,302716.0
2017,12,4,3,1.0,676,38,1476600.0
2016,16,8,4,,104,1,668692.9
2015,14,13,1,,1192,30,1791918.0
2014,20,14,4,1.0,3666,623,3326078.0
2013,14,10,3,1.0,15965,294,9953631.0
2012,12,8,3,,1279,86,828756.92
2011,18,11,2,1.0,540,32,6020873.0
2010,12,4,,1.0,13795,2705,2361077.1
2009,8,5,2,,407,3,273782.05
2008,17,6,4,2.0,446293,69283,85949594.4
2007,3,1,1,,422,3,201922.06
2006,10,9,,,229,25,79961.7
2005,13,9,2,,882,15,262810.8
2004,11,8,1,,696,8,94959.27
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
