年份,有产品或工艺创新活动的规模以上工业企业数,有产品或工艺创新活动的规模以上采矿业企业数,有产品或工艺创新活动的规模以上煤炭开采和洗选业企业数,有产品或工艺创新活动的规模以上石油和天然气开采业企业数,有产品或工艺创新活动的规模以上黑色金属矿采选业企业数,有产品或工艺创新活动的规模以上有色金属矿采选业企业数,有产品或工艺创新活动的规模以上非金属矿采选业企业数,有产品或工艺创新活动的规模以上开采专业及辅助性活动企业数,有产品或工艺创新活动的规模以上其他采矿业企业数,有产品或工艺创新活动的规模以上制造业企业数,有产品或工艺创新活动的规模以上农副食品加工业企业数,有产品或工艺创新活动的规模以上食品制造业企业数,有产品或工艺创新活动的规模以上酒、饮料和精制茶制造业企业数,有产品或工艺创新活动的规模以上烟草制品业企业数,有产品或工艺创新活动的规模以上纺织业企业数,有产品或工艺创新活动的规模以上纺织服装、服饰业企业数,有产品或工艺创新活动的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业数,有产品或工艺创新活动的规模以上木材加工和木、竹、藤、棕、草制品业企业数,有产品或工艺创新活动的规模以上家具制造业企业数,有产品或工艺创新活动的规模以上造纸和纸制品业企业数,有产品或工艺创新活动的规模以上印刷和记录媒介复制业企业数,有产品或工艺创新活动的规模以上文教、工美、体育和娱乐用品制造业企业数,有产品或工艺创新活动的规模以上石油加工、炼焦和核燃料加工业企业数,有产品或工艺创新活动的规模以上化学原料和化学制品制造业企业数,有产品或工艺创新活动的规模以上医药制造业企业数,有产品或工艺创新活动的规模以上化学纤维制造业企业数,有产品或工艺创新活动的规模以上橡胶和塑料制品业企业数,有产品或工艺创新活动的规模以上非金属矿物制品业企业数,有产品或工艺创新活动的规模以上黑色金属冶炼和压延加工业企业数,有产品或工艺创新活动的规模以上有色金属冶炼和压延加工业企业数,有产品或工艺创新活动的规模以上金属制品业企业数,有产品或工艺创新活动的规模以上通用设备制造业企业数,有产品或工艺创新活动的规模以上专用设备制造业企业数,有产品或工艺创新活动的规模以上汽车制造业企业数,有产品或工艺创新活动的规模以上铁路、船舶、航空航天和其他运输设备制造业企业数,有产品或工艺创新活动的规模以上电气机械和器材制造业企业数,有产品或工艺创新活动的规模以上计算机、通信和其他电子设备制造业企业数,有产品或工艺创新活动的规模以上仪器仪表制造业企业数,有产品或工艺创新活动的规模以上其他制造业企业数,有产品或工艺创新活动的规模以上废弃资源综合利用业企业数,有产品或工艺创新活动的规模以上金属制品、机械和设备修理业企业数,有产品或工艺创新活动的规模以上电力、热力、燃气及水生产和供应业企业数,有产品或工艺创新活动的规模以上电力、热力生产和供应业企业数,有产品或工艺创新活动的规模以上燃气生产和供应业企业数,有产品或工艺创新活动的规模以上水的生产和供应业企业数
2019,187505,1866,631,53,210,328,573,66,5,182828,7623,3945,2453,78,7855,4272,3370,2545,2805,2604,2509,4161,798,12269,5498,1137,9610,12593,1946,3653,12068,16205,13286,9649,2918,17306,13957,3935,885,696,199,2811,1841,389,581
2018,161333,1606,560,50,168,286,473,65,4,157492,7069,3632,2353,73,6468,3759,2799,2265,2146,2249,2058,3659,709,11350,5063,919,7944,10185,1701,3092,9818,13692,11289,8583,2610,15225,12102,3300,737,499,144,2235,1501,287,447
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
