年份,有产品或工艺创新活动的规模以上内资工业企业数,有产品或工艺创新活动的规模以上国有工业企业数,有产品或工艺创新活动的规模以上集体工业企业数,有产品或工艺创新活动的规模以上股份合作工业企业数,有产品或工艺创新活动的规模以上联营工业企业数,有产品或工艺创新活动的规模以上有限责任公司工业企业数,有产品或工艺创新活动的规模以上国有独资公司工业企业数,有产品或工艺创新活动的规模以上股份有限公司工业企业数,有产品或工艺创新活动的规模以上私营工业企业数,有产品或工艺创新活动的规模以上其他内资工业企业数,有产品或工艺创新活动的规模以上港、澳、台商投资工业企业数,有产品或工艺创新活动的规模以上外商投资工业企业数
2019,164418,441,234,351,15,36377,1890,8474,118521,5,10682,12405
2018,139393,395,244,316,18,34214,1688,8451,95744,11,10187,11753
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
