年份,私营企业户数,私营企业就业人数,私营企业投资者就业人数,城镇私营企业就业人数,城镇私营企业投资者就业人数,乡村私营企业就业人数,乡村私营企业投资者就业人数
2019,3516.3989,22833.1911,,14566.6494,,8266.5417,
2018,3143.2625,21375.3526,,13952.0,,7424.0,
2017,2726.2813,19881.7,,13327.0,,6554.0,
2016,2309.1963,17997.0,,12083.0,,5914.0,
2015,1908.2267,16395.0,,11180.0,,5215.0,
2014,1546.3661,14390.0,2963.0807,9857.0,2229.9405,4533.0,733.1402
2013,1253.9,12521.0,2485.7382,8242.0,1826.7822,4279.0,658.956
2012,1085.7169,11296.0,2200.0992,7557.0,1646.0435,3739.0,554.0557
2011,967.6776,10353.7,1985.7478,6912.0,1476.0696,3441.7,509.6782
2010,845.5158,9417.7,1794.0158,6071.0,1259.7841,3346.7,534.2317
2009,740.1539,8606.6,1650.6123,5544.0,1164.985,3062.6,485.6273
2008,657.4171,7904.0,1507.3611,5124.0,1066.6825,2780.0,440.6786
2007,551.312,7253.0,1396.5217,4581.0,980.044,2672.0,416.4777
2006,498.0774,6586.0,1271.6513,3954.0,852.92361,2632.0,418.72769
2005,430.0916,5823.6,1109.9344,3458.4308,720.9822,2365.6,388.9522
2004,365.067,5017.5,948.6288,2994.0,610.4086,2023.5,338.2202
2003,300.5524,4299.0,772.8322,2545.0,519.9758,1754.0,252.8564
2002,243.5,3409.6,622.8,1999.0,419.4,1410.6,203.5
2001,202.9,2714.1,460.8348,1527.0,298.7775,1187.1,162.0573
2000,176.2,2406.6,395.348,1268.0,246.8754,1138.6,148.4726
