年份,城镇私营单位就业人员平均工资,农、林、牧、渔业城镇私营单位就业人员平均工资,采矿业城镇私营单位就业人员平均工资,制造业城镇私营单位就业人员平均工资,电力、燃气及水的生产和供应业城镇私营单位就业人员平均工资,建筑业城镇私营单位就业人员平均工资,交通运输、仓储和邮政业城镇私营单位就业人员平均工资,信息传输、计算机服务和软件业城镇私营单位就业人员平均工资,批发和零售业城镇私营单位就业人员平均工资,住宿和餐饮业城镇私营单位就业人员平均工资,金融业城镇私营单位就业人员平均工资,房地产业城镇私营单位就业人员平均工资,租赁和商务服务业城镇私营单位就业人员平均工资,科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资,水利、环境和公共设施管理业城镇私营单位就业人员平均工资,居民服务和其他服务业城镇私营单位就业人员平均工资,教育城镇私营单位就业人员平均工资,卫生、社会保障和社会福利业城镇私营单位就业人员平均工资,文化、体育和娱乐业城镇私营单位就业人员平均工资,公共管理和社会组织城镇私营单位就业人员平均工资
2019,53604,37760,49675,52858,49633,54167,54006,85301,48722,42424,76107,54416,57248,67642,44444,43926,50761,57140,49289,
2018,49575,36375,44096,49275,44239,50879,50547,76326,45177,39632,62943,51393,53382,61876,42409,41058,46228,52343,44592,
2017,45761,34272,41236,44991,41510,46944,45852,70415,42359,36886,52289,48025,51394,58102,41061,38417,43263,47296,41201,
2016,42833,31301,39600,42115,38605,44803,42705,63578,39589,34712,50366,46063,47836,54764,40099,35824,39508,43993,38228,
2015,39589,28869,38192,38948,34631,41710,40495,57719,36635,31889,44898,41767,43770,50441,37222,33203,37040,40558,34974,
2014,36390,26862,35819,35653,33184,38838,38891,51044,33894,29483,41553,37826,39414,47462,33847,30580,33678,37205,32024,26744.0
2013,32706,24645,33081,32035,29597,34882,33141,44060,30604,27352,37253,35038,36243,42854,31241,27483,31521,33862,30402,33953.0
2012,28752,21973,29684,28215,25478,30911,28159,39518,27233,23933,32696,30778,31796,36598,26402,24068,26625,29173,26177,10858.0
2011,24556,19223,25519,24138,22091,26108,25949,35562,22791,20882,28664,27017,27115,31320,22958,20543,23636,25590,22666,11738.0
2010,20759,16370,20981,20090,18834,22228,21989,31226,19928,17531,30513,23228,23879,28886,19607,18350,21862,21571,20012,8900.0
2009,18198.9933639475,14584.6306098665,18552.6436611374,17259.9330925054,17795.4379264291,19867.0554432939,19633.5350200194,28166,17775,15623,30452,21334,21334,26187,17170,15688,21066,18641,17339,8190.54760339755
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
