年份,乡村就业人员,私营企业乡村就业人员,个体乡村就业人员
2019,33224,8266.5417,5999.6515
2018,34167,7424.0,5597.0
2017,35178,6554.0,4878.0
2016,36175,5914.0,4235.0
2015,37041,5215.0,3882.0
2014,37943,4533.0,3575.0
2013,38737,4279.0,3193.0
2012,39602,3739.0,2986.0
2011,40506,3441.7,2718.0
2010,41418,3346.7,2540.0
2009,42506,3062.6,2341.0
2008,43461,2780.0,2167.0
2007,44368,2672.0,2187.0
2006,45348,2632.0,2147.0
2005,46258,2365.6,2123.0
2004,46971,2023.5,2065.9
2003,47506,1754.0,2259.6
2002,48121,1410.6,2474.1
2001,48674,1187.1,2629.0
2000,48934,1138.6,2933.9
