年份,就业人员,第一产业就业人员,第二产业就业人员,第三产业就业人员
2019,77471,19445,21305,36721
2018,77586,20258,21390,35938
2017,77640,20944,21824,34872
2016,77603,21496,22350,33757
2015,77451,21919,22693,32839
2014,77253,22790,23099,31364
2013,76977,24171,23170,29636
2012,76704,25773,23241,27690
2011,76420,26594,22544,27282
2010,76105,27930.535,21842.135,26332.33
2009,75828,28890.468,21080.184,25857.348
2008,75564,29923.344,20553.408,25087.248
2007,75321,30730.968,20186.028,24404.004
2006,74978,31940.628,18894.456,24142.916
2005,74647,33441.856,17765.986,23439.158
2004,74264,34829.816,16709.4,22724.784
2003,73736,36204.376,15926.976,21604.648
2002,73280,36640,15681.92,20958.08
2001,72797,36398.5,16233.731,20164.769
2000,72085,36042.5,16219.125,19823.375
