年份,城镇私营企业和个体就业人员,制造业城镇私营企业和个体就业人员,建筑业城镇私营企业和个体就业人员,交通运输、仓储和邮政业城镇私营企业和个体就业人员,批发和零售业城镇私营企业和个体就业人员,住宿和餐饮业城镇私营企业和个体就业人员,租赁和商务服务业城镇私营企业和个体就业人员,居民服务和其他服务业城镇私营企业和个体就业人员
2019,26258.2352,2984.8482,1254.2522,634.5243,10615.9314,2413.214,2455.2727,1745.4644
2018,24391.8705,3007.8934,1176.2081,592.2951,9838.2157,2151.4613,2273.6174,1563.6177
2017,22674.7287,2937.076,1046.1536,512.0792,9355.0662,1955.7723,2095.3146,1491.5506
2016,20710.3965,2814.6788,992.103,464.1561,8725.8419,1673.4495,1815.6599,1306.0214
2015,18979.5614,2770.282,913.008,431.8115,8032.3075,1409.1955,1677.9552,1151.5667
2014,16866.6624,2717.4762,792.7899,412.4483,7198.4769,1179.505,1271.2766,1026.3552
2013,14384.5872,2484.1863,669.1513,385.0585,6134.461,971.874,1004.593,874.4201
2012,13200.1042,2357.8619,599.8086,573.9286,5407.2092,838.2062,923.1723,807.1014
2011,12138.7783,2291.3532,563.3043,348.7226,5175.2178,788.7041,798.7052,751.6623
2010,10538.4063,2151.3934,494.7293,322.9407,4280.6402,713.2529,646.4407,685.0054
2009,9788.8744,1984.495,429.1734,322.5813,4082.0387,670.7258,593.4444,606.4117
2008,8733.1361,1901.0128,383.641,295.9512,3540.3903,595.6297,494.7173,532.7596
2007,7890.5731,1752.4152,321.1315,282.9158,3187.9992,541.769,433.2756,484.0121
2006,6966.76647,1557.7014,273.91332,254.07932,2841.14627,495.85931,368.91041,443.29434
2005,6236.1445,1329.6348,242.6544,226.5225,2534.7968,465.6217,302.6114,427.8449
2004,5514.9536,1156.3679,216.5012,212.355,2257.7297,434.9982,231.6016,374.9677
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
