省份编码,省份,年份,城市绿地面积(万公顷),公园绿地面积(万公顷),公园个数(个),公园面积(万公顷),建成区绿化覆盖率(%)
110000,北京市,2019,8.870442,3.515694,344,3.515694,48.46
110000,北京市,2018,8.528637,3.26185,311,3.26185,48.44
110000,北京市,2017,8.350134,3.101906,300,3.101906,48.42
110000,北京市,2016,8.211255,3.006857,297,3.006857,48.4
110000,北京市,2015,8.130531,2.950295,287,2.944795,48.4
110000,北京市,2014,6.8438,2.3223,245,1.3294,49.13
110000,北京市,2013,6.8438,2.3223,245,1.3294,47.1
110000,北京市,2012,6.554,2.1178,236,1.1356,46.2
110000,北京市,2011,6.354,1.9728,218,1.0325,45.6
110000,北京市,2010,6.2672,1.902,217,0.996,
110000,北京市,2009,6.1695,1.807,212,0.9858,47.69
110000,北京市,2008,4.6993,1.2316,265,0.6477,37.15
110000,北京市,2007,4.484,1.1821,258,0.639,36.1702292681413
110000,北京市,2006,5.3163,1.4234,320,0.7354,44.35
110000,北京市,2005,4.43844,1.13647,264,1.1365,
110000,北京市,2004,4.9298,1.2446,281,0.606,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,4.292075,1.200227,131,0.284458,37.4771208896225
120000,天津市,2018,4.649846,1.215808,131,0.28169,38.0273234183498
120000,天津市,2017,4.430868,1.198212,135,0.283926,36.84
120000,天津市,2016,3.339807,0.99592,115,0.221134,37.22
120000,天津市,2015,2.840602,0.886461,102,0.229891,36.38
120000,天津市,2014,2.5307,0.7652,94,0.212397,34.93
120000,天津市,2013,2.3196,0.7279,91,0.203,34.93
120000,天津市,2012,2.2319,0.6846,84,0.1801,34.88
120000,天津市,2011,2.1728,0.6341,77,0.168,34.53
120000,天津市,2010,1.9221,0.5266,76,0.1666,32.06
120000,天津市,2009,1.7369,0.5219,68,0.1504,30.33
120000,天津市,2008,,,,,
120000,天津市,2007,,,,,
120000,天津市,2006,1.5657,0.3738,62,0.1093,37.0
120000,天津市,2005,1.57407,0.536861,183,0.232528,
120000,天津市,2004,1.42376,0.509573,186,0.242825,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
