省份编码,省份,年份,公共交通车辆运营数(辆),公共汽电车运营数(辆),轨道交通配属车辆数(辆),运营线路总长度(公里),公共汽电车运营线路总长度(公里),轨道交通运营里程(公里),公共交通客运总量(万人次),公共汽电车客运量(万人次),轨道交通客运量(万人次),出租汽车(辆)
110000,北京市,2019,,23685,6449,,27631.7,695.5,,311895.9,395414.1,71517
110000,北京市,2018,,22750,5682,,19245.0,636.8,,318976.0,384842.0,70035
110000,北京市,2017,30966,25624,5342,19898,19290.0,608.0,713396,335595.0,377801.0,68484
110000,北京市,2016,27892,22688,5204,20392,19818.0,574.0,734953,369019.0,365934.0,68484
110000,北京市,2015,28311,23287,5024,20739.7,20186.0,553.7,738384,406003.0,332381.0,68284
110000,北京市,2014,28331,23667,4664,20776,20249.0,527.0,815848,477180.0,338668.0,67546
110000,北京市,2013,27590,23592,3998,20153,19688.0,465.0,804775,484306.0,320469.0,67046
110000,北京市,2012,25831,22146,3685,19989,19547.0,442.0,761578,515416.0,246162.0,66646
110000,北京市,2011,24478,21628,2850,19832,19460.0,372.0,722552,503272.0,219280.0,66646
110000,北京市,2010,24011,21548,2463,19079,18743.0,336.0,689789,505144.0,184645.0,66646
110000,北京市,2009,23730,21716,2014,228,,228.0,658785,516517.0,142268.0,66646
110000,北京市,2008,23221,21507,1714,200,,200.0,592523,470863.0,121660.0,66646
110000,北京市,2007,20525,19395,1130,142,,142.0,488138,422645.0,65493.0,66646
110000,北京市,2006,20489,19522,967,114,,114.0,468225,397919.0,70306.0,66646
110000,北京市,2005,21313,20345,968,,,,525606,457630.0,67976.0,66000
110000,北京市,2004,21711,20819,892,,,,513876.68,453223.38,60653.3,55463
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,,12746,1244,,25525.8,238.9,,109076.6,52506.4,31775
120000,天津市,2018,,13813,1130,,23920.0,226.9,,109725.0,40834.0,31940
120000,天津市,2017,13528,12686,842,19058.4,18883.0,175.4,173279,138124.0,35155.0,31940
120000,天津市,2016,13655,12699,956,17932.4,17757.0,175.4,180790,149935.0,30855.0,31940
120000,天津市,2015,12245,11619,626,16013,15866.0,147.0,185813,157001.0,28812.0,31940
120000,天津市,2014,11770,11144,626,15028.1,14881.0,147.1,181072,151011.0,30061.0,31940
120000,天津市,2013,10296,9670,626,13602.6,13460.0,142.6,160927,136490.0,24437.0,31940
120000,天津市,2012,9031,8405,626,12870.7,12732.0,138.7,129951,118721.0,11230.0,31940
120000,天津市,2011,7954,7628,326,12689.7,12606.0,83.7,122363,114798.0,7565.0,31940
120000,天津市,2010,7413,7121,292,12319.8,12240.0,79.8,115148,108580.5,6567.5,31940
120000,天津市,2009,8118,7862,256,759,680.0,79.0,121573,116178.0,5395.0,31940
120000,天津市,2008,8142,7886,256,79,,79.0,117009,112137.0,4872.0,31939
120000,天津市,2007,7717,7489,228,71,,71.0,105911,102415.0,3496.0,31939
120000,天津市,2006,7581,7401,180,8650,8578.0,72.0,95631,94241.0,1390.0,31940
120000,天津市,2005,6884,6768,116,,,,90190.83,89529.4,661.43,31939
120000,天津市,2004,6331,6331,,,,,78502.04,78502.04,,31939
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,,22355,264,,42389.2,38.4,,170959.4,9566.0,54095
130000,河北省,2018,,24012,198,,40819.0,28.4,,175242.0,8760.0,54003
130000,河北省,2017,24706,24508,198,37390.4,37362.0,28.4,181829,177792.0,4037.0,53871
130000,河北省,2016,21479,21479,,26077,26077.0,,186048,186048.0,,53034
130000,河北省,2015,18927,18927,,22940,22940.0,,187208,187208.0,,51407
130000,河北省,2014,15977,15977,,20305,20305.0,,205342,205342.0,,50435
130000,河北省,2013,17498,17498,,19647,19647.0,,202727,202727.0,,49792
