省份编码,省份,年份,道路清扫保洁面积(万平方米),生活垃圾清运量(万吨),粪便清运量(万吨),市容环卫专用车辆设备(台),公共厕所数量(座),三类以上公共厕所数量(座)
110000,北京市,2019,15602.48,1011.16,,12526,6034,6026
110000,北京市,2018,14442.71,975.12,,12638,5270,5250
110000,北京市,2017,14861.0,924.77,,11520,5275,5228
110000,北京市,2016,14678.0,872.61,203.96,11033,5398,5352
110000,北京市,2015,15122.0,790.33,204.66,10747,5401,5401
110000,北京市,2014,15104.0,733.84,216.06,10255,5429,5429
110000,北京市,2013,14234.0,671.69,220.73,9797,5563,5563
110000,北京市,2012,14346.0,648.31,207.15,9384,5773,5773
110000,北京市,2011,13701.0,634.35,207.54,7991,5843,5843
110000,北京市,2010,13804.0,632.98,194.37,7461,5966,5966
110000,北京市,2009,12835.0,656.12,211.24,6881,6022,6022
110000,北京市,2008,12850.0,656.61,206.81,6930,5589,5589
110000,北京市,2007,11741.0,600.94,189.07,6253,5333,5308
110000,北京市,2006,9936.0,538.2,175.7,6197,5091,5051
110000,北京市,2005,11248.0,454.6,171.7,5851,5635,
110000,北京市,2004,11002.0,491.0,206.0,5942,5598,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,13295.75,300.226173,,5276,1510,1277
120000,天津市,2018,12180.14,294.770949,,5438,1384,926
120000,天津市,2017,13529.0,306.87,,4725,1475,809
120000,天津市,2016,13124.0,269.03,28.39,4449,1358,567
120000,天津市,2015,11769.0,240.68,28.13,3937,1327,846
120000,天津市,2014,10879.0,215.89,32.72,3036,1206,786
120000,天津市,2013,10098.0,199.95,30.89,2482,1193,757
120000,天津市,2012,8723.0,185.77,32.05,2453,1192,754
120000,天津市,2011,8831.0,189.9,24.76,2395,1231,741
120000,天津市,2010,7322.0,183.71,25.3,1951,1237,729
120000,天津市,2009,6915.0,188.35,29.6,1985,1411,806
120000,天津市,2008,6414.0,173.8,25.53,1706,1426,725
120000,天津市,2007,5249.0,165.01,28.94,1783,1376,545
120000,天津市,2006,4834.0,155.2,28.4,1632,1927,513
120000,天津市,2005,4660.1,144.8,25.7,1346,2075,
120000,天津市,2004,4097.1,181.6,25.6,1402,2088,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
